time	distance
2022.44939253281	0
2022.47205707743	0.14470653577907
2022.49472162204	0.386733537280618
2022.51738616666	1.33113637614912
2022.54005071128	3.76828452825936
2022.5627152559	8.30389278130555
2022.58537980051	18.082468082314
2022.60804434513	36.7244398966112
2022.63070888975	67.1887718672177
2022.65337343437	112.762051772291
2022.67603797898	182.898068478251
2022.6987025236	267.761397113898
2022.72136706822	353.664945500771
2022.74403161283	444.567296386543
2022.76669615745	542.562066658336
2022.78936070207	647.221624186005
2022.81202524669	756.711023111228
2022.8346897913	874.004710338777
2022.85735433592	997.628617252664
2022.88001888054	1124.91975756626
2022.90268342516	1155.66694398772
2022.92534796977	1201.55631145213
2022.94801251439	1203.22008131524
2022.97067705901	1204.6601133733
2022.99334160363	1206.47146645844
2023.01600614824	1208.8582883459
2023.03867069286	1212.01011143784
2023.06133523748	1216.29321948723
2023.08399978209	1221.5619920773
2023.10666432671	1228.1750648821
2023.12932887133	1236.63732842428
2023.15199341595	1246.65094445699
2023.17465796056	1258.57986974695
2023.19732250518	1272.82525802094
2023.2199870498	1291.03347265474
2023.24265159442	1313.72317829404
2023.26531613903	1341.59297468487
2023.28798068365	1379.96688612738
2023.31064522827	1432.42454344208
2023.33330977288	1538.02534197777
2023.3559743175	1688.24161125649
2023.37863886212	1825.83688250089
2023.40130340674	1970.21188337854
2023.42396795135	2139.44257903419
2023.44663249597	2323.23483170098
2023.46929704059	2524.84280574623
2023.49196158521	2773.89681573162
2023.51462612982	3176.2593521859
2023.53729067444	3613.10210507589
2023.55995521906	3874.07449956015
2023.58261976367	4142.1048345492
2023.60528430829	4402.20362344981
2023.62794885291	4639.24404562668
2023.65061339753	4847.79398516294
2023.67327794214	5020.08223130697
2023.69594248676	5175.65051713624
2023.71860703138	5326.31735926916
2023.741271576	5481.59861077392
2023.76393612061	5647.24820174989
2023.78660066523	5803.14041649205
2023.80926520985	5940.0223496357
2023.83192975447	6101.44432942352
2023.85459429908	6296.2586881117
2023.8772588437	6492.36720321715
2023.89992338832	6523.67764656592
2023.92258793293	6553.05814104452
2023.94525247755	6567.31223385343
2023.96791702217	6581.19371391435
2023.99058156679	6592.41289067321
2024.0132461114	6603.45232682157
2024.03591065602	6617.15079807765
2024.05857520064	6632.19873064088
2024.08123974526	6647.93728303129
2024.10390428987	6663.24312484472
2024.12656883449	6679.31698097704
2024.14923337911	6691.8802741663
2024.17189792372	6701.22894058309
2024.19456246834	6705.4785611269
2024.21722701296	6707.22335053345
2024.23989155758	6709.09309436172
2024.26255610219	6711.2693115106
2024.28522064681	6712.99874947077
2024.30788519143	6714.536305557
2024.33054973605	6716.17826907705
2024.35321428066	6717.97293423495
2024.37587882528	6720.17621924955
2024.3985433699	6722.71181214173
2024.42120791452	6725.84856100247
2024.44387245913	6730.41344435531
2024.46653700375	6737.52125771216
2024.48920154837	6749.36417621132
2024.51186609298	6763.33721216422
2024.5345306376	6775.86545930808
2024.55719518222	6777.83003216096
2024.57985972684	6780.98507287288
2024.60252427145	6784.93487989445
2024.62518881607	6789.37964204183
2024.64785336069	6795.08326539836
2024.67051790531	6801.54050074166
2024.69318244992	6807.47437746727
2024.71584699454	6807.47437746727
