mean_branch_dispersal_velocity	weighted_branch_dispersal_velocity	branch_dispersal_velocity_variation_among_branches	original_diffusion_coefficient	weighted_diffusion_coefficient	diffusion_coefficient_variation_among_branches	isolation_by_distance_signal_rS	isolation_by_distance_signal_rP1	isolation_by_distance_signal_rP2
15011.8621437449	2343.71817482295	15.0329494098823	270579.615584723	356982.36822492	9.43347762905853	0.325415366240138	0.318930193453075	0.225930433033205
5653.01433981784	2655.372180745	1.93866619654619	224045.219341164	411725.462069891	4.20578122214385	0.316587124994915	0.332392298702132	0.23499676481995
5739.51026155458	2718.29150427286	2.25943143849176	208411.951279788	542856.43236566	4.93853640768347	0.332404176332948	0.349991466689616	0.255097845180244
7402.54734180335	2860.98886631139	4.22131208100637	279449.364588746	483233.160157723	4.1018143163112	0.292097833715874	0.309980733794709	0.217185518797022
8283.26970276319	2942.30848813886	4.35317079528281	231038.341479497	478716.66265784	3.20608761375175	0.418850876518537	0.415804501302008	0.312039576254354
5182.47906732857	2412.28019410695	3.13980603475953	196886.582496824	453979.508329078	5.30625859637917	0.314147084883737	0.330126563315007	0.223996905501236
9116.05560036799	2590.16514186253	9.75069278497762	228887.379179026	437910.1162987	5.13103553809752	0.288387390945109	0.325055873792182	0.237910937338516
4792.18267404629	2360.34606017895	3.16393513961925	152877.03363671	440869.574274872	4.38621473195788	0.381925107413726	0.389766732414507	0.288539420372041
5259.53514508711	2717.88596737544	2.36392628319452	211968.539055519	501546.459131626	4.34171441714391	0.287149523939125	0.312263927797183	0.21736180462955
5586.03074989422	2622.26849051206	2.23335844258615	178818.091883043	428728.315130586	3.47705559706812	0.31401571258982	0.360374793832707	0.252724148128803
6671.81303539345	2240.10328765363	8.81191378025418	162685.182608578	376324.314725673	4.78004921747126	0.288905921766066	0.296835738719122	0.216050324169532
5855.02170024177	2495.78985546787	5.6410004680811	190231.865775938	431595.734976176	4.30230738924172	0.3202086206125	0.318037013378866	0.229756196417694
7635.78971675476	2558.82600463351	3.27463223489252	207420.13608533	406004.467415749	3.08151139509328	0.298596635790242	0.316956603719499	0.220006725948035
4833.46552523039	2674.89518096899	2.679452425303	209282.810770682	544769.618151524	4.51408485949723	0.320890685658536	0.319074520181017	0.228384220226568
17096.7939808968	2631.52424762496	14.0309674937001	246587.795285754	433876.874843441	4.03805101182571	0.311067680728937	0.322710094457025	0.226057223816863
8391.95636616616	2591.6223722075	4.64530291736409	227690.181955828	450146.949630667	3.58457126896287	0.283341618228194	0.281314862910875	0.190960473412329
5208.89720156836	2570.33316480993	2.03749552050386	185651.012352897	329709.019127162	4.03959577074058	0.278008494858508	0.275060578617566	0.18380236231241
6017.27322083751	2163.27419136446	3.54411760278618	185307.89681893	353021.51329247	4.53624523280767	0.3376132403084	0.346771482025903	0.235373947846713
6100.035747497	3204.77018806639	1.90644729065516	261727.247601515	708156.80914931	3.18986430287961	0.325648078929446	0.353497567835116	0.251010055455603
10096.0706033485	2499.20598469673	5.28882228055061	259478.092000042	394100.031962712	3.94094804620786	0.257185710766882	0.270911609071345	0.196027877850412
14599.2047788501	2662.75053844434	6.63861772371295	353338.206515145	439797.663871933	5.05055436670858	0.264304693225644	0.283215374575502	0.196121552214017
4795.62996500656	2187.73150713634	2.27049375661743	166855.535925553	301601.979339693	4.42957786510229	0.292407181976643	0.273534095555363	0.17921459180217
5159.72470783457	2572.52082242273	2.7111581953722	218147.536773269	417774.063154026	5.00048335912561	0.298906263976317	0.303465037233588	0.216215718620607
7538.17829328667	2971.5804532296	3.47915636581123	284939.098334294	547420.370450114	3.92598596638094	0.277769938593007	0.29890568802894	0.210899461533615
8866.67985000342	3122.8743925297	4.1234463986303	293830.467382478	582645.996313195	3.34289408777658	0.283830902079289	0.282463907516492	0.19313940381448
10619.0622518666	2335.87032322376	12.8530898408378	244585.852026572	366931.004409127	9.03544221224408	0.276734339344477	0.297688749748871	0.205454809403827
6639.32572783386	2656.91149199223	2.98768582837687	221988.833066546	419845.71125504	3.69075815770605	0.318035493768624	0.295534106121094	0.200481761455797
13468.8275052126	2361.31881396019	12.8389145850489	317153.682786929	347497.83315245	12.0739609291039	0.284400459195064	0.275273685771283	0.185533348079032
9992.51530073208	3085.21153614598	6.53475444927686	296499.751705484	536573.42813114	3.43124757887921	0.252803363459044	0.27334644475483	0.193171129330068
5973.11045236707	2358.95150863191	3.40003381418875	145752.358600506	287612.878694066	3.29256512785975	0.294721672040089	0.30010627734937	0.212020307420761
4792.85038698892	2425.66665829172	2.96642654514527	188591.305958663	501022.260200029	5.11759293478612	0.301527831076147	0.330524682868177	0.244495223828002
6922.22722746377	2277.00932694154	4.15858774439352	168349.879687503	376031.533801175	4.34689017868982	0.351989751717052	0.36668140985458	0.256818305403625
4421.326074712	2453.54903861659	2.11788074621966	193718.94301497	478424.250876014	4.83094085416955	0.306479921052673	0.310170409450917	0.214740763660701
11817.1431616084	2845.53471092485	9.103540755462	253689.913227912	450020.668098564	3.63235790775483	0.333645029816208	0.349690541560543	0.251024575197865
6438.53545109761	2728.24668111081	2.15167740186797	276931.730162116	416246.997870693	3.2031160914742	0.330512806662727	0.340178322659491	0.237396849040499
6014.0160741935	2392.13110085969	4.22454293925289	169634.832305668	355060.205481328	3.59068512929538	0.294652973965806	0.314781957618054	0.228012349115384
4335.41473146071	2458.69674165116	1.62088493354248	191264.1819803	484884.180617457	4.77208900332103	0.326271799802222	0.340301891215015	0.240767381480573
5811.56345161658	2053.58432741728	3.4146597120239	136929.963372866	301705.728461348	4.85566944219798	0.301378751669871	0.308195905129901	0.211835051940617
13206.5628978697	2821.17306458249	13.8818129703195	265425.261012114	437372.399105508	6.57741825646268	0.311999735078497	0.285327136259073	0.191901414079625
4971.84201669642	2327.97247366678	2.54805006448475	141457.296972701	331385.181922623	4.63020823214401	0.421382984974735	0.39259362433847	0.280527447273608
6485.44548916797	3016.88088951705	2.6034255239296	251178.358982314	525444.942982599	3.73008104929759	0.280551157605793	0.28793406093959	0.201760111866572
7193.99730184967	2262.07433517965	6.10145591429304	196459.343832946	367025.400711096	4.32799919188805	0.402612759696013	0.405129264806017	0.301838030905033
11649.0824404118	3271.56822160326	6.67429106961188	301283.50988972	567797.874387689	3.01522316240397	0.291320620263685	0.323661870023874	0.245203527265089
6076.41616812723	2393.08580668255	2.57015715911015	156784.391436122	279138.054947014	3.43672359529386	0.397641936535383	0.396742551192759	0.283019660826583
8879.23768161955	2721.68565218093	5.86341226067692	262578.42669823	470229.900418941	4.1013803543604	0.291149661559047	0.305663102656928	0.21736184403438
5171.37408710454	2541.85115323572	2.32413422567696	208186.161588246	420869.726791371	4.97843603123143	0.30630843103279	0.340445140914471	0.242890980265612
6052.61971747968	2505.45006957834	1.88741293787567	222838.389186064	347977.063570517	6.30128374500598	0.324981920616195	0.293765387463639	0.198146216849045
4516.36511782616	1906.08896624766	2.83394440471077	118768.582584439	235732.40492513	4.04741185524937	0.241688311173583	0.265949911846033	0.178384839355224
5274.91087487465	2211.73855813883	2.76863385841109	159670.928386589	323248.467889812	4.18138352007251	0.316903389266938	0.303079042999526	0.205076665530385
6231.567151105	2579.97362601775	3.78331816262803	226487.665188346	556800.47888088	4.54980663525907	0.284891842371011	0.291070484811348	0.188957507005951
7557.28379032935	2958.56909974164	2.99246967124439	279290.234202954	554689.689982594	3.64850941018013	0.295276399158921	0.293133609306697	0.205386793612269
15713.6831443504	2131.85268410131	9.9899707228648	179032.828263335	378570.145038544	4.57651337542563	0.267999057457056	0.301919734591367	0.202541368062767
5523.95335455002	2471.1172674564	2.11194552169046	192968.312034512	399080.652736059	3.93762071336306	0.397056100478429	0.408505619869782	0.3032987886939
7113.06326671459	2437.01166928725	3.45211678077614	192954.880236501	324675.323728099	3.53273687059939	0.328283424706775	0.320527125505572	0.221830116047534
53395.9606534444	2604.02995715838	21.1634024923776	996463.308667671	363057.120426106	19.6616755473158	0.364675469937934	0.382022070253313	0.292637683357101
5628.61993316872	2249.76056580601	3.63427309463286	166389.374187746	357524.691248866	4.14754126065957	0.252908653657634	0.260296264101605	0.178648125153677
4659.7536058413	2377.38408650823	2.6218225148462	171293.469798413	422566.786931602	4.44798249030002	0.292939580930619	0.308413457881735	0.216060001873641
8590.97078660857	2164.82599817629	4.23215613584082	158710.368966226	273372.037104305	3.2148699587113	0.382862200286	0.388525374510379	0.294942937228176
5178.06765317546	2453.98591291318	2.43827388447761	177175.940604458	375404.066731839	4.02758428375942	0.296001704556022	0.28408432757764	0.188770117983716
5057.14558709112	2710.48264622902	1.68543681314575	216499.661866006	408598.990562713	3.83820510767927	0.342520462109943	0.361238512924935	0.269942521085966
5813.76591768566	2933.08343818994	2.1288876436805	278550.751701165	482136.263343055	3.90153213613171	0.295846055512749	0.312658831834634	0.225881522949878
18308.5448174139	2861.60100945752	10.9348548790222	336210.838936838	461455.044906353	6.68210083312022	0.322120623744085	0.323450488341106	0.225209886777808
6308.23530172549	2861.00441950773	3.40084059460195	358428.833753236	596653.783186728	5.33341553471125	0.250430065058055	0.260599553092712	0.189243497281645
7752.29406621542	2416.73615348353	5.00511346073858	158660.033601291	323394.761868175	3.47818912345598	0.345483581850774	0.369553838430901	0.260125500511737
6025.26475909283	2446.57673483136	2.49309412308282	221895.039213894	427529.350879515	4.3811786232387	0.326585850720057	0.313263325617285	0.220511868566686
8216.24735231977	2044.74259452404	7.37831280817741	166511.001187143	312293.922834774	5.04956485951055	0.336432006132905	0.343030525425538	0.235298803129187
8123.94395396822	2846.70374660165	6.68152277876691	243365.05338309	448065.619454686	3.55665218770685	0.271016572727191	0.274599985137415	0.187689272170854
4551.79575916064	2630.82498290211	1.86621038216383	199047.75925842	473272.642164459	4.50397229607934	0.286432998720164	0.321715824190642	0.234493842222461
12203.1000393042	2619.10179556473	10.9231259346641	199774.217328389	374375.852743595	4.21796009627905	0.26683303104605	0.289676505265522	0.207207436246487
11823.6445148263	2924.29389524065	6.84616182124126	309200.384590499	428061.863449955	4.2592809759636	0.287296926651473	0.301988597964422	0.209449926210737
4842.80509954407	2530.32422524422	2.11945020267181	200136.226186869	442685.790305161	3.69591832566005	0.319171652765411	0.328415278135666	0.239086521157649
6635.44842576324	2963.71557813096	2.16836613301213	242608.962247567	576172.989608532	3.51907670771472	0.277585803134777	0.267330799746453	0.170491628359598
5225.37661585914	2166.76848313122	2.52346046423254	144897.451415575	278711.876862678	4.32385215763245	0.38928953043676	0.398554839787333	0.287295025441288
5912.64010445699	2619.0888990777	2.19564922730478	216231.920191567	414689.526735105	3.1636316267126	0.293196663008084	0.285195847671376	0.194938055652466
6826.16766719842	3391.96087746732	1.96678338536248	314150.887348403	587456.836172404	3.47190593829103	0.285091422629012	0.323472110695067	0.240750619711628
8303.10744417201	2246.61120057717	4.66852409060605	167792.221302732	343775.743529225	4.03853259025332	0.304246647634874	0.334481018722837	0.237637528961705
5526.34195460144	2613.47854897695	2.01774658998444	178052.60983805	394716.848615606	3.30910088951592	0.284892433347753	0.32317691750636	0.240975196285436
6257.17322330746	3082.69514739374	2.08826269025978	256566.213795707	467956.191536792	3.15226739951137	0.275285258570171	0.272972449226872	0.186014082747234
5541.11256802128	2286.98344518632	3.02781645119993	172110.11944567	346736.542500804	3.92276729919099	0.297163112729493	0.300265513851175	0.204245636462947
6269.85397838421	2550.56793566172	4.99641586896852	218997.710641931	476701.091269681	4.21522669332854	0.312666675006943	0.343780349968275	0.253246539530849
7734.34961838904	2759.31784426916	2.83170971517967	283875.798071304	482580.564133656	4.02964560042564	0.285493546484514	0.300752343477143	0.214602340538943
5472.06233605849	2587.7717249441	2.90717288136974	226953.969769737	624200.638366481	5.14213284196023	0.284505735365379	0.288214852774777	0.19140111635064
9979.09664436812	2412.18492759902	6.06898911913249	204536.533243645	362621.630912131	4.57894537798895	0.267285825819731	0.285729801205895	0.196295742011683
6650.56579902122	2610.55428082557	4.03500409138568	236039.385029478	412079.058703997	4.32674540693128	0.257343769204906	0.268427776961508	0.185293919773468
10368.3790317984	2856.89524822237	6.33381216106637	315384.76673593	487939.264965542	4.750667320603	0.27537592251677	0.279823215531545	0.206805270958726
4703.73924276615	2577.43227621667	1.92281779081659	236117.575557326	520361.040340751	4.77113857037048	0.259414374069935	0.267196767879854	0.169683942664466
5019.26857082018	2417.36510869431	2.59003983642993	190822.528943764	424668.536160814	4.77293374231622	0.308786938013261	0.327330483912119	0.227947818647378
4670.57842219173	2721.70274597636	1.86986023272837	224259.498722331	509352.073087676	4.32783057675476	0.332496863485542	0.323257278347346	0.229178283936285
6571.01140342536	2671.40292306367	2.98613780424233	235013.164870177	437873.631264257	3.48562333205625	0.287503979835909	0.317644766952227	0.241568546745084
5382.80918947269	2721.59666452052	2.80045932130596	217692.068237282	565222.758158162	4.6404957179334	0.298359317248992	0.299595266181593	0.204639512345988
7119.19521553329	2656.3668340917	3.58616393574258	211069.556498987	407123.638771142	3.39719383396145	0.312778645505443	0.339013136628603	0.236524062062554
5934.80455887449	2640.22351498724	2.45021334416075	222340.727143206	503093.35882795	4.68459831684802	0.276530860990467	0.297080996030645	0.210432555947228
5987.0336327214	2587.62626414385	3.6183609784759	197111.015742259	356619.830129821	3.55841089241598	0.377173729904264	0.388092260113218	0.28471671628094
4517.82416344913	2601.0629673608	3.2924019247296	217510.78137104	607838.52736865	4.41073363289819	0.308861811399698	0.325951301179276	0.231742373768415
7154.86861530811	2592.4908024303	3.09654188813343	223608.965830669	429282.817591247	3.77633242910982	0.291141552395504	0.313333958501978	0.227400966317983
6764.76672492982	2484.27868189258	3.56176154715917	195106.851090471	405320.481064359	3.98757152507071	0.285744237326758	0.306279081244947	0.214078419477389
5542.76506114689	2023.81760021912	4.41599865555402	140581.982206021	287162.198383054	4.34391834500614	0.306386931023444	0.31950685451933	0.229967546574656
5421.61785019658	2449.27690446956	3.07526313020594	174966.325476422	320506.780829555	3.62566303561907	0.281073114181223	0.305120727541217	0.206153012594717
5694.51125251258	2402.26092888398	2.67452191182817	182319.375523323	338527.03649741	4.09205932528017	0.305173109844276	0.34653434091625	0.232180128960765
