time	distance
2021.76519500805	0
2021.77135866327	0.0865685529944822
2021.77752231849	0.216609468996447
2021.78368597371	0.346623425118828
2021.78984962894	0.49253518712881
2021.79601328416	0.663771776900439
2021.80217693938	0.899318291731155
2021.8083405946	1.3230044913629
2021.81450424982	2.55877379932164
2021.82066790504	4.48538993755736
2021.82683156026	6.97837718807205
2021.83299521548	10.7791546325971
2021.83915887071	16.6837365954562
2021.84532252593	25.9311596124072
2021.85148618115	40.7835115285047
2021.85764983637	65.9779455836333
2021.86381349159	105.049834685344
2021.86997714681	168.860039429874
2021.87614080203	264.31157307015
2021.88230445725	390.980854171416
2021.88846811248	553.120890120615
2021.8946317677	642.230871064584
2021.90079542292	728.569336439526
2021.90695907814	814.32453088346
2021.91312273336	897.973713736864
2021.91928638858	974.790893811117
2021.9254500438	1044.72392902188
2021.93161369903	1109.00493818312
2021.93777735425	1165.73513975229
2021.94394100947	1212.53615565185
2021.95010466469	1255.52980293407
2021.95626831991	1295.39524436759
2021.96243197513	1332.54887419232
2021.96859563035	1369.20498820654
2021.97475928557	1405.94924171261
2021.9809229408	1444.70409022336
2021.98708659602	1483.79931538172
2021.99325025124	1522.69911631174
2021.99941390646	1562.97913448845
2022.00557756168	1604.30091126139
2022.0117412169	1642.76573538
2022.01790487212	1680.66946404898
2022.02406852734	1716.47518143343
2022.03023218257	1747.40922989608
2022.03639583779	1783.97139471748
2022.04255949301	1824.06270724219
2022.04872314823	1866.27224927115
2022.05488680345	1908.56033158287
2022.06105045867	1943.90361564906
2022.06721411389	1977.88843399671
2022.07337776911	2015.77595001601
2022.07954142434	2053.41879143114
2022.08570507956	2091.65847000727
2022.09186873478	2130.3508187058
2022.09803239	2168.82624701036
2022.10419604522	2207.27280990277
2022.11035970044	2244.17239235977
2022.11652335566	2280.224954722
2022.12268701089	2315.8396634281
2022.12885066611	2347.00346675146
2022.13501432133	2376.67803841279
2022.14117797655	2403.21909830046
2022.14734163177	2429.74627085022
2022.15350528699	2454.05767393594
2022.15966894221	2477.59794479686
2022.16583259743	2500.0005278133
2022.17199625266	2522.25579593354
2022.17815990788	2545.54557000158
2022.1843235631	2568.49849555354
2022.19048721832	2592.89674555078
2022.19665087354	2619.26422685657
2022.20281452876	2648.77477284239
2022.20897818398	2676.30387325595
2022.2151418392	2706.66591008058
2022.22130549443	2737.58516162257
2022.22746914965	2771.22329931346
2022.23363280487	2807.48726888577
2022.23979646009	2845.83221002944
2022.24596011531	2883.48249144268
2022.25212377053	2923.79932619011
2022.25828742575	2966.72070304876
2022.26445108098	2997.6127064987
2022.2706147362	3030.84981348795
2022.27677839142	3066.13260697371
2022.28294204664	3102.52047790547
2022.28910570186	3140.49926463785
2022.29526935708	3179.96448765021
2022.3014330123	3217.92544063305
2022.30759666752	3257.48132817751
2022.31376032275	3299.53944073084
2022.31992397797	3299.96193834181
2022.32608763319	3300.69689771398
2022.33225128841	3300.98966579059
2022.33841494363	3301.32925303014
2022.34457859885	3301.73609962654
2022.35074225407	3302.16373884621
2022.35690590929	3302.68838603043
2022.36306956452	3303.31778224691
2022.36923321974	3303.81013944128
2022.37539687496	3304.17962785377
2022.38156053018	3304.17962785377
