time	95%HPD_lower_value	95%HPD_higher_value
2021.76519500805	0	0
2021.77135866327	0	0
2021.77752231849	0	0
2021.78368597371	0	0
2021.78984962894	0	0
2021.79601328416	0	0
2021.80217693938	0	0
2021.8083405946	0	0
2021.81450424982	0	0
2021.82066790504	0	0
2021.82683156026	0	0
2021.83299521548	0	29.4099468269666
2021.83915887071	0	89.945834718596
2021.84532252593	0	196.637817187957
2021.85148618115	0	294.508433675864
2021.85764983637	0	464.122669443017
2021.86381349159	0	604.325692461897
2021.86997714681	0	752.32937319956
2021.87614080203	0	935.232293871311
2021.88230445725	0	1158.70389190869
2021.88846811248	159.962590135231	1390.68885634436
2021.8946317677	322.688508230347	1537.75851655362
2021.90079542292	440.653667799754	1666.31271676349
2021.90695907814	551.615314444397	1782.36504298576
2021.91312273336	597.125983548927	1826.45757891543
2021.91928638858	705.941660040367	1954.70770111127
2021.9254500438	789.980790270081	2044.85845244667
2021.93161369903	857.890844327471	2132.2566658521
2021.93777735425	941.477519510366	2234.18438985059
2021.94394100947	1023.23105892049	2313.22413908856
2021.95010466469	1046.63706581108	2375.36200820367
2021.95626831991	1142.34659838789	2504.33170900994
2021.96243197513	1128.52240054777	2510.3232382186
2021.96859563035	1225.8731997556	2617.62852326377
2021.97475928557	1352.15371426285	2743.81073345096
2021.9809229408	1389.38148947163	2817.04061475171
2021.98708659602	1455.21912208386	2876.89649778681
2021.99325025124	1509.5123481058	2959.71717434443
2021.99941390646	1641.92562583846	3190.14080532569
2022.00557756168	1703.94437307461	3242.41562097746
2022.0117412169	1748.33369383439	3300.71514612571
2022.01790487212	1823.18263704862	3393.66202271636
2022.02406852734	1909.89790150082	3522.37865646783
2022.03023218257	1954.16248909885	3603.8115168012
2022.03639583779	2037.43148688345	3774.81699801822
2022.04255949301	2094.11604561667	3947.67065001618
2022.04872314823	2190.38944919923	4021.82733065905
2022.05488680345	2243.32730079441	4090.35168309639
2022.06105045867	2325.68840305493	4245.58720726733
2022.06721411389	2391.92264159958	4325.55584877864
2022.07337776911	2450.51904580968	4413.48401202022
2022.07954142434	2562.43411778938	4611.73477998473
2022.08570507956	2611.67526520239	4653.852291671
2022.09186873478	2688.59531699278	4839.24433895128
2022.09803239	2625.98478005304	4869.95996476718
2022.10419604522	2806.33152558168	5055.37599559849
2022.11035970044	2862.64069109966	5094.90348767042
2022.11652335566	2915.65897949807	5179.13235960284
2022.12268701089	2980.19926379969	5333.70823479524
2022.12885066611	2994.87068193151	5398.23356954399
2022.13501432133	3082.63471931346	5527.94766453971
2022.14117797655	3094.08387181387	5576.0612605336
2022.14734163177	3116.86098680704	5662.16266799966
2022.15350528699	3197.72230101944	5752.23051665536
2022.15966894221	3230.67860512784	5826.99146968801
2022.16583259743	3337.38007605576	5914.61620202211
2022.17199625266	3381.01007077463	5978.01853016352
2022.17815990788	3484.89007290614	6053.78915600527
2022.1843235631	3572.88012337882	6119.1997722617
2022.19048721832	3605.2548571598	6178.72342633548
2022.19665087354	3640.30894225753	6224.13065617914
2022.20281452876	3649.17624552948	6215.73602358442
2022.20897818398	3649.17624552948	6215.73602358442
2022.2151418392	3808.3645155631	6369.38966828593
2022.22130549443	3808.3645155631	6311.30889750627
2022.22746914965	3826.8217833419	6330.50794603543
2022.23363280487	3977.49126581183	6500.50604585831
2022.23979646009	3927.96319726099	6446.32459955093
2022.24596011531	3936.35730289902	6477.84866487859
2022.25212377053	4132.06737038364	6664.1339960547
2022.25828742575	4152.92601308933	6666.65270682451
2022.26445108098	4029.47388435339	6560.71747945372
2022.2706147362	4089.84964942661	6617.99096224649
2022.27677839142	4132.12083996355	6636.04729807034
2022.28294204664	4199.53594816198	6682.1048019057
2022.28910570186	4254.35521039845	6691.42541676988
2022.29526935708	4292.48491953629	6740.31265939982
2022.3014330123	4292.48491953629	6740.31265939982
2022.30759666752	4295.07491994885	6740.31265939982
2022.31376032275	4306.82373522236	6781.52598097462
2022.31992397797	4315.41264578439	6815.94442412381
2022.32608763319	4315.41264578439	6815.94442412381
2022.33225128841	4315.41264578439	6815.94442412381
2022.33841494363	4315.41264578439	6815.94442412381
2022.34457859885	4315.41264578439	6815.94442412381
2022.35074225407	4306.93893713049	6815.94442412381
2022.35690590929	4306.93893713049	6815.94442412381
2022.36306956452	4306.93893713049	6815.94442412381
2022.36923321974	4315.41264578439	6815.94442412381
2022.37539687496	4315.41264578439	6815.94442412381
2022.38156053018	4315.41264578439	6815.94442412381
