label;country;admin1;admin2;city/town;collection_date
EPI_ISL_18739165|A/chicken/Maryland/23-036657-001/2023|H5N1|USA-MD|2023-11-19|avian|C2.1;USA;MD;Caroline;Unknown;2023-11-19
EPI_ISL_18741793|A/chicken/Maryland/23-036719-001/2023|H5N1|USA-MD|2023-11-16|avian|C2.1;USA;MD;Caroline;Unknown;2023-11-16
EPI_ISL_19194251|A/chicken/Vermont/23-038532-001/2023|H5N1|USA-VT|2023-12-05|avian|C2.1;USA;VT;Orleans;Unknown;2023-12-05
EPI_ISL_19194252|A/chicken/Vermont/23-038532-002/2023|H5N1|USA-VT|2023-12-05|avian|C2.1;USA;VT;Orleans;Unknown;2023-12-05
EPI_ISL_18914528|A/chicken/Maine/24-000724-001/2024|H5N1|USA-ME|2024-01-08|avian|C2.1;USA;ME;York;Unknown;2024-01-08
EPI_ISL_18914529|A/chicken/Maine/24-000724-002/2024|H5N1|USA-ME|2024-01-08|avian|C2.1;USA;ME;York;Unknown;2024-01-08
EPI_ISL_18914530|A/chicken/Maine/24-000724-003/2024|H5N1|USA-ME|2024-01-08|avian|C2.1;USA;ME;York;Unknown;2024-01-08
EPI_ISL_19341025|A/chicken/South_Carolina/24-001296-005/2024|H5N1|USA-SC|2024-01-11|avian|C2.1;USA;SC;Horry;Unknown;2024-01-11
EPI_ISL_19341026|A/guinea_fowl/South_Carolina/24-001296-006/2024|H5N1|USA-SC|2024-01-11|avian|C2.1;USA;SC;Horry;Unknown;2024-01-11
EPI_ISL_19094435|A/wood_duck/Mississippi/24-004235-001/2024|H5N1|USA-MS|2024-02-05|avian|C2.1;USA;MS;Grenada;Unknown;2024-02-05
EPI_ISL_19094437|A/duck/Maine/24-004330-036/2024|H5N1|USA-ME|2024-01-31|avian|C2.1;USA;ME;Androscoggin;Unknown;2024-01-31
EPI_ISL_19094438|A/mallard/New_Hampshire/24-004334-044/2024|H5N1|USA-NH|2024-02-02|avian|C2.1;USA;NH;Sullivan;Unknown;2024-02-02
EPI_ISL_19094441|A/chicken/Maine/24-007946-001/2024|H5N1|USA-ME|2024-03-13|avian|C2.1;USA;ME;Knox;Unknown;2024-03-13
EPI_ISL_19134599|A/wood_duck/South_Carolina/W23-970B/2023|H5N1|USA-SC|2023-12-20|avian|C2.1;USA;SC;Clarendon;Unknown;2023-12-20
EPI_ISL_19134609|A/wood_duck/South_Carolina/W24-007C/2023|H5N1|USA-SC|2023-12-20|avian|C2.1;USA;SC;Clarendon;Unknown;2023-12-20
EPI_ISL_19134619|A/wood_duck/South_Carolina/W24-007E/2023|H5N1|USA-SC|2023-12-20|avian|C2.1;USA;SC;Clarendon;Unknown;2023-12-20
EPI_ISL_19134600|A/wood_duck/North_Carolina/W24-011A/2023|H5N1|USA-NC|2023-12-21|avian|C2.1;USA;NC;Hyde;Unknown;2023-12-21
EPI_ISL_19064404|A/wood_duck/North_Carolina/W24-026/2024|H5N1|USA-NC|2024-01-04|avian|C2.1;USA;NC;Carteret;Unknown;2024-01-04
EPI_ISL_19064388|A/hooded_merganser/South_Carolina/W24-028/2024|H5N1|USA-SC|2024-01-10|avian|C2.1;USA;SC;Georgetown;Unknown;2024-01-10
