time	distance
2021.90784801458	0
2021.93835969837	0
2021.96887138216	0
2021.99938306595	0
2022.02989474973	0
2022.06040643352	240.36232344082
2022.09091811731	902.062493553557
2022.1214298011	1210.25271561509
2022.15194148489	1506.75592271146
2022.18245316868	1825.90318518595
2022.21296485247	2161.51092367341
2022.24347653625	2584.87855553242
2022.27398822004	3022.66849658884
2022.30449990383	3682.95225000224
2022.33501158762	3909.48757271909
2022.36552327141	4238.66274353767
2022.3960349552	4739.11490891479
2022.42654663899	5222.53300146973
2022.45705832277	5487.7025354475
2022.48757000656	5709.28412766051
2022.51808169035	6105.12699140488
2022.54859337414	6683.99402668083
2022.57910505793	7697.1872496791
2022.60961674172	8456.68796965625
2022.64012842551	9554.60716377082
2022.67064010929	10926.7907839099
2022.70115179308	11789.8901733374
2022.73166347687	12448.3100483636
2022.76217516066	13073.8736971705
2022.79268684445	13579.5569344449
2022.82319852824	14135.8691597453
2022.85371021203	14522.4210305098
2022.88422189582	14883.7859351914
2022.9147335796	15166.7307911408
2022.94524526339	15443.6169623218
2022.97575694718	15687.0481285099
2023.00626863097	15856.5688796583
2023.03678031476	16100.0700562692
2023.06729199855	16382.2858163816
2023.09780368234	16927.7575977363
2023.12831536612	17939.4991765493
2023.15882704991	17947.5812053755
2023.1893387337	17985.9308236117
2023.21985041749	18053.578277638
2023.25036210128	18098.491013869
2023.28087378507	18191.6614425295
2023.31138546886	18295.0860167217
2023.34189715264	18371.595195774
2023.37240883643	18550.0374929324
2023.40292052022	18593.3905704591
2023.43343220401	18635.8058646216
2023.4639438878	18704.1266878475
2023.49445557159	18793.0594982311
2023.52496725538	18913.0736227983
2023.55547893916	19044.1212122811
2023.58599062295	19243.9163682542
2023.61650230674	19422.1688474753
2023.64701399053	19592.4473488123
2023.67752567432	19694.3276009462
2023.70803735811	19810.464700187
2023.7385490419	19901.4563818244
2023.76906072568	20016.1240458787
2023.79957240947	20046.2227587351
2023.83008409326	20105.1885349652
2023.86059577705	20205.0350034281
2023.89110746084	20270.7561960011
2023.92161914463	20298.6921457877
2023.95213082842	20349.4966707798
2023.9826425122	20441.279766576
2024.01315419599	20545.7457704816
2024.04366587978	20591.3191681612
2024.07417756357	20615.496710273
2024.10468924736	20640.052758807
2024.13520093115	20654.4903588384
2024.16571261494	20689.5962108162
2024.19622429872	20691.8054198293
2024.22673598251	20691.8054198293
2024.2572476663	20691.8054198293
2024.28775935009	20693.1483806611
2024.31827103388	20693.1483806611
2024.34878271767	20694.1334133699
2024.37929440146	20705.1736602709
2024.40980608525	20713.1408565114
2024.44031776903	20735.1531819899
2024.47082945282	20747.082748485
2024.50134113661	20753.3405380885
2024.5318528204	20755.1888995391
2024.56236450419	20767.7462708865
2024.59287618798	20786.8567558772
2024.62338787177	20799.1232243995
2024.65389955555	20812.6989490892
2024.68441123934	20828.2931929706
2024.71492292313	20837.0673028324
2024.74543460692	20849.1037268061
2024.77594629071	20875.1425263105
2024.8064579745	20888.6653708303
2024.83696965829	20902.261160331
2024.86748134207	20911.8920842126
2024.89799302586	20923.8039268037
2024.92850470965	20927.9824446373
2024.95901639344	20927.9824446373
