time	distance
2021.34460123261	0
2021.38288124768	0
2021.42116126275	0
2021.45944127782	0
2021.4977212929	0
2021.53600130797	0
2021.57428132304	0
2021.61256133811	0
2021.65084135318	0
2021.68912136825	0
2021.72740138332	0
2021.76568139839	0
2021.80396141346	68.5317646971192
2021.84224142854	258.614854363457
2021.88052144361	445.096664178745
2021.91880145868	630.782042895925
2021.95708147375	815.094642067215
2021.99536148882	1003.58719835432
2022.03364150389	1174.90103312395
2022.07192151896	1376.93340989451
2022.11020153403	1572.5927345337
2022.14848154911	1789.03487282448
2022.18676156418	2065.56591685997
2022.22504157925	2350.87289343101
2022.26332159432	2675.99080904665
2022.30160160939	3077.0114460842
2022.33988162446	3218.74489402522
2022.37816163953	3500.77524900571
2022.4164416546	3784.39778011379
2022.45472166967	3807.16574697434
2022.49300168475	3842.74729252351
2022.53128169982	3884.5811783604
2022.56956171489	3933.20875393183
2022.60784172996	4067.63635395606
2022.64612174503	4667.01806033345
2022.6844017601	6124.83521630813
2022.72268177517	7093.6025444827
2022.76096179024	7801.5697599446
2022.79924180532	8581.09645933607
2022.83752182039	9208.34255383692
2022.87580183546	9621.01683445649
2022.91408185053	9877.26041591755
2022.9523618656	10038.4421595178
2022.99064188067	10154.0497068934
2023.02892189574	10263.8910764043
2023.06720191081	10354.6375573392
2023.10548192589	10500.8269571069
2023.14376194096	10658.2125008225
2023.18204195603	10814.7031443445
2023.2203219711	10982.1353020203
2023.25860198617	11180.5521523334
2023.29688200124	11269.7214386898
2023.33516201631	11382.1324167514
2023.37344203138	11541.2218153736
2023.41172204645	11701.5590118248
2023.45000206153	11854.1411049401
2023.4882820766	12023.4033485546
2023.52656209167	12182.9029941871
2023.56484210674	12367.8927400075
2023.60312212181	12551.5895913604
2023.64140213688	12695.4813095219
2023.67968215195	12751.3617109563
2023.71796216702	12795.9111726476
2023.7562421821	12822.0844615936
2023.79452219717	12854.2044554217
2023.83280221224	12876.677563384
2023.87108222731	12901.5431274878
2023.90936224238	12920.550020736
2023.94764225745	12938.4355828889
2023.98592227252	12940.8780581414
2024.02420228759	12968.4123576003
2024.06248230267	12985.3090499458
2024.10076231774	12999.0474287346
2024.13904233281	13012.9908113729
2024.17732234788	13015.6024416491
2024.21560236295	13017.3741026557
2024.25388237802	13024.0289184811
2024.29216239309	13027.97125107
2024.33044240816	13027.97125107
2024.36872242323	13028.7908858286
2024.40700243831	13028.7908858286
2024.44528245338	13029.7916191479
2024.48356246845	13030.5991820483
2024.52184248352	13032.3719249218
2024.56012249859	13034.6721213167
2024.59840251366	13036.3892025382
2024.63668252873	13036.3892025382
2024.6749625438	13041.0468308849
2024.71324255888	13041.0468308849
2024.75152257395	13041.0468308849
2024.78980258902	13041.8361454181
2024.82808260409	13041.8361454181
2024.86636261916	13042.6570763381
2024.90464263423	13042.6570763381
2024.9429226493	13042.6570763381
2024.98120266437	13042.6570763381
2025.01948267945	13042.6570763381
2025.05776269452	13042.6570763381
2025.09604270959	13042.6570763381
2025.13432272466	13042.6570763381
2025.17260273973	13042.6570763381
