OBJECTID,NAME,GlobalID,Shape__Area,Shape__Length
1,Atlantic Flyway,8825eaf0-68d3-4e6e-900c-00bf807ff4e5,125.926014252484,102.50870196335
2,Mississippi Flyway,85a59b7e-7097-4b3e-963d-b70e845e5f14,219.774164211942,95.1448719734447
3,Pacific Flyway,738f52d2-ade0-4f2b-a813-fa0c127a39fa,559.186042068526,355.006177784233
4,Central Flyway,38cce61b-1bcc-497e-b04e-da5c8eadaa27,258.841829038895,119.944003542136
