trait	country	admin1	admin2	collection_date	latitude	longitude	precision
EPI_ISL_20179903|A/Skua/Beak_Island/SK09-147/2024|H5N1|Antarctica-Beak_Island|2024-03-20|wild_avian|B3.2	Antarctica	Beak_Island	Unknown	2024-03-20	-63.6139	-57.3232	precise (Google_Earth)
EPI_ISL_20180235|A/Skua/Beak_Island/SK13-180/2024|H5N1|Antarctica-Beak_Island|2024-03-21|wild_avian|B3.2	Antarctica	Beak_Island	Unknown	2024-03-21	-63.6139	-57.3232	precise (Google_Earth)
EPI_ISL_20180245|A/Skua/Devil_Island/SK07-52/2024|H5N1|Antarctica-Devil_Island|2024-03-19|wild_avian|B3.2	Antarctica	Devil_Island	Unknown	2024-03-19	-63.8	-57.2801	precise (Google_Earth)
EPI_ISL_20179748|A/Brown_skua/Hope_Bay/SK02-30/2024|H5N1|Antarctica-Hope_Bay|2024-03-18|wild_avian|B3.2	Antarctica	Hope_Bay	Unknown	2024-03-18	-63.3833	-56.9833	precise (Google_Earth)
EPI_ISL_19410266|A/South_polar_skua/Antarctica/INACH-UC-UCHILE-SKU5L/2024|H5N1|Antarctica|2024-03-03|wild_avian|B3.2	Antarctica	James_Ross_Island	Unknown	2024-03-03	-63.7989	-57.8105	precise (https://pubmed.ncbi.nlm.nih.gov/40633557/)
EPI_ISL_19847535|A/Brown_skua/Fildes_Peninsula/B1/2024_H5N1_|H5N1|Antarctica-Fildes_Peninsula|2024-12-10|wild_avian|B3.2	Antarctica	King_George_Island	Fildes_Peninsula	2024-12-10	-61.9882	-58.0196	precise (Google_Earth)
EPI_ISL_20180699|A/antarctic_fur_seal/Antarctica/O2904-BR/2024|H5N1|Antarctica-King_George_Island|2024-12-09|other_mammal|B3.2	Antarctica	King_George_Island	Unknown	2024-12-09	-61.9882	-58.0196	precise (Google_Earth)
EPI_ISL_20180690|A/skua/Antarctica/O3577-CL/2025|H5N1|Antarctica-King_George_Island|2025-02-25|wild_avian|B3.2	Antarctica	King_George_Island	Unknown	2025-02-25	-61.9882	-58.0196	precise (Google_Earth)
EPI_ISL_20180691|A/skua/Antarctica/O3588-CL/2025|H5N1|Antarctica-King_George_Island|2025-02-28|wild_avian|B3.2	Antarctica	King_George_Island	Unknown	2025-02-28	-61.9882	-58.0196	precise (Google_Earth)
EPI_ISL_20180696|A/skua/Antarctica/O3610-OR/2025|H5N1|Antarctica-King_George_Island|2025-03-05|wild_avian|B3.2	Antarctica	King_George_Island	Unknown	2025-03-05	-61.9882	-58.0196	precise (Google_Earth)
EPI_ISL_19879314|A/pintado_petrel/Antarctica/O3121-CL/2024|H5N1|Antarctica-Livingston_Island|2024-12-03|wild_avian|B3.2	Antarctica	Livingston_Island	Unknown	2024-12-03	-62.6306	-60.2045	precise (Google_Earth)
EPI_ISL_19879315|A/antarctic_fur_seal/Antarctica/O3122-BR/2024|H5N1|Antarctica-Robert_Island|2024-12-04|other_mammal|B3.2	Antarctica	Robert_Island	Unknown	2024-12-04	-62.3998	-59.5074	precise (Google_Earth)
