trait,country,admin1,admin2,collection_date,latitude,longitude,location_used
EPI_ISL_18698478|A/Chicken/Argentina/556-6/2023|H5N1|Argentina-Buenos_Aires|2023-02-23|domestic_avian|B3.2,Argentina,Buenos_Aires,Olavarria,2023-02-23,-36.68104284,-60.56083205,precise (Martha)
EPI_ISL_18698507|A/Chicken/Argentina/1340-2/2023|H5N1|Argentina-Buenos_Aires|2023-03-31|domestic_avian|B3.2,Argentina,Buenos_Aires,Lobos,2023-03-31,-35.08456,-59.03253,precise (Martha)
EPI_ISL_18698519|A/Chicken/Argentina/1984-4/2023|H5N1|Argentina-Buenos_Aires|2023-05-04|domestic_avian|B3.2,Argentina,Buenos_Aires,Pilar,2023-05-04,-34.49607,-58.89526,precise (Martha)
EPI_ISL_18698527|A/Chicken/Argentina/2796-2/2023|H5N1|Argentina-Buenos_Aires|2023-06-13|domestic_avian|B3.2,Argentina,Buenos_Aires,La Plata,2023-06-13,-35.089,-57.947197,precise (Martha)
EPI_ISL_18698518|A/Chicken/Argentina/1976-2/2023|H5N1|Argentina-Chaco|2023-05-01|domestic_avian|B3.2,Argentina,Chaco,San Fernando,2023-05-01,-27.41668,-59.02865,precise (Martha)
EPI_ISL_18698511|A/Chicken/Argentina/1530-3/2023|H5N1|Argentina-Chubut|2023-04-12|domestic_avian|B3.2,Argentina,Chubut,Biedma,2023-04-12,-42.7996,-65.08174,precise (Martha)
EPI_ISL_19137653|A/Seagull/Sarmiento/1651-4/2023|H5N1|Argentina-Sarmiento|2023-04-17|wild_avian|B3.2,Argentina,Chubut,Sarmiento,2023-04-17,-45.326,-69.071,precise (GISAID)
PP488337|A/royal_tern/Argentina/CH-PD036/2023|H5N1|Argentina|2023-10-10|wild_avian|B3.2,Argentina,Chubut,Biedma,2023-10-10,-42.764,-63.6326,precise (Martha)
PP488329|A/South_American_tern/Argentina/CH-PD030/2023|H5N1|Argentina|2023-10-10|wild_avian|B3.2,Argentina,Chubut,Biedma,2023-10-10,-42.764,-63.6326,precise (Martha)
EPI_ISL_19823065|A/Southamerican_tern/Argentina/267-2/2023|H5N1|Argentina-Chubut|2023-12-24|wild_avian|B3.2,Argentina,Chubut,Unknown,2023-12-24,NA,NA,
