# BEAST v10.5.0-beta5 Prerelease #fb0d1ded5
# Generated Thu Mar 05 18:04:15 CET 2026 [seed=1772730253294]
# -beagle_gpu -beagle_double -beagle_order 1 -overwrite B32_skygrid.xml
# keywords: skygrid discretized_branch_rates
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.logPopSize26	skygrid.logPopSize27	skygrid.logPopSize28	skygrid.logPopSize29	skygrid.logPopSize30	skygrid.logPopSize31	skygrid.logPopSize32	skygrid.logPopSize33	skygrid.logPopSize34	skygrid.logPopSize35	skygrid.logPopSize36	skygrid.logPopSize37	skygrid.logPopSize38	skygrid.logPopSize39	skygrid.logPopSize40	skygrid.logPopSize41	skygrid.logPopSize42	skygrid.logPopSize43	skygrid.logPopSize44	skygrid.logPopSize45	skygrid.logPopSize46	skygrid.logPopSize47	skygrid.logPopSize48	skygrid.logPopSize49	skygrid.logPopSize50	skygrid.logPopSize51	skygrid.logPopSize52	skygrid.logPopSize53	skygrid.logPopSize54	skygrid.logPopSize55	skygrid.logPopSize56	skygrid.logPopSize57	skygrid.logPopSize58	skygrid.logPopSize59	skygrid.logPopSize60	skygrid.cutOff	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	frequencies1	frequencies2	frequencies3	frequencies4	alpha	pInv	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	skygrid
0	-445334.1400236284	-30468.146038564162	-414865.99398506427	136.09783380309187	1889.0747689366342	1260.9237305581198	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.5	0.001	0.3333333333333333	2.4289794897947684E-4	9.092004677759752	0.0026931350204331237	-414865.99398506427	-8201.277403272577	-22263.06557391631
100000	-139069.59138557946	-12843.925590354374	-126225.6657952251	106.21952222751959	1918.9530805122065	3107.137179411611	0.11345690283489522	30.306105514066736	28.010554187454687	23.362752835758513	22.308553459952236	25.391937105783413	25.775922350217165	25.104074231853403	20.475535531552353	24.500103342183102	22.67885951472497	14.71571003598837	15.440409613771358	14.659321406492516	18.955958664438953	19.11204380951103	16.535734848717485	15.53417316308019	12.345995651779598	16.709664520417412	17.650168338724896	18.073219622457717	18.72231827591263	16.359601268837846	18.81187498989536	16.465469132892594	17.231971499600753	21.264166473783543	19.670188712080723	22.518651506915738	25.74884432476628	22.472779134182478	19.32198422501577	19.28130150001148	14.64637061906319	15.162671325710935	15.904855976682075	13.869698275156336	13.864729682367411	8.40578314703842	6.2386236882831065	6.9836534400564	6.261873009709914	6.497001528552302	7.037662157332778	10.37349968093742	9.785995491875592	13.762873451795517	14.186708969827615	10.914201770184093	8.009069037161535	7.203840449417539	4.596875886161528	10.072169710088616	4.479323992853394	8.823691095328442	5.899633340410951	7.167544361736667	6.098277520141886	7.975201268919074	6.617320648685888	2.0	0.9958513348904271	1.1824163819894125	0.9037111749475599	0.8635659057305821	1.0793603523458022	0.9750948500962169	0.33930520989283836	0.1865924220063936	0.24211516307255349	0.23198720502821446	0.3608489009552515	0.9926256617420911	5.769347126994406E-4	5.187796164051744E-4	4.639944962251226E-4	0.8202081363590149	-0.009454685819337172	-126225.6657952251	-8201.277403272577	-4640.189981617119
200000	-122618.73884259557	-12823.455647976123	-109795.28319461945	66.29463465443496	1958.877968085291	3062.109710269719	0.2832861109560457	18.735469098368455	13.710448866353762	13.512566834770267	16.052396716723386	16.354090509331243	15.341688511247348	14.777535482136791	13.46935946296048	15.069437220075544	14.302040262485143	17.40010646004999	20.8415182467049	21.874472408216135	19.085201208046648	18.892830181886403	19.02002927359696	20.140212112344315	20.73399426191669	18.76850685475688	16.341219113072597	18.006600623958974	19.4704194196732	18.36657678913732	17.543889208235484	16.717509557561343	17.07639844692545	14.855025549660729	11.494331243328027	12.56103193452538	12.050554152762137	9.06622537399765	7.073944439565048	5.305524438200997	5.5196145476465945	7.639684965148761	6.5741652383421485	4.332149516806935	3.9464299974844423	5.986297390056328	4.886504653386276	2.625394965718693	3.4051963745068274	3.2884821258320525	5.968520981658893	9.309078694735215	10.768732131122949	12.576336066628182	10.887746120846884	14.002148188562213	14.933168930597638	8.886869151143099	9.127819968188975	7.210385040493027	4.353982761358909	9.712161309330767	9.826335925124662	7.690595376199068	9.647861022593009	9.370970834005591	6.746191142656047	2.0	0.9616400880260658	1.2393120791737708	0.8168523601285361	0.799593993647147	1.2065715855880534	0.9760298934364274	0.33663347965627094	0.18491421110290251	0.24727837330630772	0.23117393593451874	0.42974946071960535	0.9897547800858196	3.459667579180575E-4	2.7067861968809505E-4	2.9388423897855657E-4	0.7028206614674446	-0.013948482571058175	-109795.28319461945	-8201.277403272577	-4619.650314809174
300000	-115618.00243044936	-12853.850808702844	-102764.15162174651	54.18084206639223	1970.9917606733338	3138.565850669246	0.20835151237068775	36.514871601403215	37.18197036438381	37.800398298279134	36.040169902703525	34.24830612333707	36.473612565259714	30.341245082956274	28.95905173857401	30.8830748092832	33.13900003836068	30.254493018895843	24.1229728453005	23.724196536465726	25.093007324023155	26.65260500045727	21.940092991821892	21.936093464579738	22.2721698702372	24.571476120269235	22.46336537782573	17.84072283441133	13.240081458619269	14.633947040959882	14.147756963302522	13.13031673182962	9.615402427490785	12.042110322266428	10.712078494439556	8.994904230088753	11.653858223980457	15.676081021612541	13.608515321789328	9.559641971329919	9.196989331788677	9.653881427381041	6.9192542140888555	8.740886666222245	10.41749933730829	8.340279941450303	7.443956273646949	7.518880374359251	3.0895757850699552	4.63299787464662	4.14496276614024	3.3011153351709646	4.650871989888458	7.843296916055566	6.001056717872123	8.404764773555073	6.915783580108445	7.723439328469352	5.142426842025831	7.9103320457977215	8.479385631070917	13.370004584979316	9.974408694190958	8.996635313549792	8.325013729695314	9.745476168676442	6.795021430970213	2.0	0.913286013715174	1.415876020787108	0.6945507858603468	0.7078250057216212	1.2861379975100862	0.9823241764056639	0.3465809144176145	0.18892992026683014	0.2347367717918784	0.22975239352367705	0.4984517076952821	0.98702190074943	3.0338732310021224E-4	2.669941964463701E-4	2.5268729085519727E-4	0.7868129923465997	0.014619426072427015	-102764.15162174651	-8201.277403272577	-4650.400264762032
400000	-113193.56656038902	-12785.651245219207	-100407.91531516981	50.39424958909749	1974.7783531506286	3000.7662903799273	0.2958246025596437	2.4234682697954657	1.7920272980882341	2.986230952684261	0.9528258019375331	5.211086912315152	5.538781087888362	7.10834721569428	5.565546504279105	5.548962243059325	6.837332213288501	4.750289582224875	3.356312043688413	3.373327052286502	4.4377522984292215	5.941530895906154	8.36717826106043	7.55733561294449	7.62030111272281	7.939619176445982	9.548017730923798	12.976115662706661	11.60827319284194	11.280015018127255	9.812346554227783	11.169926657523117	13.62233809382566	10.994706250781853	6.288277277055526	5.171483260349305	3.4976465615712358	4.207712511569354	5.202957582064365	6.291153830466624	7.231714318652351	7.61735883261256	4.888480920582033	4.823443694062988	4.9449796672520145	4.31001045492068	5.500699937076279	2.949352598780811	1.955299813250133	3.4677610643247907	6.0430464935534545	5.395268088881849	6.245704982606349	5.759017609725721	3.7863442033247794	5.191754624003176	6.035168460392497	7.192899967056148	7.821618858881967	10.167619526423511	9.01870667573308	9.941777187619422	9.551074089352158	7.830413709815955	7.483148911671359	7.941709139568071	6.748723263838198	2.0	0.8839739636867397	1.5469053750169768	0.5542450259025459	0.6067709810888938	1.4190166982772006	0.9890879560276438	0.3441332595365397	0.18835640418426883	0.23295262088293206	0.23455771539625955	0.5162591885668772	0.9309461444952217	2.904521735330295E-4	2.5191286567426683E-4	2.4674194634730133E-4	0.8215021728917653	0.033266914411999235	-100407.91531516981	-8201.277403272577	-4581.894813065807
500000	-111791.83590393944	-12690.325972370592	-99101.50993156886	57.684164497260944	1967.488438242465	2903.3488851018205	2.360523648243886	6.168690305878464	6.113168849052403	4.806443257653194	3.9994451209659174	3.4094479821116512	3.5559501864000644	3.545222460244561	3.3095399181782543	2.5065427148428556	2.9684600453610037	3.2042230361901956	2.9505896109059924	3.333694183676474	2.7364849987312696	2.4507786732449457	2.805838407267559	3.612715823651743	3.548055318296563	3.322470808979062	3.552953555247959	3.4660224354343385	4.794578667831381	4.457865668151113	4.3821082229357895	3.107731339653718	3.6395049851575476	3.0934943433192466	3.991301191500009	3.39729525176486	3.478655257080648	3.584871298066599	3.114159427292584	4.144091884430952	4.552660532031025	3.7841656119554323	2.831020008087261	3.528291950936553	5.13701498787928	4.875973221360993	5.262251450604349	4.784638742095062	5.317071300829779	4.601487395572988	4.930805974699583	4.808913774206694	5.012428149901313	5.137748898153801	5.027464374664624	5.551833780818255	5.792336243576837	6.031383292850771	6.304570183152932	5.295754744350239	5.847506207373336	6.248781499705201	6.217821335122017	6.460118176779873	7.744172128888783	7.0870747111768395	6.660451395815793	2.0	0.8741563348342453	1.6421982415678142	0.46252747258906274	0.4930931279368005	1.5113848425963916	1.016639980475687	0.34799022126776474	0.1875251511222231	0.23347457993024023	0.2310100476797722	0.5459308254887124	0.9735531722935153	3.366293759814289E-4	3.22008475538516E-4	2.681945721659153E-4	0.8644207792337013	0.045392328627213555	-99101.50993156886	-8201.277403272577	-4484.237080133708
600000	-110880.91068295311	-12665.856144228059	-98215.05453872505	53.40278842687309	1971.769814312853	2753.9816513570277	1.0770619357172966	5.408349156710519	4.296171381522099	4.176577394316492	5.238862560432261	4.934458811266965	4.463772924859104	6.84526079667035	7.310616954598452	6.661583051638269	7.16308275436432	8.00828855220773	9.140004755934719	8.982652264574897	10.240258452869242	10.214601788308327	9.496739696148062	7.604940645268415	6.767419221790237	5.827034948837393	6.2976828086396175	5.22024809577684	2.814044208229271	4.616552996928418	3.112297325032917	2.6185810909578606	1.7330857503755994	0.5055962603619457	1.1865009225034762	2.536093958675611	3.094220303354376	3.231098567374425	3.5386582344823623	3.0776696264896692	3.303998101888201	3.7668599755206773	4.827481497477689	3.424138086521121	2.394109903364435	3.379688015535136	4.357852418910741	5.785965732002936	6.0900391398313864	7.599388235547583	6.096889420004534	6.023133121708558	7.206023788255184	6.748797809789082	8.106353971763836	8.666102738420802	8.59482132972841	8.300819301403017	8.906791062022862	10.004807532241092	10.02770376193129	8.891078633968066	9.30781723492274	9.367173993056479	9.100449406819775	6.49420317286	6.605439845176043	2.0	0.8519318355847084	1.76696389571261	0.4331709205853467	0.3323954214232318	1.577123519560258	1.038414407133847	0.341877576627335	0.1935807687950338	0.23168416736387532	0.23285748721375624	0.5198352565842533	0.942339568579506	3.434380689756107E-4	3.271237065292034E-4	2.702660260472002E-4	0.8125318150344255	0.04131993943407789	-98215.05453872505	-8201.277403272577	-4460.5996828708385
700000	-110153.05556314655	-12645.958391088903	-97507.09717205765	54.49167302212637	1970.6809297175996	2772.622969451537	1.7705567071743211	10.747188623416783	10.645045173848938	10.675671084742948	10.215257564799582	9.746508520160758	9.197516496080997	8.90246756731693	8.33481996698298	6.548838733417591	6.343807231442757	6.685513034195753	5.8400101275172	6.21012706536591	5.272954336847958	4.273640423073	5.765230958920197	5.664550966589881	5.075065922250423	3.5295014724835774	3.2015598054354797	2.427046086943271	2.157748121152152	1.9079403498543475	1.2541343939167378	2.407130977757019	2.5526483190068765	1.139889023691413	0.9866595290121805	1.7624173323222387	3.4264108168551397	3.188073006034618	3.744047154179274	5.037781724677964	4.541909562871766	4.456266068188633	3.813243943302502	2.9671000877465468	3.624505436959314	2.822063424896764	4.20922989715083	3.362800231578831	3.3469404960857014	3.6038793242731546	2.8456742303368108	4.854227463470651	4.177840854197228	4.061084265954541	4.072010873497339	4.28603241770849	5.826756973247993	7.064838658363247	5.986852002786202	5.335560995995928	4.888875177343574	6.131353681447979	6.403203512445334	7.491926062398175	7.755226727545913	7.13317774971775	6.587693491232257	2.0	0.8269261789960746	1.8993436614018315	0.4182050459898249	0.15187322108347814	1.6512000335735533	1.0524518589552392	0.3403560668290603	0.201412217050739	0.23195265380029417	0.2262790623199067	0.5192501500038975	0.922072413770914	3.3951221246575385E-4	3.6269792416304675E-4	2.5797958046455574E-4	0.8878315255580327	0.02138371429835799	-97507.09717205765	-8201.277403272577	-4440.219343918285
800000	-109421.8574133231	-12658.19680614783	-96763.66060717528	51.631904699537	1973.540698040189	2775.968600443242	1.1349003888433016	4.552158675761405	4.4513738566652306	4.343734668614546	3.0394289534487093	3.5860182840674337	3.306250664454211	4.567959067373542	4.734646634366962	4.869835400014662	3.777624925161078	4.594545723399484	5.908724789788713	6.001748657796906	6.602067646596736	6.157711122152501	7.454750997969267	6.494014971557478	6.918066723211606	5.841026108674999	5.4829501148802695	5.309903051592887	4.820658379870511	3.529082905747976	2.2189967359960683	1.1685360477132885	2.1764755581215924	2.266611364541288	1.3932458425219045	1.2243225631125334	1.4831041922751391	0.6440269881582465	2.881218930152209	4.38925819521991	4.044264827897822	4.850565487479345	5.672974035639965	6.480328403968554	4.789424729929139	5.147093932015669	4.663177664921949	5.507354508708605	7.134000124138813	6.807197743027948	6.487484373325408	6.81937544119158	5.645836756511001	6.336931002541868	6.25523043972291	6.700496874834159	5.74255937753948	6.0907903130685845	4.639393704890627	5.338823168341426	5.047760064014004	4.895006229502035	6.316998275350978	5.243435942552741	7.520889269343976	7.928229858207106	6.5571910561000015	2.0	0.7491816181323913	1.9835346820947533	0.35731839893191814	0.13024073973997505	1.8506099786376264	0.9291145824633376	0.33929572395799457	0.20006096389430555	0.22546701144595757	0.23517630070174256	0.5696517647158948	0.9843181495980605	3.510001505690163E-4	3.597112667702011E-4	2.696503525935368E-4	0.8776931752135093	0.00733114255637527	-96763.66060717528	-8201.277403272577	-4452.752843316313
900000	-109005.2965075977	-12632.134341743727	-96373.16216585397	54.771520690040894	1970.401082049685	2845.1505259540304	3.858112414831019	4.832719964658698	5.054855786946105	4.533748990341158	4.1746906006528555	4.767342232595553	4.205825406482226	4.401107565503987	4.080699250612711	4.1599063664577	4.358657588493652	4.2991384167454845	3.270572528333307	3.955972564666302	3.7503179816199297	4.195376108009111	3.44965586269507	2.425520307486959	2.477902783305134	3.3730391251404703	3.608748041561215	3.580866382366813	3.1119555533760006	2.6845725717918123	1.6591348759618345	1.0931970318055368	0.5283278478987115	1.391636585723218	1.7116089798718663	2.6630532728387846	2.461329834787932	2.6016547404926262	3.646840804869917	3.658503779393388	3.5908877190340425	3.254667594344313	3.62809663963439	3.688041272481205	3.0565050256217505	3.6866693382556144	4.037565637422236	4.652711192808897	4.671136422349976	4.763359526719177	4.945620093207468	5.35098241252519	4.906335147187401	5.20102932090993	5.714785506893531	5.805941688244377	6.409021897361583	6.542552980178202	6.394093360293903	7.178172493926594	7.1256303151503975	7.224504501811885	6.604714318859327	6.996190528285851	7.1504870091946815	7.457051029143378	6.657468429020819	2.0	0.7119729495185461	2.0692727491955067	0.3498270730945165	0.11425170347840787	1.9486085583232167	0.8060669663898082	0.3356133323898927	0.19743151690944563	0.2372778138339101	0.22967733686675165	0.5606488837990724	0.9387149610799423	3.408536095642202E-4	3.569038424143014E-4	2.6028567801074815E-4	0.8587501022771701	0.10739936001422165	-96373.16216585397	-8201.277403272577	-4425.514820823653
