mean_branch_dispersal_velocity	weighted_branch_dispersal_velocity	branch_dispersal_velocity_variation_among_branches	original_diffusion_coefficient	weighted_diffusion_coefficient	diffusion_coefficient_variation_among_branches	isolation_by_distance_signal_rS	isolation_by_distance_signal_rP1	isolation_by_distance_signal_rP2
6236.96798038641	1790.26533700163	3.56901447143301	208412.824729973	236407.727469986	5.72414437871519	-0.0335228779895793	0.103961933073984	0.202740085068165
5450.93940211608	1487.19837034284	3.86940625791284	113181.075859545	179490.462696433	4.80271079394716	-0.0173986315210898	0.119699137577128	0.201959221878317
3708.97026655863	1486.45462007494	2.09313384671907	125332.85481402	198864.235250536	4.69103854006395	0.00757118492016193	0.116320861723423	0.196293096539257
3776.09534398777	1467.90411915883	2.32725562807671	110348.336334026	189878.062821536	3.69070938167569	-0.0167676744662319	0.116125105733565	0.210896571248436
3377.59135764338	1500.16483502981	1.9365691384586	109630.026381778	177710.227131602	6.3978894063779	-0.0185786832933914	0.115545923292508	0.207741707305685
4219.57441568848	1467.27185135456	4.29069568734538	109535.584890272	169537.954371086	4.55464516867428	-0.0350956072925112	0.0920436943896804	0.183169216662717
5659.74330494885	1609.95796733663	6.12229987652664	166118.677727262	242502.695417306	6.35238029563208	-0.00482982315802725	0.123426956627146	0.20364604369375
4378.76076381461	1592.17745182121	2.99749709973116	143568.302516113	271564.693033994	5.6073667943746	0.0240377887556071	0.123065116100025	0.216425926879156
4344.68124453379	1578.75619009714	3.1699336382484	122473.382080064	191812.574070626	6.16538296403763	-0.00871594362136014	0.112210664890293	0.204367815339783
6806.74558139219	1743.50920615512	5.69175478552726	192582.846308388	264571.170489785	6.30133456449519	-0.00247651263926779	0.122050858961983	0.204766263352068
4447.38496833723	1565.58551615352	3.26876809442518	152991.944041281	198963.275122273	5.6246586477227	-0.000117425217753598	0.126960958953816	0.215665833673387
3950.34451568594	1774.83858663697	1.6165776392274	159494.756581927	238307.660919951	4.77953659438881	0.0264404517709156	0.142122932330152	0.233116576516738
3691.35939634256	1597.5892799184	2.43150541903753	110066.996844508	227292.758400753	4.41320704423169	-0.0473156099001927	0.0846110814589402	0.188045241597676
