node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel
682,683,0.00245625526419246,-94.5858877090045,43.2133763340816,-94.8639958034984,43.6170230260885,1.03140519602804,1.02894894076385,2023.70028196819,2023.70273822345,NA
951,955,0.00539672215022424,-121.850470601367,44.3260368337416,-120.646245162521,44.473979295465,1.04902786424077,1.04363114209055,2023.71496416952,2023.72036089167,NA
626,627,0.0240906356059658,-120.441974275502,37.03574040035,-120.893018144646,37.0148965780686,1.05955946469082,1.03546882908485,2023.70680185651,2023.73089249212,NA
1046,1047,0.0263387047408883,-111.715677552779,39.6436831398089,-111.180505341351,39.0434243499303,1.06093035183548,1.03459164709459,2023.70592467452,2023.73226337926,NA
867,868,0.038994476803301,-93.6897828319648,42.950726289258,-93.7714931902399,42.8277258959024,1.07372057044992,1.03472609364662,2023.70605912107,2023.74505359787,NA
1032,1034,0.0405543656887786,-99.8819168019272,46.4035988447646,-94.3388790438631,44.0784199469894,1.08026367336652,1.03970930767774,2023.7110423351,2023.75159670079,NA
626,629,0.0457571854578918,-120.441974275502,37.03574040035,-120.825502012687,37.1461953486438,1.08122601454274,1.03546882908485,2023.70680185651,2023.75255904197,NA
699,536,0.0447540487866316,-95.9949151228594,42.7856683063477,-104.099283501896,41.5837770384288,1.08209163010925,1.03733758132262,2023.70867060875,2023.75342465753,A/mallard/Wyoming/23-031581-003-original/2023|H5N1|USA-WY|2023-10-03|avian|B3.6
1046,56,0.0502397090420184,-111.715677552779,39.6436831398089,-111.502878251749,39.3891485284036,1.08483135613661,1.03459164709459,2023.70592467452,2023.75616438356,A/turkey/Utah/23-030211-002/2023|H5N1|USA-UT|2023-10-04|avian|B3.6
1047,55,0.0239010043011301,-111.180505341351,39.0434243499303,-111.384455985465,39.0637035646193,1.08483135613661,1.06093035183548,2023.73226337926,2023.75616438356,A/turkey/Utah/23-030211-003/2023|H5N1|USA-UT|2023-10-04|avian|B3.6
1043,60,0.000116920821965349,-111.595331628379,39.1055972897401,-111.631417363173,39.0781300814257,1.08483135613661,1.08471443531464,2023.75604746274,2023.75616438356,A/turkey/Utah/23-030214-001/2023|H5N1|USA-UT|2023-10-04|avian|B3.6
961,962,0.0511083341525516,-95.8093473046284,44.3190119379407,-95.3641753214925,47.2546639655432,1.08629469460759,1.03518636045504,2023.70651938788,2023.75762772203,NA
1048,52,0.0432137088673434,-111.665346833227,39.3345542792941,-111.308444030793,39.2171518222708,1.08757108216419,1.04435737329685,2023.71569040072,2023.75890410959,A/turkey/Utah/23-030331-003/2023|H5N1|USA-UT|2023-10-05|avian|B3.6
1048,51,0.0432137088673434,-111.665346833227,39.3345542792941,-111.604443719169,39.2536056164291,1.08757108216419,1.04435737329685,2023.71569040072,2023.75890410959,A/turkey/Utah/23-030331-002/2023|H5N1|USA-UT|2023-10-05|avian|B3.6
1047,54,0.0266407303287148,-111.180505341351,39.0434243499303,-111.641604363974,39.1856356792865,1.08757108216419,1.06093035183548,2023.73226337926,2023.75890410959,A/turkey/Utah/23-030331-004/2023|H5N1|USA-UT|2023-10-05|avian|B3.6
