node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel
303,304,0.00689944790179725,-90.0828146758793,33.7560374509165,-90.1428051564194,33.4488088100696,0.477696075395295,0.470796627493498,2024.00994479373,2024.01684424163,NA
229,208,0.0103958363854659,-70.7508807994801,43.2699443588006,-70.8747417062993,43.398343772575,0.479977516822819,0.469581680437353,2024.00872984667,2024.01912568306,A/chicken/Maine/24-000724-003/2024|H5N1|USA-ME|2024-01-08|avian|C2.1
229,207,0.0103958363854659,-70.7508807994801,43.2699443588006,-70.7084814528653,43.4253043455971,0.479977516822819,0.469581680437353,2024.00872984667,2024.01912568306,A/chicken/Maine/24-000724-001/2024|H5N1|USA-ME|2024-01-08|avian|C2.1
327,124,0.0121887347942143,-80.769182802909,33.1812362167101,-80.8515088970119,33.2695505021652,0.482709757259945,0.470521022465731,2024.0096691887,2024.0218579235,A/chicken/South_Carolina/24-001707-001-original/2024|H5N1|USA-SC|2024-01-09|avian|C2.1
337,94,0.00157393677448542,-79.0902435354977,33.8896685962908,-79.0244751025095,33.8517506753971,0.488174238134198,0.486600301359712,2024.0257484676,2024.02732240437,A/guinea_fowl/South_Carolina/24-001296-006/2024|H5N1|USA-SC|2024-01-11|avian|C2.1
337,95,0.00157393677448542,-79.0902435354977,33.8896685962908,-79.0464431203372,33.9644303226993,0.488174238134198,0.486600301359712,2024.0257484676,2024.02732240437,A/chicken/South_Carolina/24-001296-005/2024|H5N1|USA-SC|2024-01-11|avian|C2.1
331,3,0.000818773055619393,-76.2803134973626,35.5361841339419,-76.3509567151844,35.561613569053,0.493638719008677,0.492819945953058,2024.03196811219,2024.03278688525,A/American_wigeon/North_Carolina/24-002161-002-original/2024|H5N1|USA-NC|2024-01-13|avian|C2.1
331,2,0.0117477348041241,-76.2803134973626,35.5361841339419,-71.773644017505,43.3974341829748,0.504567680757182,0.492819945953058,2024.03196811219,2024.04371584699,A/mallard/New_Hampshire/24-002162-001-original/2024|H5N1|USA-NH|2024-01-17|avian|C2.1
327,123,0.0367788987285771,-80.769182802909,33.1812362167101,-80.6618087234169,33.2592562004854,0.507299921194308,0.470521022465731,2024.0096691887,2024.04644808743,A/chicken/South_Carolina/24-001707-002-original/2024|H5N1|USA-SC|2024-01-18|avian|C2.1
277,283,0.0122777046998118,-71.1589364333889,42.5173922336592,-70.9115812900378,42.807188671961,0.515602769534414,0.503325064834602,2024.04247323107,2024.05475093577,NA
