node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel,startFlyway,endFlyway
679,680,0.000959979550181345,-109.468044346837,44.1901129232046,-109.302008757234,43.8334838752396,0.000959979550181345,0,2024.56800350378,2024.56896348333,NA,Central,Central
679,716,0.0042033923007061,-109.468044346837,44.1901129232046,-109.345246671391,43.8180510775354,0.0042033923007061,0,2024.56800350378,2024.57220689608,NA,Central,Central
716,956,0.019097408070696,-109.345246671391,43.8180510775354,-109.436881035801,43.9103030782319,0.0233008003714021,0.0042033923007061,2024.57220689608,2024.59130430415,NA,Central,Central
680,701,0.026404153978679,-109.302008757234,43.8334838752396,-109.378522287182,43.0991776834744,0.0273641335288604,0.000959979550181345,2024.56896348333,2024.59536763731,NA,Central,Central
956,957,0.0109747133419953,-109.436881035801,43.9103030782319,-111.574256859785,44.1467512765503,0.0342755137133974,0.0233008003714021,2024.59130430415,2024.60227901749,NA,Central,Pacific
716,717,0.0332461374962827,-109.345246671391,43.8180510775354,-107.482120768652,44.9390066392286,0.0374495297969888,0.0042033923007061,2024.57220689608,2024.60545303358,NA,Central,Central
957,958,0.0141528308748731,-111.574256859785,44.1467512765503,-109.712337608615,42.2137772804631,0.0484283445882705,0.0342755137133974,2024.60227901749,2024.61643184837,NA,Pacific,Pacific
717,828,0.0148085395766124,-107.482120768652,44.9390066392286,-105.831285183449,45.0797695727362,0.0522580693736012,0.0374495297969888,2024.60545303358,2024.62026157315,NA,Central,Central
828,835,0.000191501661452209,-105.831285183449,45.0797695727362,-105.84344985791,45.1403651981655,0.0524495710350534,0.0522580693736012,2024.62026157315,2024.62045307481,NA,Central,Central
958,959,0.00482425102618866,-109.712337608615,42.2137772804631,-108.295616477436,41.2824927731067,0.0532525956144592,0.0484283445882705,2024.61643184837,2024.62125609939,NA,Pacific,Pacific
835,836,0.0106851937839032,-105.84344985791,45.1403651981655,-104.940281687639,43.2568494123401,0.0631347648189566,0.0524495710350534,2024.62045307481,2024.6311382686,NA,Central,Central
717,718,0.0308093119151771,-107.482120768652,44.9390066392286,-107.214183701874,44.3184397812453,0.0682588417121659,0.0374495297969888,2024.60545303358,2024.63626234549,NA,Central,Central
959,1299,0.0182108611707794,-108.295616477436,41.2824927731067,-102.113906857977,39.1694106862497,0.0714634567852386,0.0532525956144592,2024.62125609939,2024.63946696056,NA,Pacific,Central
836,839,0.0116387112611485,-104.940281687639,43.2568494123401,-104.399405759907,42.975824665089,0.0747734760801051,0.0631347648189566,2024.6311382686,2024.64277697986,NA,Central,Central
1299,1301,0.00886689598273493,-102.113906857977,39.1694106862497,-100.981565733144,38.4496348145612,0.0803303527679735,0.0714634567852386,2024.63946696056,2024.64833385655,NA,Central,Central
959,960,0.0271733029775008,-108.295616477436,41.2824927731067,-111.795685820383,41.4675059918271,0.0804258985919599,0.0532525956144592,2024.62125609939,2024.64842940237,NA,Pacific,Pacific
