node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel,startFlyway,endFlyway
679,680,0.071998541097515,-109.009349685991,45.7509825623351,-109.06353877008,46.4409479049042,0.071998541097515,0,2024.536540362,2024.6085389031,NA,Central,Central
679,686,0.0333753103882009,-109.009349685991,45.7509825623351,-106.469944267448,48.7882838062832,0.0333753103882009,0,2024.536540362,2024.56991567239,NA,Central,Central
686,1087,0.0034221058843722,-106.469944267448,48.7882838062832,-107.023749548428,48.0732954537555,0.036797416272573,0.0333753103882009,2024.56991567239,2024.57333777827,NA,Central,Central
1087,1088,0.00799032418810053,-107.023749548428,48.0732954537555,-109.073143165969,47.6940958872315,0.0447877404606736,0.036797416272573,2024.57333777827,2024.58132810246,NA,Central,Central
686,687,0.0207496599433727,-106.469944267448,48.7882838062832,-106.183769978245,47.4056120634613,0.0541249703315736,0.0333753103882009,2024.56991567239,2024.59066533233,NA,Central,Pacific
687,688,0.00531826337897745,-106.183769978245,47.4056120634613,-104.82050019901,47.5627357872232,0.059443233710551,0.0541249703315736,2024.59066533233,2024.59598359571,NA,Pacific,Pacific
1088,1089,0.0177155801564319,-109.073143165969,47.6940958872315,-108.775022228652,48.8295054397518,0.0625033206171055,0.0447877404606736,2024.58132810246,2024.59904368262,NA,Central,Pacific
1089,1090,0.0123253871737758,-108.775022228652,48.8295054397518,-108.475722972019,48.8085174660878,0.0748287077908814,0.0625033206171055,2024.59904368262,2024.61136906979,NA,Pacific,Pacific
1088,1234,0.036262194853792,-109.073143165969,47.6940958872315,-110.28321580126,47.794965341089,0.0810499353144656,0.0447877404606736,2024.58132810246,2024.61759029732,NA,Central,Pacific
688,689,0.0230686618756084,-104.82050019901,47.5627357872232,-103.894176897208,47.1140083543789,0.0825118955861595,0.059443233710551,2024.59598359571,2024.61905225759,NA,Pacific,Pacific
1090,1091,0.0159448116093701,-108.475722972019,48.8085174660878,-106.636535329536,44.7247910385096,0.0907735194002515,0.0748287077908814,2024.61136906979,2024.6273138814,NA,Pacific,Central
689,690,0.0168052789704995,-103.894176897208,47.1140083543789,-104.546193956831,48.6643404537897,0.099317174556659,0.0825118955861595,2024.61905225759,2024.63585753656,NA,Pacific,Pacific
680,681,0.027905851162753,-109.06353877008,46.4409479049042,-108.838405261301,45.7201479068752,0.099904392260268,0.071998541097515,2024.6085389031,2024.63644475426,NA,Central,Central
1091,1092,0.0158171391504964,-106.636535329536,44.7247910385096,-104.695907840588,41.3455025135602,0.106590658550748,0.0907735194002515,2024.6273138814,2024.64313102055,NA,Central,Pacific
1234,1235,0.0287544920575444,-110.28321580126,47.794965341089,-98.4258802140255,35.6504949819037,0.10980442737201,0.0810499353144656,2024.61759029732,2024.64634478937,NA,Pacific,Mississippi
1091,1096,0.0212444833996821,-106.636535329536,44.7247910385096,-117.312959399087,46.9226158790761,0.112018002799934,0.0907735194002515,2024.6273138814,2024.6485583648,NA,Central,Central
1235,1238,0.00617588261671864,-98.4258802140255,35.6504949819037,-98.4067845926563,35.5555905097302,0.115980309988729,0.10980442737201,2024.64634478937,2024.65252067199,NA,Mississippi,Mississippi
1096,1177,0.00742476241936396,-117.312959399087,46.9226158790761,-122.663840594113,47.3379253885133,0.119442765219298,0.112018002799934,2024.6485583648,2024.65598312722,NA,Central,Central
690,694,0.0203445054461946,-104.546193956831,48.6643404537897,-101.557227022774,47.6220997398128,0.119661680002854,0.099317174556659,2024.63585753656,2024.656202042,NA,Pacific,Pacific
694,695,0.00441094748327919,-101.557227022774,47.6220997398128,-101.558052287265,47.5798527558059,0.124072627486133,0.119661680002854,2024.656202042,2024.66061298949,NA,Pacific,Pacific
1092,1093,0.0187530128047917,-104.695907840588,41.3455025135602,-105.519871676076,44.0587077480475,0.12534367135554,0.106590658550748,2024.64313102055,2024.66188403336,NA,Pacific,Pacific
1089,1214,0.0643966442112713,-108.775022228652,48.8295054397518,-115.336666661101,47.0374093964928,0.126899964828377,0.0625033206171055,2024.59904368262,2024.66344032683,NA,Pacific,Pacific
689,746,0.0472824318914575,-103.894176897208,47.1140083543789,-103.9831856057,47.1121460162282,0.129794327477617,0.0825118955861595,2024.61905225759,2024.66633468948,NA,Pacific,Pacific
690,691,0.0328988393710996,-104.546193956831,48.6643404537897,-104.522796816845,48.3969181159131,0.132216013927759,0.099317174556659,2024.63585753656,2024.66875637593,NA,Pacific,Pacific
746,747,0.00331186886327739,-103.9831856057,47.1121460162282,-104.219913396348,47.2105744545775,0.133106196340894,0.129794327477617,2024.66633468948,2024.66964655834,NA,Pacific,Pacific
1177,1178,0.0143439555570783,-122.663840594113,47.3379253885133,-120.122857963437,45.6412417851697,0.133786720776376,0.119442765219298,2024.65598312722,2024.67032708278,NA,Central,Central
1214,1215,0.013882112391401,-115.336666661101,47.0374093964928,-115.138128101626,46.9581173127307,0.140782077219778,0.126899964828377,2024.66344032683,2024.67732243922,NA,Pacific,Pacific
1215,1216,0.000162163379105351,-115.138128101626,46.9581173127307,-115.145993939522,46.9311365321199,0.140944240598883,0.140782077219778,2024.67732243922,2024.6774846026,NA,Pacific,Pacific
1087,1344,0.107868448853078,-107.023749548428,48.0732954537555,-104.444760986806,44.9500105264799,0.144665865125651,0.036797416272573,2024.57333777827,2024.68120622713,NA,Central,Central
746,752,0.015683586562911,-103.9831856057,47.1121460162282,-106.069535613381,48.7620581712242,0.145477914040528,0.129794327477617,2024.66633468948,2024.68201827604,NA,Pacific,Central
