# BEAST v10.5.0-beta5 Prerelease #f37ecb6a4
# Generated Thu May 22 05:58:18 EDT 2025 [seed=1747907895683]
# -beagle_cuda -beagle_double -beagle_order 1 -save_every 1000000 -save_state run1_beast_state.dump ../loc-labeled-b3.6-JAN7-concat-genome-codon-aln_for_phylogeo_n543_Out_HMC_SkyG.xml
# keywords: skygrid discretized_branch_rates
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.logPopSize26	skygrid.logPopSize27	skygrid.logPopSize28	skygrid.logPopSize29	skygrid.logPopSize30	skygrid.logPopSize31	skygrid.logPopSize32	skygrid.logPopSize33	skygrid.logPopSize34	skygrid.logPopSize35	skygrid.logPopSize36	skygrid.logPopSize37	skygrid.logPopSize38	skygrid.logPopSize39	skygrid.logPopSize40	skygrid.logPopSize41	skygrid.logPopSize42	skygrid.logPopSize43	skygrid.logPopSize44	skygrid.logPopSize45	skygrid.logPopSize46	skygrid.logPopSize47	skygrid.logPopSize48	skygrid.logPopSize49	skygrid.logPopSize50	skygrid.logPopSize51	skygrid.logPopSize52	skygrid.logPopSize53	skygrid.logPopSize54	skygrid.logPopSize55	skygrid.logPopSize56	skygrid.logPopSize57	skygrid.logPopSize58	skygrid.logPopSize59	skygrid.logPopSize60	skygrid.cutOff	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	pInv	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	skygrid
0	-271788.98155282973	-27672.66486103764	-244116.31669179208	127.752246593146	1896.9636004013894	1242.1707127738327	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.5	0.001	0.3333333333333333	2.2095427878545226E-4	16.825113379981246	-0.0030454276293246786	-244116.31669179208	-7527.52604608352	-20139.555255053398
40000	-112021.26521195089	-11222.86371656543	-100798.40149538545	119.65843261298879	1905.0574143815468	2489.913927100222	2.5966513246915657	6.826234260685614	6.430931773955707	7.399974697750454	7.112301714874566	6.7542175004325955	7.2356754304562285	8.21356412942112	8.588188244716514	7.679848300464959	7.38858513881368	7.7703564272298955	7.5823685659275	7.817574771900781	7.1313253052448164	6.820521508439766	7.078048677380985	6.606285619308357	6.763061520449145	6.425569168138531	6.212043614481503	6.54561412252449	6.1313148942276	5.443260851108529	5.687514568333905	5.571289216869881	5.197372701099924	6.019731965184653	5.894917806569178	4.764179983160916	4.533867502339673	4.579643357033512	4.817240711798059	4.975310189727528	6.493016581535267	5.941049021091343	5.21626173551113	4.590686268422179	5.41550441503891	5.203653635680439	4.559898945936952	3.9216589491959386	3.4317186644057123	3.6347399347262623	4.287716089582206	4.362162360113336	4.110333607989459	3.823567385267337	5.325090146219122	5.379047370159034	4.851569325114537	5.172069164563765	4.103616667410439	4.2422222540846946	4.307670814809183	4.768330411799155	5.455414267945564	4.818363160948666	4.665370648206922	4.79264132157637	4.329969737271573	10.0	1.0033387009984431	1.038500410225804	0.9830146562238085	0.9592366051479506	1.0539013565602533	0.96200827084374	0.19218912499470012	0.9959706364120104	0.0010100220331712062	0.0010071378207761872	6.927662054045028E-4	0.9053407132986137	-0.027976631048436146	-100798.40149538545	-7527.52604608352	-3687.180673890438
80000	-97571.02564009749	-11249.108638888707	-86321.91700120879	106.00230258731828	1918.7135444072171	2567.0897780723903	9.976461233774998	5.945195315340932	5.78069957222646	6.072239533597636	6.579880289025236	6.4298830757585295	6.66993656947735	7.0871388860734115	7.687965472959118	8.134913620918034	8.169239159594952	7.720735154499151	7.906142213001841	7.6601986688852834	7.915481761635397	7.447288969047782	7.4241475185661585	7.376505620104796	7.332285286997067	7.222864631903487	6.652217788106955	6.291091668475713	6.593571965889493	6.439101118808019	6.65788714618114	6.0887797489832165	5.855301124320399	6.056656036090802	5.654258374807562	5.453483971841699	5.7637573846756345	5.585470600252265	5.348878621204518	5.6067181622077005	4.943808214863165	5.000866954649829	4.91536213420675	5.070766462017454	4.75955128621853	4.982243082483376	4.462057938209133	4.488107806854057	4.107535120232277	4.3385224194838	4.15477343465418	4.3771491285388695	4.525377648853271	4.85407362609572	4.9355886734368	4.864687534257173	4.369842880280336	3.648684983967164	3.855580597432325	3.890550843587742	4.0377457128525975	3.5625800984801836	3.2978420980732874	4.252442274024591	3.9929872361928354	4.28418354028388	4.5578570381621155	10.0	1.0205731252406571	1.0861457302661994	0.9616873764586545	0.909120091954864	1.0703228304472032	0.9521508456324214	0.20862606085634103	0.9997842759802188	4.5440102093583407E-4	3.4423877504014417E-4	3.6433975040589414E-4	0.6952990382923818	-0.034552600057942556	-86321.91700120879	-7527.52604608352	-3713.805687188888
120000	-88021.96827444475	-11253.359820821697	-76768.60845362305	92.47411887129175	1932.2417281232438	2569.5994637891367	2.761343677904931	5.739660741143667	6.367503043522039	5.078553363177827	5.321081553059789	5.847276524502683	6.126568288518537	6.82649856455445	6.931500880643215	7.401727818835084	7.249433994547785	8.150458787285185	8.298042770606976	8.098289425297276	7.242745391696801	7.761046970703486	7.226904671721609	7.804478424715309	7.622735295532081	7.366646285384227	6.902093996563095	7.3681500071671024	7.330710935768331	7.00039375536913	7.53201362422909	6.956935199163535	6.30573715135063	6.362031910171781	5.646344261392136	6.797541912321357	7.156887776905455	7.482843937061638	6.368170006897122	5.65076539416858	5.571291977824044	4.822891169962907	4.775774944830032	5.024714430208472	5.212663212055878	5.108280936036574	4.897251286453283	4.6163378952445955	4.2040685015044845	4.781880564965734	4.759979575512159	4.232473148999558	4.434180022677846	3.7822078696619457	3.54716097894847	3.4470718152936763	4.044934971068002	4.062464946947417	5.256951351082109	4.700137711027182	4.2977799238918015	4.094505823032289	4.108440201554785	2.999153408142903	3.4421009677296737	3.8633341607289022	4.084043545420815	10.0	1.0561226568210833	1.1616955778934892	0.9037933571240532	0.8527968863174656	1.0909102365562333	0.9346812852876745	0.22040310049691458	0.9977778504850116	2.743255306517796E-4	1.715348789432157E-4	2.3911132877107376E-4	0.5772679990757699	-0.04890814467992168	-76768.60845362305	-7527.52604608352	-3720.0386771837943
160000	-80701.86125389829	-11186.242819908624	-69515.61843398966	67.31222193081186	1957.4036250637237	2464.1052425412095	4.0775070626325425	1.99207171551557	2.9717291476516485	3.6749993842309374	3.9801774785411626	4.791934664587922	5.916567645701926	6.324350191533233	6.6629476527127975	6.961772567211072	7.619226733903582	8.288117784878567	7.766094482239438	7.353593471344919	7.922193266728181	8.192619344449563	7.9962705420841225	8.004676741794846	7.51211351332922	7.517185148823366	7.351141774443308	7.54455775538059	7.439657520335664	7.245512225909782	6.929660668609187	6.977775097928029	7.298206535835972	6.687104911489059	6.041553600905997	7.036550307811967	6.9592809140793515	6.435738719073452	6.360338625640545	5.982784657702613	6.021712851935082	5.911385738061997	5.565854763453007	5.386651483839439	5.2755228140027395	5.621019057096596	5.300457957898204	4.666513687486055	4.0584462938347485	4.35448375459367	4.967676668731954	4.699243736273731	4.864437559719527	4.826356130860836	4.450268395912639	3.734017420187922	3.642768303756683	4.167712208205301	4.132362635467976	3.773087514539674	3.5065997237553814	3.752171008279785	4.018644053969816	4.709840544885201	4.123205804768582	4.05951366607472	4.043030116671453	10.0	1.0295066836229645	1.2122856466874614	0.8581528694723881	0.8175810839942103	1.1185056735440735	0.9639680426789015	0.27766999109683144	0.9992515057586447	2.160674267992306E-4	1.0402459385350095E-4	1.9598850493166218E-4	0.4555602244418128	-0.04322007989885555	-69515.61843398966	-7527.52604608352	-3652.687545931159
200000	-75599.78321660082	-11168.309324066471	-64431.47389253434	47.70782054261971	1977.0080264519158	2395.37955580471	5.349757914955131	3.7713303594721355	3.8391779151378005	3.166535664527565	3.7814895606369228	4.475154945927618	5.723973460380732	6.623823723768001	6.267889916590149	6.4802862896492295	7.159056860590003	6.870966733131499	6.877844709982716	6.97516630377697	7.218244899402075	7.270855291065476	7.292517020970713	7.132032078914552	7.322137898783087	7.805540704866846	7.765008616693344	8.048040844071336	7.618919835381296	7.942065112981122	8.102296703944806	8.19091400071977	7.994033439693709	7.575728299804777	7.269763249555619	6.992075097754681	6.4342009307731525	6.271542374155017	6.469302037054109	6.371400300124162	6.256521201191429	6.221625908978323	6.354527058564689	5.534802269849519	5.44231444742052	4.617386838597249	5.310802624505655	5.530059151287583	5.502866256053029	5.025315454982092	5.145302196866869	5.1261557038569885	4.772724251615319	4.892882826358048	4.480260633606627	4.727811082973132	4.583314127894936	4.874115253324237	5.118730351913512	4.630885941323063	3.7652886871662754	3.944659324194377	4.178826790950861	3.7237286367632016	3.7518065227655484	3.2943995784625626	3.851407443118838	10.0	1.015431165373693	1.286356154385646	0.8088601210106107	0.7664154670965345	1.169028727863026	0.9539083642704889	0.3378820311159973	0.9632951046315881	1.8058120728459647E-4	8.424896018871543E-5	1.696091381116992E-4	0.44486498870774194	-0.018942695824105567	-64431.47389253434	-7527.52604608352	-3634.5365329155934
240000	-73184.90230919763	-11094.32531619464	-62090.57699300299	29.564001533487307	1995.1518454610482	2309.841939493221	2.012593169965917	0.993851695347172	1.9217704139512133	1.6913025464227074	2.659854886815443	4.509845353183542	5.360078621829079	6.784923217760744	6.605545415133482	6.452407157441704	6.161775521317474	7.047480998677049	6.9539873883593675	7.209883614326842	7.552722793984285	6.896870596367677	6.244987607914508	7.021860134312088	8.32551509269962	7.943286586472933	8.839856471692595	7.5045322857582315	8.221485557610851	8.165697480781278	9.389903668991577	9.894530464945914	10.327247753737124	9.90947836830717	9.232517087591546	7.8608415433168695	7.325696998322212	7.027055548085795	6.944080338251275	7.029175442280826	6.499594555629002	6.618944978021769	7.086903734409094	6.483902983945835	5.891641758462803	5.34802169696034	5.940316552215063	6.4445547832256	5.250038116518919	6.266851257563482	5.521931559515936	4.351437187221829	4.3888078792458165	4.588764473416405	5.106498390376423	4.6236028429259814	5.534582968235265	5.123815735222409	4.48628159733776	4.932256053104217	4.396918956080463	3.328547546117938	3.261495819743096	3.2547693328691585	3.418343992048777	3.3304331118613515	3.5326419997842398	10.0	0.9769846968713606	1.339619546754394	0.7530344463388273	0.7732345189930818	1.2251584070269625	0.9319683840153732	0.38869778238478664	0.9475376223645354	1.6526266185499757E-4	8.115383926335352E-5	1.5795896846932975E-4	0.4671798375388993	-0.02195020429680289	-62090.57699300299	-7527.52604608352	-3561.5078604948426
280000	-72018.08743635508	-11110.333547844954	-60907.753888510124	26.733772464617733	1997.9820745299178	2322.951556505312	1.9489976330334475	2.1415591780892504	1.2960220239534401	2.2375507707275073	3.17276830054019	4.119439545448066	6.420666405325192	5.845878501075869	5.57917378738172	6.404733877166791	6.616096126306888	7.11131579344907	7.454645620753545	6.974451585480426	6.8568333668159305	7.413001489907729	6.789969752279709	7.319842988016069	7.076336659625622	7.321909032117209	7.988243322881865	7.260258637351711	7.156611791572898	6.967810956271426	8.203299518807398	8.382587695413438	8.922226925133126	10.589275898883455	11.080756001637976	10.87876437814426	10.597908746352738	8.273374043091268	8.732177936292027	7.333526984353134	8.425874381684647	7.20592937955865	6.174345400463383	6.56383327645938	6.647462759554706	6.230573105011606	6.219699739482154	5.444982104932706	5.917189211771315	5.418412131480832	5.265431802704174	5.070817043293797	5.1389502380601275	5.445917705573403	5.087019795218816	4.788257108247772	4.89322679723031	4.068002242316722	4.968541313054063	5.1809516153233455	4.622237807853738	3.6416137192089293	3.842261568843493	2.857323154254219	2.8077895571576192	3.102300770535291	3.3825897545363994	10.0	0.9493313723215048	1.3840742446998366	0.7397529242546818	0.7405966958594979	1.2839219709878487	0.9023227918766297	0.41971073499821243	0.756153343610231	1.5683824386719984E-4	6.486983857390428E-5	1.54519947777363E-4	0.40005006147965927	0.05551712970135433	-60907.753888510124	-7527.52604608352	-3577.532648692034
320000	-71602.77771023051	-11045.516425553918	-60557.2612846766	22.36545482364278	2002.3503921708927	2291.1843709836357	2.0268734584593155	3.225769065585333	3.3814805344942562	2.762434712651845	2.7846191358205417	4.005945132549074	6.1212608913326845	5.9781648180752525	6.6549943978964095	6.545571505257531	7.165894966629671	7.323309881028108	6.735547930355915	7.329477731225085	6.810595722019754	6.7390697761632845	6.497738518344762	6.825337081909471	6.711672360994679	7.6155920969242	7.846677066908348	7.660979729165968	8.581491396131536	8.214940867916065	8.140726293079789	8.456733870146817	10.148480531012382	10.881433699109838	10.9506852548913	10.091360713881958	9.494141037958402	9.216006518064107	8.806351308197403	9.43717188712794	8.472441947146393	8.653492874383444	7.679106184915937	6.399380686264712	5.798017016569542	5.520544816459189	5.371548617319714	5.0807149358739165	6.191026359031063	6.008150123609959	6.064311072448572	5.817692923139175	5.445334880023772	5.320977372401612	6.494223214203897	6.50965599675692	5.70674354053541	3.6451629041038807	4.02645640064656	3.9027374232348264	4.805012717882988	3.1591856608969024	2.793450746517317	2.8274313165689717	3.286876126585336	2.7785049623056413	3.078162247629148	10.0	0.9499532718301479	1.431230604478987	0.7032760061631256	0.7236438589239337	1.3163614061440503	0.8755348524597556	0.410327300643245	0.6323598838320804	1.524102821455461E-4	7.376638368987983E-5	1.4953680284436269E-4	0.47332430691143745	0.03367797030307369	-60557.2612846766	-7527.52604608352	-3512.717610812298
360000	-71306.81387839452	-10999.777469886712	-60307.03640850781	21.505482656073568	2003.2103643384619	2259.901753366516	0.9635430199605375	3.0233198070504024	2.0490564345242976	1.3249031497449106	2.685592830006831	3.770316891593414	5.979557333768826	6.0217634614425295	5.841375298382782	6.525430409564789	6.571660345043377	7.779556190861382	6.149395385678599	7.204193937647293	6.0112601645553685	7.075733956916484	7.813603991954379	8.35142396886286	7.8266348898389415	7.8736508321890755	8.134687725402012	9.75231775671281	8.371011847036835	7.5367741744478005	7.198358560870073	8.45635882750616	7.932589819319685	7.315811612595596	7.020942184380022	8.094666395689165	8.864520349611766	7.781216650308771	8.214107328368728	7.751215564459328	6.882818732930832	5.885311810812759	7.580142958598764	8.007531095879251	7.5698241041606655	7.5873597738344225	8.7670642905388	6.936623740108076	6.401347057581937	4.3615828079959	4.582664963552922	4.512467043706565	7.127080870466614	5.224624976806442	6.485958148796526	6.343166726440297	5.257510450981784	4.368507009004973	4.9362582198357865	4.431552918815499	4.533216121795317	2.7998300075253812	4.804702634486331	3.1497966108074253	2.844529193408578	3.2181303571673427	3.0822254194629424	10.0	0.9447731888328164	1.4436884733677935	0.716154224957459	0.6618803708269229	1.3630658894053638	0.8704378526096445	0.3797877122725498	0.6792733868007085	1.5571201487938255E-4	6.451259375461322E-5	1.558628398978146E-4	0.3982535369104023	0.024393184987810783	-60307.03640850781	-7527.52604608352	-3467.763430727196
