trait	country	admin1	admin2	collection_date	latitude	longitude
GenBank|A/Gadwall/MT/23-029480-008-original/2023|H5N1|USA-MT|2023-09-23|wild_avian|B3.6	USA	MT	Teton	2023-09-23	48.0593795417849	-112.734257721045
GenBank|A/Redhead_Duck/CO/23-029854-022-original/2023|H5N1|USA-CO|2023-09-30|wild_avian|B3.6	USA	CO	Alamosa	2023-09-30	37.5153888198086	-105.697303252644
GenBank|A/Gadwall/MT/23-030444-001-original/2023|H5N1|USA-MT|2023-09-30|wild_avian|B3.6	USA	MT	Lake	2023-09-30	47.356908631566	-113.924769389603
EPI_ISL_19186544|A/mallard/Colorado/23-030893-0012/2023|H5N1|USA-CO|2023-10-07|wild_avian|B3.6	USA	CO	Saguache	2023-10-07	38.3515061486795	-106.420666209008
EPI_ISL_19131364|A/gadwall/South_Dakota/23-031573-004/2023|H5N1|USA-SD|2023-10-08|wild_avian|B3.6	USA	SD	Beadle	2023-10-08	44.2090219828306	-98.3725373392141
EPI_ISL_19490381|A/mallard/Washington/23-031856-003-original/2023|H5N1|USA-WA|2023-10-12|wild_avian|B3.6	USA	WA	Grant	2023-10-12	46.9053790933467	-119.520435640484
EPI_ISL_19159880|A/American_wigeon/Oregon/23-031857-002/2023|H5N1|USA-OR|2023-10-14|wild_avian|B3.6	USA	OR	Morrow	2023-10-14	45.3158549996047	-119.461896672828
EPI_ISL_19159884|A/gadwall/North_Dakota/23-031936-004/2023|H5N1|USA-ND|2023-10-16|wild_avian|B3.6	USA	ND	Burleigh	2023-10-16	46.8696919717738	-100.357604711573
EPI_ISL_19159885|A/blue-winged_teal/Montana/23-032220-005/2023|H5N1|USA-MT|2023-10-14|wild_avian|B3.6	USA	MT	Teton	2023-10-14	47.6999599705912	-112.328600329955
EPI_ISL_19273311|A/mallard/South_Dakota/23-032221-008-original2/2023|H5N1|USA-SD|2023-10-17|wild_avian|B3.6	USA	SD	Potter	2023-10-17	45.2168562354987	-100.081039379474
EPI_ISL_18697747|A/peregrine_falcon/Texas/23-032452-001/2023|H5N1|USA-TX|2023-10-17|wild_avian|B3.6	USA	TX	Bexar	2023-10-17	29.4931671716864	-98.2768203505548
EPI_ISL_19159889|A/redhead_duck/Minnesota/23-032692-005/2023|H5N1|USA-MN|2023-10-23|wild_avian|B3.6	USA	MN	Mille_Lacs	2023-10-23	45.6862017659501	-93.7554962740296
EPI_ISL_19159890|A/green-winged_teal/Iowa/23-032693-002/2023|H5N1|USA-IA|2023-10-21|wild_avian|B3.6	USA	IA	Warren	2023-10-21	41.3234694112878	-93.7149163279704
EPI_ISL_19175582|A/American_wigeon/Oregon/23-032795-007/2023|H5N1|USA-OR|2023-10-21|wild_avian|B3.6	USA	OR	Lake	2023-10-21	43.2223245542774	-120.04401816942
EPI_ISL_19175583|A/gadwall/Oregon/23-032795-038/2023|H5N1|USA-OR|2023-10-21|wild_avian|B3.6	USA	OR	Lake	2023-10-21	42.8408850515166	-120.191961088878
EPI_ISL_19175584|A/mallard/Oregon/23-032795-043/2023|H5N1|USA-OR|2023-10-21|wild_avian|B3.6	USA	OR	Lake	2023-10-21	43.2203785085932	-119.950148257626
EPI_ISL_19175585|A/pintail/North_Dakota/23-032882-004/2023|H5N1|USA-ND|2023-10-19|wild_avian|B3.6	USA	ND	Stutsman	2023-10-19	47.2347469894531	-98.8405636873564
EPI_ISL_19175588|A/green-winged_teal/Iowa/23-032986-006/2023|H5N1|USA-IA|2023-10-19|wild_avian|B3.6	USA	IA	Hancock	2023-10-19	43.0248702286077	-93.6347531730062
EPI_ISL_19175590|A/American_wigeon/California/23-032991-005/2023|H5N1|USA-CA|2023-10-22|wild_avian|B3.6	USA	CA	Yolo	2023-10-22	38.7123138432073	-122.149195020747
EPI_ISL_19175591|A/American_wigeon/California/23-032991-008/2023|H5N1|USA-CA|2023-10-22|wild_avian|B3.6	USA	CA	Yolo	2023-10-22	38.6838626975352	-121.921896181378
EPI_ISL_19186546|A/northern_shoveler/California/23-032991-016/2023|H5N1|USA-CA|2023-10-22|wild_avian|B3.6	USA	CA	Yolo	2023-10-22	38.569909991678	-121.534603491848
EPI_ISL_19186547|A/green-winged_teal/California/23-032991-030/2023|H5N1|USA-CA|2023-10-22|wild_avian|B3.6	USA	CA	Yolo	2023-10-22	38.7314523691477	-122.211392513862
EPI_ISL_19194233|A/mallard/Washington/23-033638-008/2023|H5N1|USA-WA|2023-10-25|wild_avian|B3.6	USA	WA	Grant	2023-10-25	47.2967300427155	-119.580109957249
EPI_ISL_19194240|A/American_wigeon/Wyoming/23-033721-004/2023|H5N1|USA-WY|2023-10-30|wild_avian|B3.6	USA	WY	Albany	2023-10-30	42.0199891601615	-105.929425441784
EPI_ISL_19210871|A/American_wigeon/South_Dakota/23-033792-006-original/2023|H5N1|USA-SD|2023-10-28|wild_avian|B3.6	USA	SD	Sanborn	2023-10-28	43.9450362615531	-98.262913552172
EPI_ISL_19210875|A/gadwall/Illinois/23-033982-067-original/2023|H5N1|USA-IL|2023-10-29|wild_avian|B3.6	USA	IL	Calhoun	2023-10-29	39.2739981325763	-90.6132283126995
EPI_ISL_19210876|A/gadwall/Illinois/23-033982-069-original/2023|H5N1|USA-IL|2023-10-29|wild_avian|B3.6	USA	IL	Calhoun	2023-10-29	38.8939703803884	-90.5335306746961
EPI_ISL_19210878|A/wood_duck/Illinois/23-033983-015-original/2023|H5N1|USA-IL|2023-10-28|wild_avian|B3.6	USA	IL	Madison	2023-10-28	38.744906398772	-89.6204627260864
EPI_ISL_19210879|A/northern_shoveler/Illinois/23-033983-049-original/2023|H5N1|USA-IL|2023-10-28|wild_avian|B3.6	USA	IL	Madison	2023-10-28	38.7297205111671	-90.1092206311335
EPI_ISL_19210880|A/green-winged_teal/Iowa/23-034037-001-original/2023|H5N1|USA-IA|2023-10-27|wild_avian|B3.6	USA	IA	Warren	2023-10-27	41.412421603622	-93.6347776126264
EPI_ISL_19224068|A/green-winged_teal/Iowa/23-034037-002-original/2023|H5N1|USA-IA|2023-10-27|wild_avian|B3.6	USA	IA	Warren	2023-10-27	41.3736230006717	-93.5517376380721
EPI_ISL_19224069|A/mallard/Iowa/23-034037-004-original/2023|H5N1|USA-IA|2023-10-27|wild_avian|B3.6	USA	IA	Warren	2023-10-27	41.2657343411806	-93.7302947903122
EPI_ISL_19224070|A/American_wigeon/Colorado/23-034259-003-original/2023|H5N1|USA-CO|2023-11-05|wild_avian|B3.6	USA	CO	Alamosa	2023-11-05	37.3929322661985	-105.841693428214
EPI_ISL_19239876|A/American_wigeon/California/23-034302-009-original/2023|H5N1|USA-CA|2023-10-25|wild_avian|B3.6	USA	CA	Yolo	2023-10-25	38.9087988152942	-122.393127408583
EPI_ISL_19239877|A/green-winged_teal/California/23-034302-012-original/2023|H5N1|USA-CA|2023-10-25|wild_avian|B3.6	USA	CA	Yolo	2023-10-25	38.8255089008118	-121.981084229778
EPI_ISL_19239879|A/northern_shoveler/California/23-034302-025-original/2023|H5N1|USA-CA|2023-10-25|wild_avian|B3.6	USA	CA	Yolo	2023-10-25	38.6363674333607	-122.08950539955
EPI_ISL_19239881|A/mallard/Nevada/23-034303-020-original/2023|H5N1|USA-NV|2023-10-14|wild_avian|B3.6	USA	NV	Churchill	2023-10-14	39.1006311690562	-118.138809023851
EPI_ISL_19273321|A/green-winged_teal/Indiana/23-034643-006-original/2023|H5N1|USA-IN|2023-11-03|wild_avian|B3.6	USA	IN	Starke	2023-11-03	41.2188009551379	-86.5842480417613
EPI_ISL_18749473|A/American_white_pelican/Iowa/23-034843-001/2023|H5N1|USA-IA|2023-11-08|wild_avian|B3.6	USA	IA	Polk	2023-11-08	41.753875362137	-93.7183991162402
EPI_ISL_19288878|A/wood_duck/Kansas/23-034999-001-original/2023|H5N1|USA-KS|2023-11-01|wild_avian|B3.6	USA	KS	Sedgwick	2023-11-01	37.9023278329136	-97.1596927764508
EPI_ISL_19288879|A/green-winged_teal/Kansas/23-035000-006-original/2023|H5N1|USA-KS|2023-11-05|wild_avian|B3.6	USA	KS	Rush	2023-11-05	38.6744914509387	-99.4854628271689
EPI_ISL_19288881|A/green-winged_teal/Kansas/23-035001-003-original/2023|H5N1|USA-KS|2023-11-04|wild_avian|B3.6	USA	KS	Neosho	2023-11-04	37.4527322502995	-95.1469030803857
EPI_ISL_19325221|A/American_wigeon/Oregon/23-035568-002-original/2023|H5N1|USA-OR|2023-11-05|wild_avian|B3.6	USA	OR	Morrow	2023-11-05	45.003876877939	-119.246005826738
EPI_ISL_19371786|A/mallard/Wisconsin/23-036678-011-original/2023|H5N1|USA-WI|2023-11-10|wild_avian|B3.6	USA	WI	La_Crosse	2023-11-10	44.0775273318016	-91.1863895588104
EPI_ISL_19288885|A/American_black_duck/Wisconsin/23-036678-012-original/2023|H5N1|USA-WI|2023-11-10|wild_avian|B3.6	USA	WI	La_Crosse	2023-11-10	44.0217648684512	-91.1950258346581
EPI_ISL_19371787|A/mallard/California/23-036805-002-original/2023|H5N1|USA-CA|2023-11-04|wild_avian|B3.6	USA	CA	Glenn	2023-11-04	39.5596738272748	-122.669902852554
EPI_ISL_19341006|A/green-winged_teal/South_Carolina/23-037736-011-original/2023|H5N1|USA-SC|2023-11-25|wild_avian|B3.6	USA	SC	Colleton	2023-11-25	32.8533109233779	-80.4768851044893
EPI_ISL_19175593|A/northern_pintail/California/23-037849-010/2023|H5N1|USA-CA|2023-11-15|wild_avian|B3.6	USA	CA	Yolo	2023-11-15	38.5523855319472	-121.955496240775
