time	distance
2024.24964883367	0
2024.26641261931	0
2024.28317640494	0
2024.29994019058	0
2024.31670397621	0
2024.33346776185	0
2024.35023154749	0
2024.36699533312	0
2024.38375911876	0
2024.40052290439	0
2024.41728669003	0
2024.43405047566	0
2024.4508142613	0
2024.46757804694	0
2024.48434183257	0
2024.50110561821	0
2024.51786940384	0
2024.53463318948	141.15181023976
2024.55139697512	347.912997716201
2024.56816076075	603.411175012625
2024.58492454639	881.024158958402
2024.60168833202	1179.16723054604
2024.61845211766	1523.06489465466
2024.6352159033	1877.57017473727
2024.65197968893	2257.5326916883
2024.66874347457	2624.98323369713
2024.6855072602	3008.66230295527
2024.70227104584	3448.98351901847
2024.71903483148	4014.63183837722
2024.73579861711	4473.2331689132
2024.75256240275	4922.16660702702
2024.76932618838	5500.70861113293
2024.78608997402	6171.04220207694
2024.80285375965	6239.30569642561
2024.81961754529	6332.136384405
2024.83638133093	6445.8068561176
2024.85314511656	6560.9832178772
2024.8699089022	6641.67318978777
2024.88667268783	6734.35454658606
2024.90343647347	6796.60437324177
2024.92020025911	6837.73430613955
2024.93696404474	6897.97895101216
2024.95372783038	6932.07801475236
2024.97049161601	6951.76019523231
2024.98725540165	6970.58196454908
2025.00401918729	6999.92126666135
2025.02078297292	7020.6639167008
2025.03754675856	7045.79435792407
2025.05431054419	7083.08450928516
2025.07107432983	7117.04696650782
2025.08783811547	7163.88027067014
2025.1046019011	7191.51234161072
2025.12136568674	7216.94425365055
2025.13812947237	7242.43662004639
2025.15489325801	7270.33704391478
2025.17165704364	7292.53099032023
2025.18842082928	7333.7511057872
2025.20518461492	7374.32717401348
2025.22194840055	7396.58017805255
2025.23871218619	7425.05838620491
2025.25547597182	7476.56738544366
2025.27223975746	7543.10650336065
2025.2890035431	7607.09326892255
2025.30576732873	7678.45058535463
2025.32253111437	7756.89727661913
2025.3392949	7847.85023238768
2025.35605868564	7950.51562830435
2025.37282247128	8067.35054313497
2025.38958625691	8207.13027219928
2025.40635004255	8356.91751203746
2025.42311382818	8361.33884864789
2025.43987761382	8371.50107869487
2025.45664139945	8401.63563327035
2025.47340518509	8435.27007344856
2025.49016897073	8509.61228004652
2025.50693275636	8584.54162433298
2025.523696542	8682.67506148823
2025.54046032763	8805.78542821993
2025.55722411327	8952.83469514472
2025.57398789891	9142.75685220875
2025.59075168454	9320.61845941799
2025.60751547018	9479.8879764266
2025.62427925581	9645.17043666041
2025.64104304145	9800.29344851184
2025.65780682709	9963.8312849078
2025.67457061272	10127.9571258943
2025.69133439836	10298.0444047049
2025.70809818399	10436.2893549199
2025.72486196963	10571.4319727167
2025.74162575527	10641.7470309834
2025.7583895409	10739.5694308893
2025.77515332654	10826.4508520355
2025.79191711217	10922.0733015911
2025.80868089781	11015.1388917006
2025.82544468344	11092.2344770733
2025.84220846908	11159.6958641338
2025.85897225472	11231.9276122655
2025.87573604035	11310.0011545163
2025.89249982599	11339.123371948
2025.90926361162	11344.4149701087
2025.92602739726	11344.4149701087
