trait,country,admin1
A/Mixed/ON/FAV-0189-1/2022|H5N1|Canada-ON|2022-04-04|avian|A1,Canada,ON
A/Mixed/ON/FAV-0189-5/2022|H5N1|Canada-ON|2022-04-04|avian|A1,Canada,ON
A/Mixed/ON/FAV-0189-3/2022|H5N1|Canada-ON|2022-04-04|avian|A1,Canada,ON
A/Mixed/ON/FAV-0189-4/2022|H5N1|Canada-ON|2022-04-04|avian|A1,Canada,ON
A/Mixed/ON/FAV-0182-1/2022|H5N1|Canada-ON|2022-04-03|avian|A1,Canada,ON
A/Mixed/ON/FAV-0189-2/2022|H5N1|Canada-ON|2022-04-04|avian|A1,Canada,ON
A/Mixed/ON/FAV-0167-102/2022|H5N1|Canada-ON|2022-03-30|avian|A1,Canada,ON
A/Mixed/ON/FAV-0167-101/2022|H5N1|Canada-ON|2022-03-30|avian|A1,Canada,ON
A/Mixed/ON/FAV-0167-103/2022|H5N1|Canada-ON|2022-03-30|avian|A1,Canada,ON
A/American_Crow/PE/FAV-0109-1/2022|H5N1|Canada-PE|2022-02-16|avian|A1,Canada,PE
A/Snowy_Owl/PE/FAV-0121-1/2022|H5N1|Canada-PE|2022-02-23|avian|A1,Canada,PE
A/American_Crow/QC/FAV-0855-5/2022|H5N1|Canada-QC|2022-05-12|avian|A1,Canada,QC
A/American_Crow/QC/FAV-0855-4/2022|H5N1|Canada-QC|2022-05-12|avian|A1,Canada,QC
A/American_Crow/QC/FAV-0855-6/2022|H5N1|Canada-QC|2022-05-12|avian|A1,Canada,QC
A/Ring-Billed_Gull/QC/FAV-1149-9/2022|H5N1|Canada-QC|2022-10-03|avian|A1,Canada,QC
A/Wood_Duck/QC/FAV-1673-1/2022|H5N1|Canada-QC|2022-09-27|avian|A1,Canada,QC
A/Mixed/QC/FAV-1167-4/2022|H5N1|Canada-QC|2022-10-14|avian|A1,Canada,QC
A/Mixed/QC/FAV-1167-6/2022|H5N1|Canada-QC|2022-10-14|avian|A1,Canada,QC
A/Snow_Goose/QC/FAV-0177-2/2022|H5N1|Canada-QC|2022-03-23|avian|A1,Canada,QC
A/Great_Horned_Owl/SK/FAV-0802-16/2022|H5N1|Canada-SK|2022-05-01|avian|A1,Canada,SK
A/Snow_Goose/SK/FAV-0268-4/2022|H5N1|Canada-SK|2022-04-06|avian|A1,Canada,SK
A/American_Wigeon/Alabama/22-004941-003/2022|H5N1|USA-AL|2022-02-05|avian|A1,USA,AL
A/red_tailed_hawk/Colorado/22-038929-003/2022|H5N1|USA-CO|2022-11-28|avian|A1,USA,CO
A/blue_winged_teal/Colorado/22-030620-001/2022|H5N1|USA-CO|2022-09-24|avian|A1,USA,CO
A/Canada_Goose/Colorado/22-010377-001/2022|H5N1|USA-CO|2022-04-01|avian|A1,USA,CO
A/chicken/Colorado/22-013057-001/2022|H5N1|USA-CO|2022-04-28|avian|A1,USA,CO
A/Mallard/Colorado/22-009476-001/2022|H5N1|USA-CO|2022-03-22|avian|A1,USA,CO
A/Rosss_Goose/Colorado/22-008935-005/2022|H5N1|USA-CO|2022-03-18|avian|A1,USA,CO
A/Snow_Goose/Colorado/22-008935-001/2022|H5N1|USA-CO|2022-03-18|avian|A1,USA,CO
A/chicken/Connecticut/22-006118-001/2022|H5N1|USA-CT|2022-02-28|avian|A1,USA,CT
A/Mallard/Connecticut/22-003935-013/2022|H5N1|USA-CT|2022-02-03|avian|A1,USA,CT
A/Mallard/Connecticut/22-003935-014/2022|H5N1|USA-CT|2022-02-03|avian|A1,USA,CT
A/Mallard/Connecticut/22-003935-024/2022|H5N1|USA-CT|2022-02-03|avian|A1,USA,CT
A/Mallard/Connecticut/22-003935-022/2022|H5N1|USA-CT|2022-02-03|avian|A1,USA,CT
A/Mallard/Connecticut/22-003935-001/2022|H5N1|USA-CT|2022-02-03|avian|A1,USA,CT
A/American_Black_Duck/Connecticut/22-005000-001/2022|H5N1|USA-CT|2022-02-06|avian|A1,USA,CT
A/coopers_hawk/Connecticut/22-033697-001/2022|H5N1|USA-CT|2022-10-21|avian|A1,USA,CT
A/chicken/Delaware/22-005260-001/2022|H5N1|USA-DE|2022-02-21|avian|A1,USA,DE
A/chicken/Delaware/22-005260-003/2022|H5N1|USA-DE|2022-02-21|avian|A1,USA,DE
A/chicken/Delaware/22-005260-002/2022|H5N1|USA-DE|2022-02-21|avian|A1,USA,DE
A/chicken/Delaware/22-006945-001/2022|H5N1|USA-DE|2022-03-07|avian|A1,USA,DE
A/chicken/Delaware/22-006945-003/2022|H5N1|USA-DE|2022-03-07|avian|A1,USA,DE
A/chicken/Delaware/22-006945-002/2022|H5N1|USA-DE|2022-03-07|avian|A1,USA,DE
A/chicken/Delaware/22-006945-004/2022|H5N1|USA-DE|2022-03-07|avian|A1,USA,DE
A/chicken/Delaware/22-008054-002/2022|H5N1|USA-DE|2022-03-16|avian|A1,USA,DE
A/chicken/Delaware/22-008054-001/2022|H5N1|USA-DE|2022-03-16|avian|A1,USA,DE
A/chicken/Delaware/22-008054-004/2022|H5N1|USA-DE|2022-03-16|avian|A1,USA,DE
A/chicken/Delaware/22-008054-003/2022|H5N1|USA-DE|2022-03-16|avian|A1,USA,DE
A/Red-shouldered_Hawk/Delaware/22-004621-001/2022|H5N1|USA-DE|2022-02-10|avian|A1,USA,DE
A/Canada_Goose/Delaware/22-004745-001/2022|H5N1|USA-DE|2022-02-04|avian|A1,USA,DE
A/American_Wigeon/Delaware/22-003358-008/2022|H5N1|USA-DE|2022-01-26|avian|A1,USA,DE
A/Northern_Shoveler/Delaware/22-003933-001/2022|H5N1|USA-DE|2022-01-31|avian|A1,USA,DE
A/Black_Vulture/Florida/22-006981-001/2022|H5N1|USA-FL|2022-03-03|avian|A1,USA,FL
A/Brown_Pelican/Florida/22-007313-001/2022|H5N1|USA-FL|2022-03-04|avian|A1,USA,FL
A/Blue-winged_Teal/Florida/22-002578-009/2022|H5N1|USA-FL|2022-01-22|avian|A1,USA,FL
A/Gull/Florida/22-007915-006/2022|H5N1|USA-FL|2022-03-01|avian|A1,USA,FL
A/gull/Florida/W22-162/2022|H5N1|USA-FL|2022-03-01|avian|A1,USA,FL
A/Royal_Tern/Florida/22-010506-001/2022|H5N1|USA-FL|2022-03-17|avian|A1,USA,FL
A/Black_Vulture/Florida/22-009936-001/2022|H5N1|USA-FL|2022-03-27|avian|A1,USA,FL
A/Royal_Tern/Florida/22-009056-001/2022|H5N1|USA-FL|2022-03-21|avian|A1,USA,FL
A/Royal_Tern/Florida/22-008226-001/2022|H5N1|USA-FL|2022-03-16|avian|A1,USA,FL
A/bald_eagle/Florida/22-013493-003/2022|H5N1|USA-FL|2022-04-26|avian|A1,USA,FL
A/Royal_Tern/Florida/22-010506-002/2022|H5N1|USA-FL|2022-03-17|avian|A1,USA,FL
A/Royal_Tern/Florida/22-005590-001/2022|H5N1|USA-FL|2022-02-18|avian|A1,USA,FL
A/ring-billed_gull/Florida/W22-169/2022|H5N1|USA-FL|2022-03-07|avian|A1,USA,FL
A/Ring-billed_Gull/Florida/22-007915-012/2022|H5N1|USA-FL|2022-03-07|avian|A1,USA,FL
