# BEAST v10.5.0-beta5 Prerelease #fb0d1ded5
# Generated Fri Feb 20 18:58:05 CET 2026 [seed=1771610285002]
# -overwrite B36_skygrid.xml
# keywords: skygrid discretized_branch_rates
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.logPopSize26	skygrid.logPopSize27	skygrid.logPopSize28	skygrid.logPopSize29	skygrid.logPopSize30	skygrid.logPopSize31	skygrid.logPopSize32	skygrid.logPopSize33	skygrid.logPopSize34	skygrid.logPopSize35	skygrid.logPopSize36	skygrid.logPopSize37	skygrid.logPopSize38	skygrid.logPopSize39	skygrid.logPopSize40	skygrid.logPopSize41	skygrid.logPopSize42	skygrid.logPopSize43	skygrid.logPopSize44	skygrid.logPopSize45	skygrid.logPopSize46	skygrid.logPopSize47	skygrid.logPopSize48	skygrid.logPopSize49	skygrid.logPopSize50	skygrid.logPopSize51	skygrid.logPopSize52	skygrid.logPopSize53	skygrid.logPopSize54	skygrid.logPopSize55	skygrid.logPopSize56	skygrid.logPopSize57	skygrid.logPopSize58	skygrid.logPopSize59	skygrid.logPopSize60	skygrid.cutOff	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	frequencies1	frequencies2	frequencies3	frequencies4	alpha	pInv	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	skygrid
0	-256984.58952623492	-28445.994892086812	-228538.59463414812	238.81243832270965	1786.5272877046878	1675.3586007442684	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.5	1.0	1.0	1.0	1.0	1.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.5	0.001	0.3333333333333333	4.4992091146579555E-4	12.231951213862624	-0.0039031799015209396	-228538.59463414812	-7304.372715309148	-21137.546771862457
100000	-99960.14749939648	-11540.092999683413	-88420.05449971306	258.095262732619	1767.2444632947784	4368.1354106252575	0.10952734276662789	18.54580710599399	21.589688626216578	23.10311020554998	30.390992602073755	29.641979918190508	23.64717814072221	21.700651157997996	20.709011805039346	17.24273028075728	17.452933479963782	16.95233752214493	16.144281116966145	17.827295218547583	19.81721188778196	22.687204183746296	21.40928154498717	20.768907326036363	21.35432986513684	17.615088279659908	15.453251633861637	15.612082314021636	15.805323020929404	15.609100780111742	17.872445902097496	16.105843355955514	14.100553942769633	13.60300688388482	10.195551518078837	8.152481047021922	10.199666257173545	12.139610553031439	11.130698662588863	13.471817542695813	7.916022261240922	11.784510239380317	13.867625983273998	12.737600522629107	15.494303595637096	16.637755599403707	19.240222454337037	24.868834496093825	23.47112089001686	21.79396850078723	20.38042891095468	20.048639172352956	20.80014276693187	22.22812219714817	18.001877751335964	19.852420959024098	12.245942236114505	16.863319420673463	16.866581215453134	18.392464782463307	14.696190540087926	15.291141378386909	13.98269701605497	13.692198518499344	11.564311847966854	11.578066280842707	6.73475277131788	2.5	0.9953353482492555	1.131040249744758	0.942242581049546	0.8691143261079133	1.1195118450964596	0.9427556497520678	0.3330489900363163	0.1911671380518934	0.25436802286544086	0.22141584904634945	0.32198782568435774	0.9914947959360334	2.0464994743424849E-4	1.8414805435016535E-4	1.6775158379182955E-4	0.8808818907943134	0.005593015907154366	-88420.05449971306	-7304.372715309148	-4234.963230390618
200000	-94009.602604926	-11547.06810424079	-82462.5345006852	219.21567311444696	1806.1240529129504	4491.114597184558	0.0897983046849754	18.54580710599399	21.589688626216578	23.10311020554998	30.390992602073755	29.641979918190508	23.64717814072221	21.700651157997996	20.709011805039346	17.24273028075728	17.452933479963782	16.95233752214493	16.144281116966145	17.827295218547583	19.81721188778196	22.687204183746296	21.40928154498717	20.768907326036363	21.35432986513684	17.615088279659908	15.453251633861637	15.612082314021636	15.805323020929404	15.609100780111742	17.872445902097496	16.105843355955514	14.100553942769633	13.60300688388482	10.195551518078837	8.152481047021922	10.199666257173545	12.139610553031439	11.130698662588863	13.471817542695813	7.916022261240922	11.784510239380317	13.867625983273998	12.737600522629107	15.494303595637096	16.637755599403707	19.240222454337037	24.868834496093825	23.47112089001686	21.79396850078723	20.38042891095468	20.048639172352956	20.80014276693187	22.22812219714817	18.001877751335964	19.852420959024098	12.245942236114505	16.863319420673463	16.866581215453134	18.392464782463307	14.696190540087926	15.291141378386909	13.98269701605497	13.692198518499344	11.564311847966854	11.578066280842707	6.73475277131788	2.5	0.9886749054337967	1.229078367489963	0.905990396053368	0.7550048797117672	1.2378918303452902	0.883359620965815	0.33432283199666996	0.19515144715282134	0.24555074962379275	0.22497497122671603	0.3701527077695543	0.9463508460398515	1.8458360380666923E-4	2.3369827861055654E-4	1.328435175212704E-4	1.234888545507169	0.01786591980282582	-82462.5345006852	-7304.372715309148	-4242.170719906331
300000	-91209.45511520977	-11536.387613869427	-79673.06750134034	178.69055211667563	1846.6491739107216	4323.187665733506	0.11858353471200904	18.54580710599399	21.589688626216578	23.10311020554998	30.390992602073755	29.641979918190508	23.64717814072221	21.700651157997996	20.709011805039346	17.24273028075728	17.452933479963782	16.95233752214493	16.144281116966145	17.827295218547583	19.81721188778196	22.687204183746296	21.40928154498717	20.768907326036363	21.35432986513684	17.615088279659908	15.453251633861637	15.612082314021636	15.805323020929404	15.609100780111742	17.872445902097496	16.105843355955514	14.100553942769633	13.60300688388482	10.195551518078837	8.152481047021922	10.199666257173545	12.139610553031439	11.130698662588863	13.471817542695813	7.916022261240922	11.784510239380317	13.867625983273998	12.737600522629107	15.494303595637096	16.637755599403707	19.240222454337037	24.868834496093825	23.47112089001686	21.79396850078723	20.38042891095468	20.048639172352956	20.80014276693187	22.22812219714817	18.001877751335964	19.852420959024098	12.245942236114505	16.863319420673463	16.866581215453134	18.392464782463307	14.696190540087926	15.291141378386909	13.98269701605497	13.692198518499344	11.564311847966854	11.578066280842707	6.73475277131788	2.5	0.9727814445921806	1.3459277488980042	0.7808137450935854	0.6751008395831618	1.332550605817688	0.8928256160153805	0.3374214618705161	0.1871289042671441	0.24595715790762088	0.22949247595471914	0.4217661260504202	0.9806854751603975	1.8627792492091077E-4	2.4314444365043335E-4	1.3630575048114975E-4	1.1799199216943064	-0.01608789459861507	-79673.06750134034	-7304.372715309148	-4231.109221178315
400000	-89304.27836644651	-11507.991018028724	-77796.28734841778	155.0864629955572	1870.25326303184	4182.30978386386	0.10673784912358106	18.54580710599399	21.589688626216578	23.10311020554998	30.390992602073755	29.641979918190508	23.64717814072221	21.700651157997996	20.709011805039346	17.24273028075728	17.452933479963782	16.95233752214493	16.144281116966145	17.827295218547583	19.81721188778196	22.687204183746296	21.40928154498717	20.768907326036363	21.35432986513684	17.615088279659908	15.453251633861637	15.612082314021636	15.805323020929404	15.609100780111742	17.872445902097496	16.105843355955514	14.100553942769633	13.60300688388482	10.195551518078837	8.152481047021922	10.199666257173545	12.139610553031439	11.130698662588863	13.471817542695813	7.916022261240922	11.784510239380317	13.867625983273998	12.737600522629107	15.494303595637096	16.637755599403707	19.240222454337037	24.868834496093825	23.47112089001686	21.79396850078723	20.38042891095468	20.048639172352956	20.80014276693187	22.22812219714817	18.001877751335964	19.852420959024098	12.245942236114505	16.863319420673463	16.866581215453134	18.392464782463307	14.696190540087926	15.291141378386909	13.98269701605497	13.692198518499344	11.564311847966854	11.578066280842707	6.73475277131788	2.5	0.9552994146807717	1.40317903994926	0.6888635418324934	0.6116963546960632	1.4529807087327888	0.8879809401086233	0.3347257999252442	0.19225487008213887	0.25270275237487294	0.22031657761774426	0.3991300973717537	0.8788786099703716	1.7630895605926658E-4	2.4118095592182828E-4	1.2636635592111318E-4	1.255678998004046	-0.028079863696244094	-77796.28734841778	-7304.372715309148	-4202.94192374537
500000	-88012.58143272137	-11501.544621222576	-76511.0368114988	151.60272377176602	1873.7370022556313	4036.6600402747827	0.12391423809132228	18.54580710599399	21.589688626216578	23.10311020554998	30.390992602073755	29.641979918190508	23.64717814072221	21.700651157997996	20.709011805039346	17.24273028075728	17.452933479963782	16.95233752214493	16.144281116966145	17.827295218547583	19.81721188778196	22.687204183746296	21.40928154498717	20.768907326036363	21.35432986513684	17.615088279659908	15.453251633861637	15.612082314021636	15.805323020929404	15.609100780111742	17.872445902097496	16.105843355955514	14.100553942769633	13.60300688388482	10.195551518078837	8.152481047021922	10.199666257173545	12.139610553031439	11.130698662588863	13.471817542695813	7.916022261240922	11.784510239380317	13.867625983273998	12.737600522629107	15.494303595637096	16.637755599403707	19.240222454337037	24.868834496093825	23.47112089001686	21.79396850078723	20.38042891095468	20.048639172352956	20.80014276693187	22.22812219714817	18.001877751335964	19.852420959024098	12.245942236114505	16.863319420673463	16.866581215453134	18.392464782463307	14.696190540087926	15.291141378386909	13.98269701605497	13.692198518499344	11.564311847966854	11.578066280842707	6.73475277131788	2.5	0.9066740105708974	1.5182112630485631	0.5880160480659191	0.5435818628839068	1.5028813062414839	0.9406355091892303	0.3369934078669952	0.19296709725675942	0.2409987892396501	0.22904070563659545	0.4234023996835446	0.8926296211435624	1.647140338190736E-4	2.043929731559329E-4	1.2545814603689563E-4	1.0434362827507342	0.010320769972954846	-76511.0368114988	-7304.372715309148	-4196.386785471546
600000	-86980.1018555787	-11498.472901588224	-75481.62895399048	141.79648464809304	1883.5432413793042	4163.299706495709	0.17535572685090714	1.628589915442415	2.2044906385555025	6.441239113601251	9.951321393688088	9.363437643431597	7.760956542030554	7.631116222105453	6.4349499908524805	7.671233461641583	10.30691578266396	10.76278752780129	8.717460456587945	9.083031113020184	9.643663417285675	15.293821906061764	13.006991850299213	9.511725868585486	13.366372201783662	11.101864952525444	10.443610472113367	11.760923362209473	12.222406916534144	16.62450410789888	15.88832329584842	17.879710042677637	17.219724657279848	16.593541792371408	15.975318878753068	18.699559689238974	16.24335439289331	16.630941295715566	15.652592981578229	16.054024622046473	12.796701713214892	7.999185728912935	9.971345960110598	12.453353858310916	14.878882061675622	16.21607639066295	14.892802415112017	13.175665517493966	16.565933291658354	14.161705019690316	10.854445122061442	10.7646515243093	12.089753350952229	14.179452198815024	11.708104656301977	11.42797126882372	12.188070168926421	14.860989859558154	17.812668998247567	20.346469810481146	19.911855423726685	16.370234020645743	14.093513564476737	11.321884727269422	11.335132342252274	9.959469277789337	6.739717982806726	2.5	0.9198156897648245	1.6116322582881124	0.48692361511970195	0.41333957125637605	1.6016508435396215	0.9666380220313642	0.33679560646599493	0.18990237930645926	0.2384448229872358	0.23485719124031004	0.45831310638012995	0.9318840274154948	1.6269192834528757E-4	2.1915384626829522E-4	1.2279241779131292E-4	1.11393837422042	-0.01699692815727823	-75481.62895399048	-7304.372715309148	-4192.907449675311
700000	-86345.41769536841	-11471.13508310069	-74874.28261226772	167.15634838971198	1858.1833776376852	4081.274474337536	0.1932254562357437	14.532565719785676	14.411513828566077	10.433613139224832	10.959001645269714	9.958397951794884	12.710772680456902	10.969136240364316	15.053129726152413	15.8627201609422	16.008886906822713	14.321789458403693	13.193294961080218	14.168992026405498	14.460352827040154	12.164682025230757	12.295237127808816	11.922173107808646	8.88335005818854	9.281966756751364	8.575053313201662	7.5043653445736895	7.152183870181771	8.065633164526563	7.859872838747805	8.939789497003046	8.566254950880024	7.903173449734933	10.730805737649948	11.313607673297252	10.320630910891818	10.632715907336227	11.969623073080413	9.220704967269654	10.121800996367927	8.202362733304088	10.83443605856369	11.263237424240607	9.998271676726697	14.847421391003293	14.260594178457007	14.41722360684591	12.854464453071277	11.02543296555029	14.821961596767682	16.854689807173735	13.658124359610273	15.289672646398387	17.288668210866792	15.094061352151815	11.666820773957328	11.51451495672555	12.164297063619564	15.997590451043575	16.24601026415439	16.06445007072907	14.465173670935101	12.852196096859963	12.032179562283611	12.537520041506387	6.612166096602055	2.5	0.838606131215446	1.7417908690539907	0.4383622762426844	0.3383332289531575	1.710869892196685	0.9320376023380372	0.32616410568425735	0.1963357077026325	0.24650328712191535	0.2309968994911947	0.4519041969500567	0.7660084073520462	1.6270349574701166E-4	2.1829492532000525E-4	1.2206575210245577E-4	1.095018895077982	-0.04901913231937837	-74874.28261226772	-7304.372715309148	-4165.488802476981
800000	-85755.34839503423	-11420.427358744513	-74334.92103628971	151.1098371514372	1874.2298888759601	3896.6647539804057	0.15799735843226334	9.408856333163008	9.480851641696008	6.620363263390913	8.363630171186653	7.189036158104293	10.47544738072165	9.551625593549309	12.468467538712385	9.35445556030741	8.103293077068393	7.893011259506676	4.1677175396519885	7.5400705296139945	10.082006764925922	9.168145767467754	10.677305139993312	13.781455939810908	13.572601927891764	17.66281903173058	15.76298099355389	15.851720342596986	15.71029094855771	15.357022724244061	14.020626770544364	14.96305920551632	7.753405777328764	5.813384230238021	5.89572209236081	5.0593148549627305	7.141164178883969	7.012225432255319	3.504447993557099	5.187344659568208	8.0238677553352	8.031483166327574	11.45479431661007	8.972649518843022	12.309255048661388	12.468266380404074	14.019172932675316	14.404238553019464	12.807873197557438	15.164829117632388	12.59058548795179	12.106249764156312	11.789882015826798	13.714931162107545	15.815022146819016	13.720183638170115	12.546700317592045	11.397021158386838	11.816883049022893	17.287287368694862	13.70753261518591	14.254128333626124	11.641261394990577	13.525401899457073	12.113293897234495	9.577645892193178	6.640428811569119	2.5	0.8399172810195327	1.8271817121431935	0.38285619077663335	0.21023365443594583	1.8047054124158124	0.9351057492088816	0.329020164336504	0.19833237812179041	0.24467661579126412	0.22797084175044147	0.47554906563085597	0.9408670794543893	1.7638279318564254E-4	2.3031985006969992E-4	1.308690017497467E-4	1.0346437849668966	-0.016095649133099802	-74334.92103628971	-7304.372715309148	-4114.848090923362
900000	-85303.80441256802	-11339.313969084284	-73964.49044348374	131.50978197531447	1893.8299440520827	3631.808690919835	0.4521199336282031	6.910180047613372	6.960869253116222	6.835191298203917	7.272963422238706	8.910473760700809	10.242370632045716	10.668380662268273	9.460395707980123	8.233778762982086	8.207911940427039	5.312404954556428	5.525749576267157	5.212184379053658	5.223112444508317	4.85398172238693	4.459308955750536	5.62566617159935	4.688709169762297	6.38374915479023	6.3035691831531055	3.250194177859101	5.559815118037714	6.065913516942144	4.752198954346608	3.9957235384586696	2.68249761621679	3.332120243902307	4.098635933367886	4.691958436555171	4.831122685771602	5.336465518730277	4.155972107639332	4.758433142622764	6.09595397085232	5.763064345122809	7.965353697680072	8.157820690588718	11.042738503407337	11.589851491498765	13.372328863154674	13.233507439612012	13.382145342017285	15.974139645135521	16.99028734997681	16.388120582059397	17.306457905185702	14.056279549270284	12.14175542229509	13.059604563188994	12.616676103177337	11.76775266641621	11.512623049587084	10.555771129162018	10.282703615053489	8.340148200656511	9.175020319690589	9.94845744145873	10.154302610921667	8.788564507009859	6.473784307310705	2.5	0.8670467368022822	1.9363233446426835	0.35863626298867235	0.06725708376995516	1.8948941679398037	0.8758424038566026	0.3249195209469395	0.200329237077899	0.23648619919214595	0.23826504278301555	0.4953203378719673	0.9242198630415361	1.9674570473886288E-4	2.9150286066390626E-4	1.3722839110901958E-4	1.1393493455915067	-0.010643454408752931	-73964.49044348374	-7304.372715309148	-4032.527302263191
