trait	country	admin1	admin2	precision	latitude	longitude
A/chicken/Arizona/22-035006-002/2022|H5N1|US-AZ|2022-11-01|avian|B3.2	US-AZ	Arizona	Yavapai	county	34.3507204208562	-111.896979828198
A/chicken/Arizona/22-035241-003/2022|H5N1|US-AZ|2022-11-02|avian|B3.2	US-AZ	Arizona	Yavapai	county	34.5888431115697	-111.55484941265
A/northern_shoveler/Arkansas/23-002690-001/2023|H5N1|US-AR|2023-01-14|avian|B3.2	US-AR	Arkansas	Lonoke	county	34.7296069376713	-91.7019147377248
A/domestic_goose/Tennessee/22-036130-001/2022|H5N1|USA-TN|2022-11-09|avian|B3.2	USA-TN	Tennessee	Lincoln	county	35.1577117141137	-86.6320245356978
A/chicken/Oklahoma/22-033558-001/2022|H5N1|USA-OK|2022-10-20|avian|B3.2	USA-OK	Oklahoma	Cleveland	county	35.2541471750678	-97.462286507251
A/goose/Texas/22-038236-001/2022|H5N1|USA-TX|2022-11-23|avian|B3.2	USA-TX	Texas	Carson	county	35.3644301992911	-101.353335172498
A/cackling_goose/Texas/23-001028-001/2023|H5N1|USA-TX|2023-01-06|avian|B3.2	USA-TX	Texas	Carson	county	35.4568410085289	-101.612373383544
A/chicken/Arkansas/22-032566-001/2022|H5N1|US-AR|2022-10-13|avian|B3.2	US-AR	Arkansas	Pope	county	35.6861318719678	-93.0665216844187
A/canada_goose/North_Carolina/22-036623-001-R2/2022|H5N1|USA-NC|2022-10-30|avian|B3.2	USA-NC	North_Carolina	Haywood	county	35.7236530542294	-82.9159079381592
A/canada_goose/Arizona/23-002260-001/2023|H5N1|US-AZ|2023-01-09|avian|B3.2	US-AZ	Arizona	Coconino	county	35.331465121449	-112.709483047435
A/canada_goose/Arizona/23-005233-001/2023|H5N1|US-AZ|2023-01-23|avian|B3.2	US-AZ	Arizona	Coconino	county	35.9237030690829	-113.207798694166
A/chicken/Oklahoma/22-033387-001/2022|H5N1|USA-OK|2022-10-18|avian|B3.2	USA-OK	Oklahoma	Creek	county	36.0989515849854	-96.4110980145997
A/chicken/Arkansas/22-031667-003/2022|H5N1|US-AR|2022-10-06|avian|B3.2	US-AR	Arkansas	Madison	county	35.8959843154728	-93.7901737240767
A/chicken/Arkansas/22-031676-001/2022|H5N1|US-AR|2022-10-06|avian|B3.2	US-AR	Arkansas	Madison	county	36.2571001041556	-93.6675902367158
A/snow_goose/Arkansas/22-038202-001/2022|H5N1|US-AR|2022-11-25|avian|B3.2	US-AR	Arkansas	Lawrence	county	36.195220739994	-91.252765236229
A/guinea_fowl/Oklahoma/22-032674-001/2022|H5N1|USA-OK|2022-10-13|avian|B3.2	USA-OK	Oklahoma	Tulsa	county	36.3062926234937	-95.9785123007604
A/Muscovy_duck/California/22-034335-001/2022|H5N1|USA-CA|2022-10-16|avian|B3.2	USA-CA	California	Fresno	county	36.8864851577274	-118.48129831163
A/snow_goose/California/23-002594-003/2023|H5N1|USA-CA|2023-01-10|avian|B3.2	USA-CA	California	Merced	county	36.9494321395316	-120.886055908674
A/pelican/Kansas/22-036624-001-R/2022|H5N1|USA-KS|2022-10-17|avian|B3.2	USA-KS	Kansas	Montgomery	county	37.0857030583778	-95.5408675933109
A/chicken/Missouri/22-037522-001/2022|H5N1|USA-MO|2022-11-19|avian|B3.2	USA-MO	Missouri	Webster	county	37.2652994492484	-93.0542529633829
A/turkey/Missouri/22-038012-001/2022|H5N1|USA-MO|2022-11-24|avian|B3.2	USA-MO	Missouri	Webster	county	37.4074446095025	-92.7178147392323
A/chicken/Colorado/22-034082-001/2022|H5N1|USA-CO|2022-10-22|avian|B3.2	USA-CO	Colorado	La Plata	county	37.1081723326643	-107.836641259314
A/american_black_duck/Virginia/22-038573-010/2022|H5N1|USA-VA|2022-11-19|avian|B3.2	USA-VA	Virginia	Henrico	county	37.463742292035	-77.3958972141656
A/rosss_goose/Kansas/22-040832-001/2022|H5N1|USA-KS|2022-12-07|avian|B3.2	USA-KS	Kansas	Kingman	county	37.6031939103267	-97.8527520479131
A/great_horned_owl/Colorado/22-039952-001/2022|H5N1|USA-CO|2022-12-05|avian|B3.2	USA-CO	Colorado	Rio Grande	county	37.5626697301536	-106.277902931222
A/raven/California/23-003756-001/2023|H5N1|USA-CA|2023-01-29|avian|B3.2	USA-CA	California	San Francisco	county	37.7651907392478	-122.389997357709
A/sanderling/California/23-005401-001/2023|H5N1|USA-CA|2023-02-14|avian|B3.2	USA-CA	California	San Francisco	county	37.7382831690684	-122.485779007018
A/red-tailed_hawk/Kentucky/W23-143/2022|H5N1|USA-KY|2022-12-22|avian|B3.2	USA-KY	Kentucky	Henderson	county	37.8812454077653	-87.3945951296488
A/snow_goose/Kansas/22-039690-007/2022|H5N1|USA-KS|2022-11-27|avian|B3.2	USA-KS	Kansas	Kearny	county	37.9919889371274	-101.189540327168
A/great-tailed_grackle/Kansas/22-041130-006/2022|H5N1|USA-KS|2022-12-13|avian|B3.2	USA-KS	Kansas	Finney	county	38.1807967406647	-100.681320600628
A/chicken/Nevada/22-032799-001/2022|H5N1|USA-NV|2022-10-14|avian|B3.2	USA-NV	Nevada	Nye	county	36.7267744005416	-116.073797838919
A/chicken/Missouri/23-008296-001-original/2023|H5N1|USA-MO|2023-03-14|avian|B3.2	USA-MO	Missouri	Maries	county	38.1156313020051	-91.8437369119365
A/chicken/Missouri/23-008296-002-original/2023|H5N1|USA-MO|2023-03-14|avian|B3.2	USA-MO	Missouri	Maries	county	38.0668743634557	-92.1427895176923
A/chicken/Missouri/23-008296-003-original/2023|H5N1|USA-MO|2023-03-14|avian|B3.2	USA-MO	Missouri	Maries	county	38.1266699683544	-91.8556329948149
A/snow_goose/Missouri/22-040786-001/2022|H5N1|USA-MO|2022-12-08|avian|B3.2	USA-MO	Missouri	Bates	county	38.3656419531485	-94.5679043928635
A/snow_goose/Indiana/22-038827-003-R/2022|H5N1|USA-IN|2022-11-23|avian|B3.2	USA-IN	Indiana	Gibson	county	38.3146871611311	-87.6933290539774
A/snow_goose/Indiana/22-038827-005-R/2022|H5N1|USA-IN|2022-11-23|avian|B3.2	USA-IN	Indiana	Gibson	county	38.1734119905123	-87.5274157790122
A/snow_goose/Indiana/22-038827-007-R/2022|H5N1|USA-IN|2022-11-23|avian|B3.2	USA-IN	Indiana	Gibson	county	38.4605717194804	-87.4793410239565
A/snow_goose/Indiana/22-038827-008-R/2022|H5N1|USA-IN|2022-11-23|avian|B3.2	USA-IN	Indiana	Gibson	county	38.1985237733477	-87.5774152692152
A/hawk/Missouri/22-040785-002/2022|H5N1|USA-MO|2022-12-05|avian|B3.2	USA-MO	Missouri	Franklin	county	38.3992938659346	-91.2336715409807
A/red_tailed_hawk/California/23-004363-001/2023|H5N1|USA-CA|2023-01-25|avian|B3.2	USA-CA	California	Sacramento	county	38.4803131930935	-121.096061833305
A/peregrine_falcon/California/22-032573-001/2022|H5N1|USA-CA|2022-10-03|avian|B3.2	USA-CA	California	Napa	county	38.5488241833642	-122.276021181652
A/great_horned_owl/California/22-035880-001/2022|H5N1|USA-CA|2022-11-01|avian|B3.2	USA-CA	California	Napa	county	38.577021683244	-122.584052134909
A/sanderling/California/23-006644-001/2023|H5N1|USA-CA|2023-02-14|avian|B3.2	USA-CA	California	Sonoma	county	38.3327994678755	-122.629114897099
A/turkey_vulture/California/23-016941-001/2023|H5N1|USA-CA|2023-05-23|avian|B3.2	USA-CA	California	Sonoma	county	38.2491340894976	-122.490041970178
A/northern_shoveler/Nevada/22-037517-003/2022|H5N1|USA-NV|2022-11-05|avian|B3.2	USA-NV	Nevada	Mineral	county	37.9979439652715	-118.407370179724
A/red_tailed_hawk/Missouri/23-001518-001/2022|H5N1|USA-MO|2022-12-21|avian|B3.2	USA-MO	Missouri	Saint Louis	county	38.7546698757109	-90.4791567212443
A/american_crow/Kansas/23-002150-001/2022|H5N1|USA-KS|2022-12-23|avian|B3.2	USA-KS	Kansas	Wabaunsee	county	38.8911298104821	-96.2348908088261
A/snow_goose/Missouri/22-037787-001/2022|H5N1|USA-MO|2022-11-13|avian|B3.2	USA-MO	Missouri	Jackson	county	38.923771468726	-94.4584837359766
A/red-tailed_hawk/Colorado/23-006671-001/2023|H5N1|USA-CO|2023-02-18|avian|B3.2	USA-CO	Colorado	Mesa	county	38.7528496480248	-108.548686009281
A/striped_skunk/Kansas/W23-175/2023|H5N1|USA-KS|2023-02-24|other_mammal|B3.2	USA-KS	Kansas	Lincoln	county	39.0040853318741	-98.356914114428
A/goose/Kansas/W22-1154/2022|H5N1|USA-KS|2022-12-05|avian|B3.2	USA-KS	Kansas	Rooks	county	39.5665585669068	-99.055481398632
A/american_blue_winged_teal/Missouri/22-032511-101-R/2022|H5N1|USA-MO|2022-09-23|avian|B3.2	USA-MO	Missouri	Chariton	county	39.639400739735	-92.9867365884085
A/turkey_vulture/California/23-002030-001/2022|H5N1|USA-CA|2022-12-29|avian|B3.2	USA-CA	California	Butte	county	39.5606278820732	-121.146183744661
A/ferruginous_hawk/Colorado/23-015630-001-original/2023|H5N1|USA-CO|2023-05-12|avian|B3.2	USA-CO	Colorado	Denver	county	39.88003055365	-104.722290786253
A/striped_skunk/Kansas/W23-094/2023|H5N1|USA-KS|2023-01-27|other_mammal|B3.2	USA-KS	Kansas	Rawlins	county	39.7620148636786	-101.024644930455
A/red-tailed_hawk/Kansas/23-009211-001/2023|H5N1|USA-KS|2023-03-15|avian|B3.2	USA-KS	Kansas	Marshall	county	39.77299529889	-96.6558481819772
A/Ring-billed_gull/Colorado/22-030941-001/2022|H5N1|USA-CO|2022-09-28|avian|B3.2	USA-CO	Colorado	Boulder	county	39.9911142087731	-105.258358676913
A/trumpeter_swan/Missouri/22-040427-001/2022|H5N1|USA-MO|2022-12-01|avian|B3.2	USA-MO	Missouri	Holt	county	39.9034386937825	-95.008510270578
A/goose/Utah/23-001040-001/2023|H5N1|USA-UT|2023-01-04|avian|B3.2	USA-UT	Utah	Duchesne	county	40.5262970414792	-110.444520409299
A/canada_goose/Colorado/22-038655-001/2022|H5N1|USA-CO|2022-11-28|avian|B3.2	USA-CO	Colorado	Weld	county	40.0365857764717	-104.630219268889
A/great_horned_owl/Colorado/23-007822-001/2023|H5N1|USA-CO|2023-03-03|avian|B3.2	USA-CO	Colorado	Moffat	county	40.8701861885418	-108.022132795227
A/Swainson_s_hawk/Colorado/23-014329-001/2023|H5N1|USA-CO|2023-05-02|avian|B3.2	USA-CO	Colorado	Moffat	county	40.2241907528364	-107.708758948571
A/red-tailed_hawk/Nevada/23-012114-001/2023|H5N1|USA-NV|2023-03-31|avian|B3.2	USA-NV	Nevada	Washoe	county	40.55365477584	-119.596268966127
A/eared_grebe/California/23-000276-003/2022|H5N1|USA-CA|2022-12-15|avian|B3.2	USA-CA	California	Lassen	county	40.9873488716149	-120.31691985154
A/red_tailed_hawk/Colorado/22-029818-001-R/2022|H5N1|USA-CO|2022-09-19|avian|B3.2	USA-CO	Colorado	Larimer	county	40.7744084146014	-105.74229241526
A/red_tailed_hawk/Colorado/22-031741-001/2022|H5N1|USA-CO|2022-10-04|avian|B3.2	USA-CO	Colorado	Larimer	county	40.8376235777655	-105.968419325492
A/canada_goose/Colorado/23-000399-001/2022|H5N1|USA-CO|2022-12-30|avian|B3.2	USA-CO	Colorado	Larimer	county	40.9667059551881	-105.482040857198
A/red_tailed_hawk/Colorado/23-000403-001/2023|H5N1|USA-CO|2023-01-01|avian|B3.2	USA-CO	Colorado	Larimer	county	40.846083144115	-105.597160003922
A/red_tailed_hawk/Colorado/23-004223-001/2023|H5N1|USA-CO|2023-01-31|avian|B3.2	USA-CO	Colorado	Larimer	county	40.8807928833534	-105.490209674023
A/turkey_vulture/Colorado/23-011447-001/2023|H5N1|USA-CO|2023-04-10|avian|B3.2	USA-CO	Colorado	Larimer	county	40.4867763421951	-105.435580003523
A/peregrine_falcon/New_York/23-003717-001/2023|H5N1|USA-NY|2023-01-26|avian|B3.2	USA-NY	New_York	Kings	county	40.6179734683272	-74.0117778537343
A/chicken/Utah/22-015245-001/2022|H5N1|USA-UT|2022-05-13|avian|B3.2	USA-UT	Utah	Salt Lake	county	40.752325321446	-111.950871295465
A/goose/Utah/22-018176-003/2022|H5N1|USA-UT|2022-06-08|avian|B3.2	USA-UT	Utah	Salt Lake	county	40.6563214196874	-112.05918013415
A/duck/Utah/22-031728-004-R/2022|H5N1|USA-UT|2022-10-04|avian|B3.2	USA-UT	Utah	Salt Lake	county	40.5528129693834	-111.892533604384
A/red-tailed_hawk/Colorado/23-008901-001/2023|H5N1|USA-CO|2023-03-15|avian|B3.2	USA-CO	Colorado	Logan	county	40.5593660966402	-103.01733818499
A/great_horned_owl/Nebraska/22-038800-001/2022|H5N1|USA-NE|2022-11-30|avian|B3.2	USA-NE	Nebraska	Lancaster	county	40.9123185417856	-96.6298262080827
A/cat/Nebraska/23-010184-001/2023|H5N1|USA-NE|2023-03-30|feline|B3.2	USA-NE	Nebraska	Buffalo	county	40.6708526355825	-99.0129310524629
A/snow_goose/Colorado/22-036625-001-R/2022|H5N1|USA-CO|2022-11-08|avian|B3.2	USA-CO	Colorado	Sedgwick	county	40.8878781393282	-102.140007984602
A/blue_winged_teal/Indiana/22-034829-003-R2/2022|H5N1|USA-IN|2022-10-28|avian|B3.2	USA-IN	Indiana	Jasper	county	40.9928503234859	-87.1206051811469
A/mallard/Indiana/22-034829-007-R2/2022|H5N1|USA-IN|2022-10-28|avian|B3.2	USA-IN	Indiana	Jasper	county	40.9407130529189	-87.2166637774777
A/canada_goose/Nebraska/23-001495-001/2023|H5N1|USA-NE|2023-01-10|avian|B3.2	USA-NE	Nebraska	Lincoln	county	40.8920890173195	-101.05840529381
A/canada_goose/Nebraska/23-001495-002/2023|H5N1|USA-NE|2023-01-10|avian|B3.2	USA-NE	Nebraska	Lincoln	county	40.8981765092242	-101.163089972476
A/canada_goose/Nevada/22-033403-003-R/2022|H5N1|USA-NV|2022-09-23|avian|B3.2	USA-NV	Nevada	Elko	county	41.3544929550601	-115.477128120329
A/Peregrine_Falcon/Iowa/22-012093-001/2022|H5N1|USA-IA|2022-04-15|avian|B3.2	USA-IA	Iowa	Louisa	county	41.2722121523358	-91.2636730970604
A/hawk/Indiana/23-003026-001/2023|H5N1|USA-IN|2023-01-23|avian|B3.2	USA-IN	Indiana	Starke	county	41.268834551431	-86.5930845314392
A/pelican/Nebraska/22-032908-001/2022|H5N1|USA-NE|2022-10-13|avian|B3.2	USA-NE	Nebraska	Douglas	county	41.3573944302509	-95.9768991027156
A/American_crow/Utah/23-007867-006/2023|H5N1|USA-UT|2023-03-03|avian|B3.2	USA-UT	Utah	Weber	county	41.3878865162939	-111.534477605169
A/great_horned_owl/Wyoming/22-039597-001/2022|H5N1|USA-WY|2022-12-06|avian|B3.2	USA-WY	Wyoming	Laramie	county	41.0445341894967	-105.196308537701
A/great_horned_owl/Nevada/22-040618-001/2022|H5N1|USA-NV|2022-12-06|avian|B3.2	USA-NV	Nevada	Humboldt	county	40.842476406178	-117.072284738069
A/peregrine_falcon/Indiana/22-032710-001/2022|H5N1|USA-IN|2022-10-07|avian|B3.2	USA-IN	Indiana	Lake	county	41.2373327466692	-87.3035809549863
A/mallard/Connecticut/23-004773-001-original2/2023|H5N1|USA-CT|2023-02-06|avian|B3.2	USA-CT	Connecticut	New London	county	41.4926317841968	-72.1613014364978
A/great_horned_owl/Utah/22-035956-007/2022|H5N1|USA-UT|2022-10-25|avian|B3.2	USA-UT	Utah	Box Elder	county	41.6110261624566	-113.577906331684
A/chicken/Nebraska/22-013105-001/2022|H5N1|USA-NE|2022-04-26|avian|B3.2	USA-NE	Nebraska	Washington	county	41.5480111632489	-96.1389539303667
A/swan/Nebraska/22-041037-001/2022|H5N1|USA-NE|2022-12-15|avian|B3.2	USA-NE	Nebraska	Colfax	county	41.7308037452711	-97.0359809782508
A/swan/Nebraska/22-041037-002/2022|H5N1|USA-NE|2022-12-15|avian|B3.2	USA-NE	Nebraska	Colfax	county	41.466894515871	-97.1538617957637
A/american_wigeon/Ohio/22-034080-032/2022|H5N1|USA-OH|2022-10-15|avian|B3.2	USA-OH	Ohio	Ottawa	county	41.5115561723522	-82.9756587691115
A/mute_swan/Rhode_Island/23-007092-001/2023|H5N1|USA-RI|2023-02-13|avian|B3.2	USA-RI	Rhode_Island	Kent	county	41.7047952104385	-71.4757475207524
A/turkey_vulture/Utah/23-012747-001/2023|H5N1|USA-UT|2023-04-19|avian|B3.2	USA-UT	Utah	Cache	county	41.8210589418979	-111.590107617862
A/turkey_vulture/Utah/23-014334-001/2023|H5N1|USA-UT|2023-04-28|avian|B3.2	USA-UT	Utah	Cache	county	41.6453795028691	-111.705580757989
A/Great_Horned_Owl/Wyoming/22-013016-002/2022|H5N1|USA-WY|2022-04-25|avian|B3.2	USA-WY	Wyoming	Carbon	county	41.5258644518984	-106.653243390885
A/red_tailed_hawk/New_York/22-042014-001/2022|H5N1|USA-NY|2022-12-19|avian|B3.2	USA-NY	New_York	Dutchess	county	41.820186608425	-73.8856208439377
A/american_white_pelican/Iowa/22-021277-001/2022|H5N1|USA-IA|2022-07-01|avian|B3.2	USA-IA	Iowa	Clinton	county	41.8346351112019	-90.6763577028151
A/american_white_pelican/Iowa/22-022114-001/2022|H5N1|USA-IA|2022-07-01|avian|B3.2	USA-IA	Iowa	Clinton	county	41.9885421175871	-90.7238492858283
A/hawk/Iowa/23-011213-001/2023|H5N1|USA-IA|2023-04-10|avian|B3.2	USA-IA	Iowa	Boone	county	42.0908124587452	-93.7649600663497
A/trumpeter_swan/Iowa/23-002039-002/2023|H5N1|USA-IA|2023-01-12|avian|B3.2	USA-IA	Iowa	Story	county	41.9816681634722	-93.4102293865115
A/canada_goose/Iowa/23-028688-001/2023|H5N1|USA-IA|2023-01-13|avian|B3.2	USA-IA	Iowa	Story	county	42.1962753424432	-93.314238823525
A/trumpeter_swan/Iowa/23-002662-002/2023|H5N1|USA-IA|2023-01-21|avian|B3.2	USA-IA	Iowa	Story	county	42.0948256495687	-93.4123209358542
A/American_crow/Iowa/23-007468-001/2023|H5N1|USA-IA|2023-03-02|avian|B3.2	USA-IA	Iowa	Story	county	41.8810574509259	-93.2707158986881
A/American_crow/Iowa/23-007781-002/2023|H5N1|USA-IA|2023-03-05|avian|B3.2	USA-IA	Iowa	Story	county	42.1110094799931	-93.3998746398262
A/american_green_winged_teal/Iowa/22-034928-001-R2/2022|H5N1|USA-IA|2022-10-16|avian|B3.2	USA-IA	Iowa	Monona	county	42.0486086646059	-95.9159235518311
A/canada_goose/Iowa/22-040790-001/2022|H5N1|USA-IA|2022-12-07|avian|B3.2	USA-IA	Iowa	Monona	county	42.1805980611089	-96.0888560147775
A/american_white_pelican/Illinois/22-021276-001/2022|H5N1|USA-IL|2022-07-01|avian|B3.2	USA-IL	Illinois	Carroll	county	42.0371245916956	-89.9940866784774
A/red_tailed_hawk/Wyoming/22-042090-001/2022|H5N1|USA-WY|2022-12-22|avian|B3.2	USA-WY	Wyoming	Goshen	county	42.3266181385694	-104.408794776325
A/canada_goose/Wyoming/23-000336-002/2022|H5N1|USA-WY|2022-10-30|avian|B3.2	USA-WY	Wyoming	Platte	county	42.5999635624637	-104.691905890802
A/turkey_vulture/Wyoming/23-013715-001/2023|H5N1|USA-WY|2023-04-19|avian|B3.2	USA-WY	Wyoming	Platte	county	42.2847278058488	-104.739959498354
A/red-shouldered_hawk/New_York/23-012563-001/2023|H5N1|USA-NY|2023-04-13|avian|B3.2	USA-NY	New_York	Columbia	county	42.4186163429799	-73.4261773893553
A/Canada_goose/MA/23-015884-006/2023|H5N1|USA-MA|2023-02-18|avian|B3.2	USA-MA	Massachusetts	Worcester	county	42.1999660108836	-71.6204864088932
A/chicken/Illinois/22-015233-005/2022|H5N1|USA-IL|2022-05-14|avian|B3.2	USA-IL	Illinois	Boone	county	42.342532923207	-88.8634592891992
A/chicken/Illinois/22-015233-006/2022|H5N1|USA-IL|2022-05-14|avian|B3.2	USA-IL	Illinois	Boone	county	42.224821836172	-88.7617701386388
A/Canada_goose/MA/23-015884-009/2023|H5N1|USA-MA|2023-02-23|avian|B3.2	USA-MA	Massachusetts	Hampshire	county	42.2481176902449	-72.4260454919413
A/Canada_Goose/MA/23-015884-019/2023|H5N1|USA-MA|2023-03-30|avian|B3.2	USA-MA	Massachusetts	Suffolk	county	42.3493391409157	-71.1333923775738
A/canada_goose/Iowa/22-040793-004/2022|H5N1|USA-IA|2022-12-06|avian|B3.2	USA-IA	Iowa	Woodbury	county	42.3339815304592	-96.2829491965192
A/american_white_pelican/Illinois/22-013436-001/2022|H5N1|USA-IL|2022-04-25|avian|B3.2	USA-IL	Illinois	Lake	county	42.4407292892932	-88.0420513390573
A/snow_goose/New_York/23-000618-001/2023|H5N1|USA-NY|2023-01-04|avian|B3.2	USA-NY	New_York	Tompkins	county	42.4269724954062	-76.6194524329976
A/american_crow/Iowa/23-000627-006/2023|H5N1|USA-IA|2023-01-05|avian|B3.2	USA-IA	Iowa	Black Hawk	county	42.3997520739591	-92.3682974557545
A/American_crow/Iowa/23-010832-002/2023|H5N1|USA-IA|2023-04-04|avian|B3.2	USA-IA	Iowa	Black Hawk	county	42.354128333614	-92.2143900344625
A/american_crow/Massachusetts/23-004612-017/2023|H5N1|USA-MA|2023-01-10|avian|B3.2	USA-MA	Massachusetts	Middlesex	county	42.3418182896856	-71.2441056007636
A/Canada_goose/MA/23-015884-014/2023|H5N1|USA-MA|2023-03-04|avian|B3.2	USA-MA	Massachusetts	Middlesex	county	42.3519122870272	-71.211692227416
A/Red-tailed_Hawk/MA/23-015884-018/2023|H5N1|USA-MA|2023-03-21|avian|B3.2	USA-MA	Massachusetts	Middlesex	county	42.6226478054949	-71.5365458547857
A/chicken/Nebraska/22-038149-001/2022|H5N1|USA-NE|2022-11-24|avian|B3.2	USA-NE	Nebraska	Dixon	county	42.3351126925544	-96.9427653250562
A/peregrine_falcon/Michigan/23-003553-001/2023|H5N1|USA-MI|2023-01-26|avian|B3.2	USA-MI	Michigan	Eaton	county	42.5119402848993	-84.8002428365487
A/chicken/Michigan/23-008143-001-original/2023|H5N1|USA-MI|2023-03-10|avian|B3.2	USA-MI	Michigan	Eaton	county	42.6269570111576	-84.9613550563352
A/chicken/Michigan/23-008143-002-original/2023|H5N1|USA-MI|2023-03-10|avian|B3.2	USA-MI	Michigan	Eaton	county	42.69188935726	-84.9737959420194
A/red_tailed_hawk/New_York/23-003070-001/2023|H5N1|USA-NY|2023-01-18|avian|B3.2	USA-NY	New_York	Albany	county	42.5780424350683	-73.8618515616274
A/chicken/Oregon/23-009029-001-original/2023|H5N1|USA-OR|2023-03-15|avian|B3.2	USA-OR	Oregon	Klamath	county	42.9447807891382	-121.799226639245
A/red_tailed_hawk/New_York/23-001007-001/2023|H5N1|USA-NY|2023-01-10|avian|B3.2	USA-NY	New_York	Cayuga	county	42.6608404826449	-76.642968027567
A/american_wigeon/Idaho/22-039598-001/2022|H5N1|USA-ID|2022-11-23|avian|B3.2	USA-ID	Idaho	Gooding	county	43.1897912042608	-115.073444875743
A/turkey_vulture/Wyoming/23-012565-001/2023|H5N1|USA-WY|2023-04-19|avian|B3.2	USA-WY	Wyoming	Converse	county	42.8632051647034	-105.806408447176
A/american_green_winged_teal/New_York/22-033592-029/2022|H5N1|USA-NY|2022-10-15|avian|B3.2	USA-NY	New_York	Genesee	county	43.0786069303278	-78.1897883498306
A/chicken/Wisconsin/22-034812-002/2022|H5N1|USA-WI|2022-10-31|avian|B3.2	USA-WI	Wisconsin	Waukesha	county	42.8656745737872	-88.3875991884561
A/canada_goose/Wyoming/22-036111-001/2022|H5N1|USA-WY|2022-11-03|avian|B3.2	USA-WY	Wyoming	Fremont	county	43.1132059096859	-107.868810206377
A/tundra_swan/Wisconsin/22-038828-001-R/2022|H5N1|USA-WI|2022-11-22|avian|B3.2	USA-WI	Wisconsin	Dane	county	42.9787745063885	-89.0999942539336
A/fox/Iowa/22-014421-001/2022|H5N1|USA-IA|2022-05-06|other_mammal|B3.2	USA-IA	Iowa	Hancock	county	43.2214161127861	-93.6477702112997
A/sanderling/Oregon/23-011964-001/2023|H5N1|USA-OR|2023-04-13|avian|B3.2	USA-OR	Oregon	Coos	county	43.5186989764026	-124.109085971856
A/pheasant/South_Dakota/22-034797-001/2022|H5N1|USA-SD|2022-10-27|avian|B3.2	USA-SD	South_Dakota	Gregory	county	43.4798685513577	-99.4430884066883
A/red_fox/Michigan/22-018712-001/2022|H5N1|USA-MI|2022-06-08|other_mammal|B3.2	USA-MI	Michigan	Muskegon	county	43.4610933409756	-86.1762804336599
A/red_fox/Michigan/22-021733-002/2022|H5N1|USA-MI|2022-07-06|other_mammal|B3.2	USA-MI	Michigan	Muskegon	county	43.4511263771228	-86.431882031603
A/american_wigeon/Idaho/22-036873-001/2022|H5N1|USA-ID|2022-10-26|avian|B3.2	USA-ID	Idaho	Elmore	county	43.8585276329405	-115.051742192883
A/turkey_vulture/Idaho/22-014968-007/2022|H5N1|USA-ID|2022-05-05|avian|B3.2	USA-ID	Idaho	Bonneville	county	43.606707602354	-111.622486127503
A/great_horned_owl/Idaho/23-017158-001/2023|H5N1|USA-ID|2023-05-20|avian|B3.2	USA-ID	Idaho	Bonneville	county	43.2105503410665	-111.102879329967
A/canada_goose/Idaho/22-017360-002/2022|H5N1|USA-ID|2022-05-31|avian|B3.2	USA-ID	Idaho	Ada	county	43.6464559416858	-116.450833819359
A/canada_goose/Idaho/22-018980-001/2022|H5N1|USA-ID|2022-06-04|avian|B3.2	USA-ID	Idaho	Ada	county	43.354368717108	-116.030143609872
A/hawk/Idaho/22-017864-001/2022|H5N1|USA-ID|2022-06-06|avian|B3.2	USA-ID	Idaho	Ada	county	43.2628792047358	-116.076699945486
A/skunk/Idaho/22-023547-001/2022|H5N1|USA-ID|2022-07-22|other_mammal|B3.2	USA-ID	Idaho	Ada	county	43.739693558286	-116.223074694196
A/magpie/Idaho/23-001085-001/2023|H5N1|USA-ID|2023-01-04|avian|B3.2	USA-ID	Idaho	Ada	county	43.6398928732544	-116.423595107774
A/magpie/Idaho/23-011169-002/2023|H5N1|USA-ID|2023-03-28|avian|B3.2	USA-ID	Idaho	Ada	county	43.4747092913988	-116.360546527251
A/great_horned_owl/Idaho/23-011169-003/2023|H5N1|USA-ID|2023-03-28|avian|B3.2	USA-ID	Idaho	Ada	county	43.4236234167841	-116.075002594704
A/barn_owl/Idaho/23-013072-002/2023|H5N1|USA-ID|2023-04-18|avian|B3.2	USA-ID	Idaho	Ada	county	43.1933073621615	-116.169576353661
A/chicken/New_Hampshire/23-002392-001-original2/2023|H5N1|USA-NH|2023-01-19|avian|B3.2	USA-NH	New_Hampshire	Belknap	county	43.3925571823412	-71.2804051926518
A/snow_goose/Idaho/22-038611-002/2022|H5N1|USA-ID|2022-11-18|avian|B3.2	USA-ID	Idaho	Canyon	county	43.5972210558205	-116.507473175679
A/red-tailed_hawk/South_Dakota/23-012031-001/2023|H5N1|USA-SD|2023-04-11|avian|B3.2	USA-SD	South_Dakota	Minnehaha	county	43.6570718709969	-97.0246748588927
A/canada_goose/Wyoming/23-002120-001/2023|H5N1|USA-WY|2023-01-11|avian|B3.2	USA-WY	Wyoming	Hot Springs	county	43.5212691646079	-108.075561389733
A/american_green_winged_teal/Idaho/22-034533-007-R2/2022|H5N1|USA-ID|2022-10-01|avian|B3.2	USA-ID	Idaho	Jefferson	county	43.6243255468464	-112.690828234246
A/striped_skunk/Idaho/22-037165-002/2022|H5N1|USA-ID|2022-11-04|other_mammal|B3.2	USA-ID	Idaho	Jefferson	county	43.7063606403022	-112.327146205442
