trait	country	admin1	admin2	precision	latitude	longitude
A/Southern_Elephant_Seal/Jason_Harbour/141078/2023|H5N1|SGSSI|2023-12-09|other_mammal|B3.2	SGSSI	NA	NA	precise (Martha)	-54.1998934	-36.589597
A/Brown_skua/Bird_Island/128287/2023|H5N1|SGSSI|2023-10-08|avian|B3.2	SGSSI	NA	NA	precise (Martha)	-54.006334	-38.047372
A/Brown_skua/Bird_Island/128288/2023|H5N1|SGSSI|2023-10-08|avian|B3.2	SGSSI	NA	NA	precise (Martha)	-54.006334	-38.047372
A/Brown_Skua/Bird_Island/141232/2023|H5N1|SGSSI|2023-11-11|avian|B3.2	SGSSI	NA	NA	precise (Martha)	-54.006334	-38.047372
A/Sea_Lion/Argentina/3849-4/2023|H5N1|Argentina|2023-08-08|other_mammal|B3.2	Argentina	NA	NA	precise (Martha)	-53.71557	-67.80045
A/Southern_fulmar/Falkland_Islands/133789/2023|H5N1|Falkland_Islands|2023-10-30|avian|B3.2	Falkland_Islands	NA	NA	precise (Martha)	-51.693946	-57.8572918
A/southern_elephant_seal/Argentina/CH-PD035/2023|H5N1|Argentina|2023-10-10|other_mammal|B3.2	Argentina	NA	NA	precise (Martha)	-42.764	-63.6326
A/royal_tern/Argentina/CH-PD036/2023|H5N1|Argentina|2023-10-10|avian|B3.2	Argentina	NA	NA	precise (Martha)	-42.764	-63.6326
A/southern_elephant_seal/Argentina/CH-PM053/2023|H5N1|Argentina|2023-11-01|other_mammal|B3.2	Argentina	NA	NA	precise (Martha)	-42.597458	-64.818871
A/South_American_sea_lion/Argentina/RN-PB004/2023|H5N1|Argentina|2023-08-26|other_mammal|B3.2	Argentina	NA	NA	precise (Martha)	-41.1558	-63.1323
A/South_American_sea_lion/Argentina/RN-PB007/2023|H5N1|Argentina|2023-08-26|other_mammal|B3.2	Argentina	NA	NA	precise (Martha)	-41.155	-63.128
A/South_American_sea_lion/Argentina/RN-PB011/2023|H5N1|Argentina|2023-08-26|other_mammal|B3.2	Argentina	NA	NA	precise (Martha)	-41.155	-63.128
A/South_American_sea_lion/Argentina/RN-PB013/2023|H5N1|Argentina|2023-08-26|other_mammal|B3.2	Argentina	NA	NA	precise (Martha)	-41.155	-63.128
A/South_American_tern/Argentina/RN-PB015/2023|H5N1|Argentina|2023-08-26|avian|B3.2	Argentina	NA	NA	precise (Martha)	-41.155	-63.128
A/Sea_Lion/Argentina/3893-1/2023|H5N1|Argentina|2023-08-11|other_mammal|B3.2	Argentina	NA	NA	precise (Martha)	-41.15491	-63.1613
A/brown-hooded_gull/Los_Rios/247093-1/2023|H5N1|Chile|2023-04-04|avian|B3.2	Chile	NA	NA	precise (Martha)	-39.813889	-73.245833
A/Avian/Argentina/1790-5/2023|H5N1|Argentina|2023-04-24|avian|B3.2	Argentina	NA	NA	precise (Martha)	-38.95667	-68.29917
A/Domestic_duck/Araucania/239189-3/2023|H5N1|Chile|2023-02-28|avian|B3.2	Chile	NA	NA	precise (Martha)	-38.7934	-72.9758
A/South_American_sea_lion/Bio_Bio/246296-1/2023|H5N1|Chile|2023-03-26|other_mammal|B3.2	Chile	NA	NA	precise (Martha)	-37.47393	-72.3453308
A/Chilean_dolphin/Nuble/248244-1/2023|H5N1|Chile|2023-04-01|other_mammal|B3.2	Chile	NA	NA	precise (Martha)	-36.35902222	-72.85395556
A/Chicken/Argentina/2796-2/2023|H5N1|Argentina|2023-06-13|avian|B3.2	Argentina	NA	NA	precise (Martha)	-35.089	-57.947197
