seq_id,group
EPI_ISL_11628213,H5 2.3.4.4b
EPI_ISL_12325210,H5 2.3.4.4b
EPI_ISL_12514532,H5 2.3.4.4b
EPI_ISL_13199866,H5 2.3.4.4b
EPI_ISL_13369776,H5 2.3.4.4b
EPI_ISL_13370421,H5 2.3.4.4b
EPI_ISL_13370571,H5 2.3.4.4b
EPI_ISL_13453560,H5 2.3.4.4b
EPI_ISL_13486890,H5 2.3.4.4b
EPI_ISL_14098916,H5 2.3.4.4b
EPI_ISL_14760552,H5 2.3.4.4b
EPI_ISL_14760701,H5 2.3.4.4b
EPI_ISL_14761407,H5 2.3.4.4b
EPI_ISL_14811827,H5 2.3.4.4b
EPI_ISL_15518262,H5 2.3.4.4b
EPI_ISL_15585760,H5 2.3.4.4b
EPI_ISL_15585840,H5 2.3.4.4b
EPI_ISL_15586107,H5 2.3.4.4b
EPI_ISL_15586135,H5 2.3.4.4b
EPI_ISL_16271832,H5 2.3.4.4b
EPI_ISL_16297362,H5 2.3.4.4b
EPI_ISL_16632504,H5 2.3.4.4b
EPI_ISL_16641799,H5 2.3.4.4b
EPI_ISL_16955829,H5 2.3.4.4b
EPI_ISL_17073215,H5 2.3.4.4b
EPI_ISL_17260681,H5 2.3.4.4b
EPI_ISL_17424631,H5 2.3.4.4b
EPI_ISL_17424645,H5 2.3.4.4b
EPI_ISL_17606820,H5 2.3.4.4b
EPI_ISL_17606826,H5 2.3.4.4b
EPI_ISL_17606842,H5 2.3.4.4b
EPI_ISL_17885924,H5 2.3.4.4b
EPI_ISL_17964847,H5 2.3.4.4b
EPI_ISL_17964855,H5 2.3.4.4b
EPI_ISL_18132256,H5 2.3.4.4b
EPI_ISL_18245810,H5 2.3.4.4b
EPI_ISL_18311015,H5 2.3.4.4b
EPI_ISL_18373217,H5 2.3.4.4b
EPI_ISL_18373235,H5 2.3.4.4b
EPI_ISL_18472733,H5 2.3.4.4b
EPI_ISL_18509887,H5 2.3.4.4b
EPI_ISL_18652555,H5 2.3.4.4b
EPI_ISL_18665539,H5 2.3.4.4b
EPI_ISL_18697720,H5 2.3.4.4b
EPI_ISL_18720756,H5 2.3.4.4b
EPI_ISL_18720821,H5 2.3.4.4b
EPI_ISL_18742213,H5 2.3.4.4b
EPI_ISL_18830861,H5 2.3.4.4b
EPI_ISL_18916929,H5 2.3.4.4b
EPI_ISL_19027114,H5 2.3.4.4b
EPI_ISL_19094600,H5 2.3.4.4b
EPI_ISL_19145199,H5 2.3.4.4b
EPI_ISL_19152513,H5 2.3.4.4b
EPI_ISL_19152646,H5 2.3.4.4b
EPI_ISL_19152924,H5 2.3.4.4b
EPI_ISL_19154611,H5 2.3.4.4b
EPI_ISL_19154719,H5 2.3.4.4b
EPI_ISL_19155062,H5 2.3.4.4b
EPI_ISL_19155080,H5 2.3.4.4b
EPI_ISL_19496496,H5 2.3.4.4b
EPI_ISL_19574224,H5 2.3.4.4b
EPI_ISL_19604001,H5 2.3.4.4b
EPI_ISL_19606133,H5 2.3.4.4b
EPI_ISL_19607284,H5 2.3.4.4b
EPI_ISL_19607639,H5 2.3.4.4b
EPI_ISL_19660886,H5 2.3.4.4b
EPI_ISL_19672035,H5 2.3.4.4b
EPI_ISL_19677306,H5 2.3.4.4b
EPI_ISL_19712879,H5 2.3.4.4b
EPI_ISL_19737077,H5 2.3.4.4b
EPI_ISL_19775671,H5 2.3.4.4b
EPI_ISL_19855236,H5 2.3.4.4b
EPI_ISL_19863938,H5 2.3.4.4b
EPI_ISL_19863943,H5 2.3.4.4b
EPI_ISL_19865712,H5 2.3.4.4b
EPI_ISL_19866142,H5 2.3.4.4b
EPI_ISL_19866161,H5 2.3.4.4b
EPI_ISL_19890474,H5 2.3.4.4b
EPI_ISL_19900884,H5 2.3.4.4b
EPI_ISL_19906349,H5 2.3.4.4b
EPI_ISL_632316,H5 2.3.4.4b
EPI_ISL_7054529,H5 2.3.4.4b
EPI_ISL_7733607,H5 2.3.4.4b
EPI_ISL_7753347,H5 2.3.4.4b
EPI_ISL_8215689,H5 2.3.4.4b
SRR28752523,H5 2.3.4.4b
SRR30572433,H5 2.3.4.4b
SRR30932425,H5 2.3.4.4b
