label,isolate,country,admin1,admin2,collection_date,location
GenBank|A/Gadwall/MT/23-029480-008-original/2023|H5N1|USA-MT|2023-09-23|wild_avian|B3.6,23-029480-008-original,USA,MT,Teton,2023-09-23,USA_MT_Teton
GenBank|A/Redhead_Duck/CO/23-029854-022-original/2023|H5N1|USA-CO|2023-09-30|wild_avian|B3.6,23-029854-022-original,USA,CO,Alamosa,2023-09-30,USA_CO_Alamosa
GenBank|A/Gadwall/MT/23-030444-001-original/2023|H5N1|USA-MT|2023-09-30|wild_avian|B3.6,23-030444-001-original,USA,MT,Lake,2023-09-30,USA_MT_Lake
EPI_ISL_19186544|A/mallard/Colorado/23-030893-0012/2023|H5N1|USA-CO|2023-10-07|wild_avian|B3.6,23-030893-0012,USA,CO,Saguache,2023-10-07,USA_CO_Saguache
EPI_ISL_19131364|A/gadwall/South_Dakota/23-031573-004/2023|H5N1|USA-SD|2023-10-08|wild_avian|B3.6,23-031573-004,USA,SD,Beadle,2023-10-08,USA_SD_Beadle
EPI_ISL_19490381|A/mallard/Washington/23-031856-003-original/2023|H5N1|USA-WA|2023-10-12|wild_avian|B3.6,23-031856-003-original,USA,WA,Grant,2023-10-12,USA_WA_Grant
EPI_ISL_19159880|A/American_wigeon/Oregon/23-031857-002/2023|H5N1|USA-OR|2023-10-14|wild_avian|B3.6,23-031857-002,USA,OR,Morrow,2023-10-14,USA_OR_Morrow
EPI_ISL_19159884|A/gadwall/North_Dakota/23-031936-004/2023|H5N1|USA-ND|2023-10-16|wild_avian|B3.6,23-031936-004,USA,ND,Burleigh,2023-10-16,USA_ND_Burleigh
EPI_ISL_19159885|A/blue-winged_teal/Montana/23-032220-005/2023|H5N1|USA-MT|2023-10-14|wild_avian|B3.6,23-032220-005,USA,MT,Teton,2023-10-14,USA_MT_Teton
EPI_ISL_19273311|A/mallard/South_Dakota/23-032221-008-original2/2023|H5N1|USA-SD|2023-10-17|wild_avian|B3.6,23-032221-008-original2,USA,SD,Potter,2023-10-17,USA_SD_Potter
EPI_ISL_18697747|A/peregrine_falcon/Texas/23-032452-001/2023|H5N1|USA-TX|2023-10-17|wild_avian|B3.6,23-032452-001,USA,TX,Bexar,2023-10-17,USA_TX_Bexar
