trait	country	admin1	latitude	longitude
A/Eared_Grebe/AB/FAV-0833-67/2022|H5N1|Canada-AB|2022-06-23|avian|A1	Canada	AB	54.5134798098627	-110.917640606234
A/Eared_Grebe/AB/FAV-0833-83/2022|H5N1|Canada-AB|2022-06-23|avian|A1	Canada	AB	51.3549107735843	-111.367012705803
A/Eared_Grebe/AB/FAV-0833-82/2022|H5N1|Canada-AB|2022-06-23|avian|A1	Canada	AB	54.3301514893601	-115.671468557786
A/Eared_Grebe/AB/FAV-0833-85/2022|H5N1|Canada-AB|2022-06-23|avian|A1	Canada	AB	58.3284889252323	-115.468816532184
A/Eared_Grebe/AB/FAV-0833-81/2022|H5N1|Canada-AB|2022-06-23|avian|A1	Canada	AB	50.3597831517176	-110.874307169241
A/Eared_Grebe/AB/FAV-0833-84/2022|H5N1|Canada-AB|2022-06-23|avian|A1	Canada	AB	54.7375016037586	-111.953041865384
A/Eared_Grebe/AB/FAV-0833-80/2022|H5N1|Canada-AB|2022-06-23|avian|A1	Canada	AB	56.1178576954137	-118.326523059754
A/Red-Tailed_Hawk/AB/FAV-0505-35/2022|H5N1|Canada-AB|2022-04-27|avian|A1	Canada	AB	51.3607738553545	-115.422843531184
A/Canada_Goose/AB/FAV-0505-36/2022|H5N1|Canada-AB|2022-04-27|avian|A1	Canada	AB	57.9098188742015	-119.921140836343
A/Great_Horned_Owl/AB/FAV-0505-38/2022|H5N1|Canada-AB|2022-04-27|avian|A1	Canada	AB	53.0870550676566	-116.383357912129
A/Bald_Eagle/MB/FAV-0687-1/2022|H5N1|Canada-MB|2022-05-28|avian|A1	Canada	MB	57.0710137014849	-93.3246042515017
A/Swainsons_Hawk/MB/FAV-0469-8/2022|H5N1|Canada-MB|2022-05-05|avian|A1	Canada	MB	56.138563841386	-91.4186894253322
A/Herring_Gull/NS/FAV-0111-1/2022|H5N1|Canada-NS|2022-02-12|avian|A1	Canada	NS	44.866107581539	-63.7062582616237
A/American_Crow/NS/FAV-0322-1/2022|H5N1|Canada-NS|2022-03-16|avian|A1	Canada	NS	45.1756170577274	-61.8167059798544
A/Mixed/NS/FAV-0066-1/2021|H5N1|Canada-NS|2022-01-28|avian|A1	Canada	NS	43.6670155880412	-65.5486321849232
A/Mixed/NS/FAV-0065-10/2022|H5N1|Canada-NS|2022-01-28|avian|A1	Canada	NS	44.8229265673084	-62.795165980724
A/Mixed/NS/FAV-0066-3/2021|H5N1|Canada-NS|2022-01-28|avian|A1	Canada	NS	45.7601369647688	-62.7212855627064
A/Mixed/NS/FAV-0065-11/2022|H5N1|Canada-NS|2022-01-28|avian|A1	Canada	NS	44.0432513257076	-65.8958625700668
A/Mixed/NS/FAV-0127-141B/2022|H5N1|Canada-NS|2022-03-12|avian|A1	Canada	NS	45.0468245541179	-63.164733185121
A/Mixed/NS/FAV-0127-154/2022|H5N1|Canada-NS|2022-03-12|avian|A1	Canada	NS	45.183700167622	-61.6331185244357
A/Mixed/NS/FAV-0127-153/2022|H5N1|Canada-NS|2022-03-12|avian|A1	Canada	NS	45.6457180563366	-61.881220711715
A/Canada_Goose/NS/FAV-0054-1/2022|H5N1|Canada-NS|2022-01-12|avian|A1	Canada	NS	44.4457310680953	-65.7663766242827
A/Red-Tailed_Hawk/NS/FAV-0326-1/2022|H5N1|Canada-NS|2022-04-19|avian|A1	Canada	NS	44.5120182756716	-63.8829781910199
A/Blue_Jay/NS/FAV-0122-1/2022|H5N1|Canada-NS|2022-02-18|avian|A1	Canada	NS	45.6341871463177	-63.8633566316266
A/Blue_Jay/NS/FAV-0095-1/2022|H5N1|Canada-NS|2022-02-08|avian|A1	Canada	NS	44.9923894078327	-62.8982293548156
A/Mallard/NS/FAV-0094-78/2022|H5N1|Canada-NS|2022-01-27|avian|A1	Canada	NS	45.4061455216077	-64.2340796533208
A/Mixed/NS/FAV-0083-155/2022|H5N1|Canada-NS|2022-02-07|avian|A1	Canada	NS	45.4627092301175	-63.356448784462
A/Mixed/NS/FAV-0083-126/2022|H5N1|Canada-NS|2022-02-07|avian|A1	Canada	NS	45.774696057361	-64.1292689183862
A/Mixed/NS/FAV-0083-125/2022|H5N1|Canada-NS|2022-02-07|avian|A1	Canada	NS	44.6180591313256	-64.7894214015549
A/Mixed/NS/FAV-0083-154/2022|H5N1|Canada-NS|2022-02-07|avian|A1	Canada	NS	45.3289224838383	-62.608385220394
A/Red-Tailed_Hawk/NS/FAV-0095-2/2022|H5N1|Canada-NS|2022-02-08|avian|A1	Canada	NS	45.4241488863406	-64.4362351890549
A/Broad-winged_Hawk/NS/FAV-0124-1/2022|H5N1|Canada-NS|2022-02-16|avian|A1	Canada	NS	44.5606566531907	-63.6344163041798
A/Common_Merganser/NS/FAV-0102-4/2022|H5N1|Canada-NS|2022-02-04|avian|A1	Canada	NS	45.1644510133585	-64.1206486600494
A/Red-breasted_Merganser/NS/FAV-0113-1/2022|H5N1|Canada-NS|2022-02-15|avian|A1	Canada	NS	45.1354197700241	-62.8612577051365
A/Great_Black-Backed_Gull/NS/FAV-0330-1/2022|H5N1|Canada-NS|2022-03-23|avian|A1	Canada	NS	45.5251676968854	-63.6811722892471
A/American_Crow/NS/FAV-0467-1/2022|H5N1|Canada-NS|2022-04-07|avian|A1	Canada	NS	44.5326072160924	-66.0479390793045
A/Canada_Goose/NS/FAV-0248-1/2022|H5N1|Canada-NS|2022-03-09|avian|A1	Canada	NS	44.8266892675013	-62.6683491789613
A/Herring_Gull/NT/FAV-0912-22/2022|H5N1|Canada-NT|2022-06-19|avian|A1	Canada	NT	65.172729780621	-115.876520543238
A/Canada_Goose/ON/FAV-0235-2/2022|H5N1|Canada-ON|2022-03-31|avian|A1	Canada	ON	46.9663057214261	-79.6965520117241
A/Redhead/ON/FAV-0161-1/2022|H5N1|Canada-ON|2022-03-15|avian|A1	Canada	ON	51.7738680440738	-81.040844622246
A/Mixed/ON/FAV-0209-1/2022|H5N1|Canada-ON|2022-04-07|avian|A1	Canada	ON	46.636184457165	-83.5253626745322
A/Common_Raven/ON/FAV-0473-2/2022|H5N1|Canada-ON|2022-05-04|avian|A1	Canada	ON	54.2706672292258	-82.7142559011736
A/Canada_Goose/ON/FAV-0244-3/2022|H5N1|Canada-ON|2022-04-06|avian|A1	Canada	ON	55.7221823042892	-89.5781786769066
A/Common_Raven/ON/FAV-0320-3/2022|H5N1|Canada-ON|2022-04-20|avian|A1	Canada	ON	49.6554600100734	-86.741164418762
A/Snowy_Owl/ON/FAV-0242-2/2022|H5N1|Canada-ON|2022-04-07|avian|A1	Canada	ON	49.2836425446381	-84.9703073771034
A/Great_Horned_Owl/ON/FAV-0527-1/2022|H5N1|Canada-ON|2022-05-03|avian|A1	Canada	ON	51.3088766979725	-93.3388996003599
A/Turkey/ON/FAV-0163-136/2022|H5N1|Canada-ON|2022-03-27|avian|A1	Canada	ON	49.2736093396083	-83.3552492034944
A/Mixed/ON/FAV-0182-3/2022|H5N1|Canada-ON|2022-04-03|avian|A1	Canada	ON	52.8579797061961	-88.8412507639158
A/Mixed/ON/FAV-0182-4/2022|H5N1|Canada-ON|2022-04-03|avian|A1	Canada	ON	53.8167927290936	-82.4257665037195
A/Mixed/ON/FAV-0189-1/2022|H5N1|Canada-ON|2022-04-04|avian|A1	Canada	ON	44.2300327906212	-81.453596639898
A/Mixed/ON/FAV-0189-5/2022|H5N1|Canada-ON|2022-04-04|avian|A1	Canada	ON	49.436901523249	-87.128624714229
A/Mixed/ON/FAV-0189-3/2022|H5N1|Canada-ON|2022-04-04|avian|A1	Canada	ON	49.41397387932	-87.2774657718303
A/Mixed/ON/FAV-0189-4/2022|H5N1|Canada-ON|2022-04-04|avian|A1	Canada	ON	53.0070302478485	-86.2939555012419
A/Mixed/ON/FAV-0182-1/2022|H5N1|Canada-ON|2022-04-03|avian|A1	Canada	ON	44.8361162322988	-78.0790454323222
A/Mixed/ON/FAV-0189-2/2022|H5N1|Canada-ON|2022-04-04|avian|A1	Canada	ON	43.944429487549	-80.7710681322076
A/Mixed/ON/FAV-0167-102/2022|H5N1|Canada-ON|2022-03-30|avian|A1	Canada	ON	48.5330353810894	-86.0588557228483
