trait	admin1	admin2	latitude	longitude
A/pintail/Florida/23-038109-023-original/2023|H5N1|USA-FL|2023-11-25|avian|C2.1	USA-FL	Brevard	28.5569068755489	-80.7992753261693
A/lesser_scaup/Florida/23-038112-015-original/2023|H5N1|USA-FL|2023-11-18|avian|C2.1	USA-FL	Brevard	27.8270752220025	-80.5621378953228
A/ring-necked_duck/Florida/23-038112-052-original/2023|H5N1|USA-FL|2023-11-18|avian|C2.1	USA-FL	Brevard	28.773345195493	-80.9235157180318
A/blue-winged_teal/Florida/23-038112-097-original/2023|H5N1|USA-FL|2023-11-18|avian|C2.1	USA-FL	Brevard	28.7351426516991	-80.9225307174291
A/domestic_duck/Florida/24-012642-001-original/2024|H5N1|USA-FL|2024-04-24|avian|C2.1	USA-FL	Clay	29.9598719638008	-81.7912380247594
A/hooded_merganser/South_Carolina/W24-028/2024|H5N1|USA-SC|2024-01-10|avian|C2.1	USA-SC	Georgetown	33.5896196099136	-79.3412171565023
A/chicken/South_Carolina/24-001707-001-original/2024|H5N1|USA-SC|2024-01-09|avian|C2.1	USA-SC	Orangeburg	33.3422795079551	-80.7558473555029
A/chicken/South_Carolina/24-001707-002-original/2024|H5N1|USA-SC|2024-01-18|avian|C2.1	USA-SC	Orangeburg	33.3434092757167	-80.9384123720609
A/wood_duck/Mississippi/24-004128-001-original/2024|H5N1|USA-MS|2024-01-29|avian|C2.1	USA-MS	Leflore	33.6708796788948	-90.3917506039232
A/wood_duck/Mississippi/24-004128-003-original/2024|H5N1|USA-MS|2024-01-29|avian|C2.1	USA-MS	Leflore	33.402179321406	-90.3223375995322
A/wood_duck/Mississippi/24-004128-004-original/2024|H5N1|USA-MS|2024-01-29|avian|C2.1	USA-MS	Leflore	33.440316031236	-90.19281748835
A/wood_duck/Mississippi/24-004128-007-original/2024|H5N1|USA-MS|2024-01-29|avian|C2.1	USA-MS	Leflore	33.5327926084361	-90.1966629690373
A/wood_duck/Mississippi/24-004128-008-original/2024|H5N1|USA-MS|2024-01-29|avian|C2.1	USA-MS	Leflore	33.4175565480321	-90.3346551545037
A/wood_duck/Mississippi/24-004128-011-original/2024|H5N1|USA-MS|2024-01-29|avian|C2.1	USA-MS	Leflore	33.4326638701243	-90.3598225290013
A/wood_duck/South_Carolina/W23-970B/2023|H5N1|USA-SC|2023-12-20|avian|C2.1	USA-SC	Clarendon	33.7173534542083	-80.1165839658833
A/wood_duck/South_Carolina/W24-007C/2023|H5N1|USA-SC|2023-12-20|avian|C2.1	USA-SC	Clarendon	33.7436517674208	-80.1379803738323
A/wood_duck/South_Carolina/W24-007E/2023|H5N1|USA-SC|2023-12-20|avian|C2.1	USA-SC	Clarendon	33.8380971643851	-80.0369730778591
A/wood_duck/Mississippi/24-004235-001/2024|H5N1|USA-MS|2024-02-05|avian|C2.1	USA-MS	Grenada	33.8033711003319	-89.7905938906144
A/wood_duck/Mississippi/24-004235-002-original/2024|H5N1|USA-MS|2024-02-05|avian|C2.1	USA-MS	Grenada	33.88324763904	-89.7792870875033
A/wood_duck/Mississippi/24-004235-003-original/2024|H5N1|USA-MS|2024-02-05|avian|C2.1	USA-MS	Grenada	33.8718433537261	-89.870573776793
A/chicken/South_Carolina/24-001296-005/2024|H5N1|USA-SC|2024-01-11|avian|C2.1	USA-SC	Horry	33.9694704448433	-78.7811432407227
A/guinea_fowl/South_Carolina/24-001296-006/2024|H5N1|USA-SC|2024-01-11|avian|C2.1	USA-SC	Horry	34.0535086294988	-78.8338131877776
A/wood_duck/North_Carolina/W24-026/2024|H5N1|USA-NC|2024-01-04|avian|C2.1	USA-NC	Carteret	34.8532383100461	-76.5740040121994
A/turkey/North_Carolina/24-005140-001-original/2024|H5N1|USA-NC|2024-02-15|avian|C2.1	USA-NC	Duplin	34.7304031443249	-77.8680417444753
A/turkey/North_Carolina/24-005140-002-original/2024|H5N1|USA-NC|2024-02-15|avian|C2.1	USA-NC	Duplin	34.9133105572406	-78.0062729795316
A/green-winged_teal/North_Carolina/24-004327-001-original/2024|H5N1|USA-NC|2024-01-30|avian|C2.1	USA-NC	Pamlico	35.2151865022855	-76.9241091318735
A/turkey/North_Carolina/24-004217-001-original/2024|H5N1|USA-NC|2024-02-08|avian|C2.1	USA-NC	Lenoir	35.1094720138875	-77.7431550909992
A/American_wigeon/North_Carolina/24-002161-002-original/2024|H5N1|USA-NC|2024-01-13|avian|C2.1	USA-NC	Hyde	35.4130042433829	-76.459920171413
A/wood_duck/North_Carolina/W24-011A/2023|H5N1|USA-NC|2023-12-21|avian|C2.1	USA-NC	Hyde	35.5393066851168	-76.3563468085086
A/redhead_duck/North_Carolina/W24-83A/2024|H5N1|USA-NC|2024-01-18|avian|C2.1	USA-NC	Dare	35.892677703561	-75.9369938682306
A/American_white_pelican/North_Carolina/W24-84/2024|H5N1|USA-NC|2024-01-23|avian|C2.1	USA-NC	Dare	35.635537029494	-75.7888707955034
A/Canada_goose/North_Carolina/W24-90A/2024|H5N1|USA-NC|2024-02-06|avian|C2.1	USA-NC	Buncombe	35.6954071428875	-82.4458551374004
A/Canada_goose/Virginia/24-004375-001-original/2024|H5N1|USA-VA|2024-02-06|avian|C2.1	USA-VA	Powhatan	37.5862733945637	-77.7066116797927
A/chicken/Maryland/23-036657-001/2023|H5N1|USA-MD|2023-11-19|avian|C2.1	USA-MD	Caroline	38.8783774877715	-75.7594844703987
A/chicken/Maryland/23-036719-001/2023|H5N1|USA-MD|2023-11-16|avian|C2.1	USA-MD	Caroline	39.0240142050227	-75.8661652305873
A/chicken/Pennsylvania/24-003804-001-original/2024|H5N1|USA-PA|2024-02-03|avian|C2.1	USA-PA	Wayne	41.5965604996132	-75.3065586893063
A/chicken/Pennsylvania/24-003804-003-original/2024|H5N1|USA-PA|2024-02-03|avian|C2.1	USA-PA	Wayne	41.5152512449094	-75.3723281045433
