trait,latitude,longitude,state,county
A/Red-Tailed_Hawk/Massachusetts/23NE01774/2024|H5N1|USA-MA|2024-03-07|avian|C2.1,41.701417,-70.303056,USA-MA,Barnstable
A/American_Crow/Massachusetts/23NE01779/2024|H5N1|USA-MA|2024-03-20|avian|C2.1,41.701417,-70.303056,USA-MA,Barnstable
A/Red-Tailed_Hawk/Massachusetts/23NE01782/2024|H5N1|USA-MA|2024-03-20|avian|C2.1,41.701417,-70.303056,USA-MA,Barnstable
A/Sanderling/Massachusetts/23NE01785/2024|H5N1|USA-MA|2024-03-20|avian|C2.1,41.701417,-70.303056,USA-MA,Barnstable
A/American_Crow/Massachusetts/23NE01794/2024|H5N1|USA-MA|2024-04-04|avian|C2.1,41.701417,-70.303056,USA-MA,Barnstable
A/Canada_Goose/Massachusetts/23WI00306/2024|H5N1|USA-MA|2024-01-13|avian|C2.1,41.701417,-70.303056,USA-MA,Barnstable
A/Red-Tailed_Hawk/Massachusetts/23WI00307/2024|H5N1|USA-MA|2024-01-13|avian|C2.1,41.701417,-70.303056,USA-MA,Barnstable
A/Great_Black-backed_Gull/Massachusetts/23WI00340/2024|H5N1|USA-MA|2024-02-18|avian|C2.1,41.701417,-70.303056,USA-MA,Barnstable
A/Herring_Gull/Massachusetts/23WI00341/2024|H5N1|USA-MA|2024-02-18|avian|C2.1,41.701417,-70.303056,USA-MA,Barnstable
A/Herring_Gull/Massachusetts/23WI00346/2024|H5N1|USA-MA|2024-02-22|avian|C2.1,41.701417,-70.303056,USA-MA,Barnstable
A/Sanderling/Massachusetts/23WI00347/2024|H5N1|USA-MA|2024-02-23|avian|C2.1,41.701417,-70.303056,USA-MA,Barnstable
A/Sanderling/Massachusetts/23WI00351/2024|H5N1|USA-MA|2024-02-24|avian|C2.1,41.701417,-70.303056,USA-MA,Barnstable
A/Great_Black-backed_Gull/Massachusetts/23WI00355/2024|H5N1|USA-MA|2024-02-27|avian|C2.1,41.701417,-70.303056,USA-MA,Barnstable
A/Great_Black-backed_Gull/Massachusetts/23WI00356/2024|H5N1|USA-MA|2024-02-27|avian|C2.1,41.701417,-70.303056,USA-MA,Barnstable
A/Great_Black-backed_Gull/Massachusetts/23WI00358/2024|H5N1|USA-MA|2024-02-28|avian|C2.1,41.701417,-70.303056,USA-MA,Barnstable
A/Herring_Gull/Massachusetts/23WI00359/2024|H5N1|USA-MA|2024-03-01|avian|C2.1,41.701417,-70.303056,USA-MA,Barnstable
A/American_Crow/Massachusetts/23WI00360/2024|H5N1|USA-MA|2024-03-01|avian|C2.1,41.701417,-70.303056,USA-MA,Barnstable
A/Sanderling/Massachusetts/23WI00364/2024|H5N1|USA-MA|2024-03-04|avian|C2.1,41.701417,-70.303056,USA-MA,Barnstable
A/Sanderling/Massachusetts/23WI00367/2024|H5N1|USA-MA|2024-03-11|avian|C2.1,41.701417,-70.303056,USA-MA,Barnstable
A/Sanderling/Massachusetts/23WI00369/2024|H5N1|USA-MA|2024-03-13|avian|C2.1,41.701417,-70.303056,USA-MA,Barnstable
A/Sanderling/Massachusetts/23WI00370/2024|H5N1|USA-MA|2024-03-14|avian|C2.1,41.701417,-70.303056,USA-MA,Barnstable
A/American_crow/Massachusetts/23WI00384/2024|H5N1|USA-MA|2024-03-31|avian|C2.1,41.701417,-70.303056,USA-MA,Barnstable
A/Great_Black-backed_Gull/Massachusetts/23WI00392/2024|H5N1|USA-MA|2024-04-04|avian|C2.1,41.701417,-70.303056,USA-MA,Barnstable
A/Corvus_ossifragus/MA/24-000869-001/2023|H5N1|USA-MA|2023-12-12|avian|C2.1,41.701417,-70.303056,USA-MA,Barnstable
A/Great_Black-backed_Gulll/MA/24-000869-002/2023|H5N1|USA-MA|2023-12-24|avian|C2.1,41.701417,-70.303056,USA-MA,Barnstable
A/chicken/Massachusetts/24-001134-001-original/2024|H5N1|USA-MA|2024-01-10|avian|C2.1,41.701417,-70.303056,USA-MA,Barnstable
A/sanderling/Massachusetts/24MM00280/2024|H5N1|USA-MA|2024-04-05|avian|C2.1,41.701417,-70.303056,USA-MA,Barnstable
A/sanderling/Massachusetts/24MM00281/2024|H5N1|USA-MA|2024-04-05|avian|C2.1,41.701417,-70.303056,USA-MA,Barnstable
A/sanderling/Massachusetts/24MM00282/2024|H5N1|USA-MA|2024-04-05|avian|C2.1,41.701417,-70.303056,USA-MA,Barnstable
A/sanderling/Massachusetts/24MM00283/2024|H5N1|USA-MA|2024-04-05|avian|C2.1,41.701417,-70.303056,USA-MA,Barnstable
A/sanderling/Massachusetts/24MM00286/2024|H5N1|USA-MA|2024-04-05|avian|C2.1,41.701417,-70.303056,USA-MA,Barnstable
A/sanderling/Massachusetts/24MM00287/2024|H5N1|USA-MA|2024-04-05|avian|C2.1,41.701417,-70.303056,USA-MA,Barnstable
A/American_crow/Massachusetts/24NE00007/2024|H5N1|USA-MA|2024-04-19|avian|C2.1,41.701417,-70.303056,USA-MA,Barnstable
A/American_Crow/Massachusetts/24NE00096/2024|H5N1|USA-MA|2024-04-11|avian|C2.1,41.701417,-70.303056,USA-MA,Barnstable
A/Red-Tailed_Hawk/Massachusetts/24WI00004/2024|H5N1|USA-MA|2024-04-15|avian|C2.1,41.701417,-70.303056,USA-MA,Barnstable
A/American_Crow/Massachusetts/24WI00016/2024|H5N1|USA-MA|2024-04-28|avian|C2.1,41.701417,-70.303056,USA-MA,Barnstable
A/sanderling/Massachusetts/24MM00284/2024|H5N1|USA-MA|2024-04-05|avian|C2.1,41.701417,-70.303056,USA-MA,Barnstable
A/sanderling/Massachusetts/24MM00285/2024|H5N1|USA-MA|2024-04-05|avian|C2.1,41.701417,-70.303056,USA-MA,Barnstable
A/bald_eagle/Massachusetts/24MM00234/2024|H5N1|USA-MA|2024-03-27|avian|C2.1,41.75,-71.09,USA-MA,Bristol
A/bald_eagle/Massachusetts/24MM00241/2024|H5N1|USA-MA|2024-03-27|avian|C2.1,41.75,-71.09,USA-MA,Bristol
A/partridge/New_York/23-039086-003-original/2023|H5N1|USA-NY|2023-12-11|avian|C2.1,41.76,-73.75,USA-NY,Dutchess
A/partridge/New_York/23-039086-005-original/2023|H5N1|USA-NY|2023-12-11|avian|C2.1,41.76,-73.75,USA-NY,Dutchess
A/surf_scoter/Rhode_Island/24HP00111/2024|H5N1|USA-RI|2024-03-08|avian|C2.1,41.87,-71.58,USA-RI,Providence
A/Common_Eider/Massachusetts/23NE01730/2024|H5N1|USA-MA|2024-03-07|avian|C2.1,41.99,-70.74,USA-MA,Plymouth
A/White-winged_Scoter/Massachusetts/23NE01739/2024|H5N1|USA-MA|2024-03-15|avian|C2.1,41.99,-70.74,USA-MA,Plymouth
A/common_raven/Massachusetts/24HP00517/2024|H5N1|USA-MA|2024-03-26|avian|C2.1,41.99,-70.74,USA-MA,Plymouth
A/Great_Black-backed_Gull/Massachusetts/24MM00212/2024|H5N1|USA-MA|2024-03-24|avian|C2.1,42.17,-71.19,USA-MA,Norfolk
A/Great_Black-backed_Gull/Massachusetts/24MM00219/2024|H5N1|USA-MA|2024-03-25|avian|C2.1,42.17,-71.19,USA-MA,Norfolk
A/herring_gull/Massachusetts/24MM00329/2024|H5N1|USA-MA|2024-04-13|avian|C2.1,42.17,-71.19,USA-MA,Norfolk
A/bald_eagle/Massachusetts/24HP00061/2024|H5N1|USA-MA|2024-02-23|avian|C2.1,42.271389,-71.798889,USA-MA,Worcester
A/bald_eagle/Massachusetts/24HP00062/2024|H5N1|USA-MA|2024-02-23|avian|C2.1,42.271389,-71.798889,USA-MA,Worcester
A/white-winged_scoter/Massachusetts/24HP00063/2024|H5N1|USA-MA|2024-02-23|avian|C2.1,42.271389,-71.798889,USA-MA,Worcester
A/bald_eagle/Massachusetts/24MM00088/2024|H5N1|USA-MA|2024-02-20|avian|C2.1,42.271389,-71.798889,USA-MA,Worcester
A/bald_eagle/Massachusetts/24MM00089/2024|H5N1|USA-MA|2024-02-20|avian|C2.1,42.271389,-71.798889,USA-MA,Worcester
A/Red-Tailed_Hawk/Massachusetts/23NE01728/2024|H5N1|USA-MA|2024-03-15|avian|C2.1,42.35892,-71.05781,USA-MA,Suffolk
A/lesser_scaup/Massachusetts/24MM00032/2024|H5N1|USA-MA|2024-02-03|avian|C2.1,42.35892,-71.05781,USA-MA,Suffolk
A/Canada_Goose/Massachusetts/24HP00050/2024|H5N1|USA-MA|2024-02-20|avian|C2.1,42.49,-71.39,USA-MA,Middlesex
A/Canada_Goose/Massachusetts/24MM00070/2024|H5N1|USA-MA|2024-02-16|avian|C2.1,42.49,-71.39,USA-MA,Middlesex
A/great_horned_owl/Massachusetts/24MM00193/2024|H5N1|USA-MA|2024-03-17|avian|C2.1,42.49,-71.39,USA-MA,Middlesex
A/bald_eagle/Massachusetts/24MM00224/2024|H5N1|USA-MA|2024-03-27|avian|C2.1,42.49,-71.39,USA-MA,Middlesex
A/bald_eagle/Massachusetts/24MM00225/2024|H5N1|USA-MA|2024-03-27|avian|C2.1,42.49,-71.39,USA-MA,Middlesex
A/bald_eagle/Massachusetts/24MM00236/2024|H5N1|USA-MA|2024-03-27|avian|C2.1,42.49,-71.39,USA-MA,Middlesex
A/Canada_Goose/Massachusetts/23SN01946/2024|H5N1|USA-MA|2024-02-05|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/Canada_Goose/Massachusetts/23SN01947/2024|H5N1|USA-MA|2024-02-05|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
A/Canada_Goose/Massachusetts/23SN01965/2024|H5N1|USA-MA|2024-02-06|avian|C2.1,42.631944,-70.783333,USA-MA,Essex
