trait,location,latitude,longitude,coordinate_type
A/duck/California/24-035915-006-R2/2024|H5N1|USA-CA|2024-11-28|avian|D1.1,USA-CA,36.7496,-119.591,centroid
A/duck/California/24-035913-001-R2/2024|H5N1|USA-CA|2024-11-29|avian|D1.1,USA-CA,36.7496,-119.591,centroid
A/duck/California/24-035913-007-R2/2024|H5N1|USA-CA|2024-11-29|avian|D1.1,USA-CA,36.7496,-119.591,centroid
A/duck/California/24-035913-008-R2/2024|H5N1|USA-CA|2024-11-29|avian|D1.1,USA-CA,36.7496,-119.591,centroid
A/duck/California/24-035913-009-R2/2024|H5N1|USA-CA|2024-11-29|avian|D1.1,USA-CA,36.7496,-119.591,centroid
A/Chicken/CA/24-038654-001/2024|H5N1|USA-CA|2024-12-03|avian|D1.1,USA-CA,36.7496,-119.591,centroid
A/Chicken/CA/24-038654-002/2024|H5N1|USA-CA|2024-12-03|avian|D1.1,USA-CA,36.7496,-119.591,centroid
A/Chicken/CA/24-038654-003/2024|H5N1|USA-CA|2024-12-03|avian|D1.1,USA-CA,36.7496,-119.591,centroid
A/Chicken/CA/24-038445-001/2024|H5N1|USA-CA|2024-12-19|avian|D1.1,USA-CA,36.7496,-119.591,centroid
A/Chicken/CA/24-038656-001/2024|H5N1|USA-CA|2024-12-26|avian|D1.1,USA-CA,36.7496,-119.591,centroid
A/Chicken/CA/24-038656-002/2024|H5N1|USA-CA|2024-12-26|avian|D1.1,USA-CA,36.7496,-119.591,centroid
A/Chicken/CA/24-038656-003/2024|H5N1|USA-CA|2024-12-26|avian|D1.1,USA-CA,36.7496,-119.591,centroid
A/Chicken/CA/24-038656-004/2024|H5N1|USA-CA|2024-12-26|avian|D1.1,USA-CA,36.7496,-119.591,centroid
A/Chicken/CA/24-038656-005/2024|H5N1|USA-CA|2024-12-26|avian|D1.1,USA-CA,36.7496,-119.591,centroid
A/Chicken/CA/24-038656-006/2024|H5N1|USA-CA|2024-12-26|avian|D1.1,USA-CA,36.7496,-119.591,centroid
A/Chicken/CA/24-038656-007/2024|H5N1|USA-CA|2024-12-26|avian|D1.1,USA-CA,36.7496,-119.591,centroid
A/Chicken/CA/24-038656-008/2024|H5N1|USA-CA|2024-12-26|avian|D1.1,USA-CA,36.7496,-119.591,centroid
A/Chicken/CA/24-038656-009/2024|H5N1|USA-CA|2024-12-26|avian|D1.1,USA-CA,36.7496,-119.591,centroid
A/Chicken/CA/24-038947-002/2024|H5N1|USA-CA|2024-12-26|avian|D1.1,USA-CA,36.7496,-119.591,centroid
A/Chicken/CA/24-038947-003/2024|H5N1|USA-CA|2024-12-26|avian|D1.1,USA-CA,36.7496,-119.591,centroid
A/Chicken/CA/24-038947-006/2024|H5N1|USA-CA|2024-12-26|avian|D1.1,USA-CA,36.7496,-119.591,centroid
A/Chicken/CA/24-038947-007/2024|H5N1|USA-CA|2024-12-26|avian|D1.1,USA-CA,36.7496,-119.591,centroid
A/Chicken/CA/24-038993-001/2024|H5N1|USA-CA|2024-12-28|avian|D1.1,USA-CA,36.7496,-119.591,centroid
A/Chicken/CA/24-038993-002/2024|H5N1|USA-CA|2024-12-29|avian|D1.1,USA-CA,36.7496,-119.591,centroid
A/Chicken/CA/24-038993-003/2024|H5N1|USA-CA|2024-12-30|avian|D1.1,USA-CA,36.7496,-119.591,centroid
A/pheasant/California/25-000138-001/2024|H5N1|USA-CA|2024-12-30|avian|D1.1,USA-CA,36.7496,-119.591,centroid
