state	flyway.rates.Atlantic.Central	flyway.rates.Atlantic.Mississippi	flyway.rates.Atlantic.Pacific	flyway.rates.Central.Mississippi	flyway.rates.Central.Pacific	flyway.rates.Mississippi.Pacific	flyway.rates.Central.Atlantic	flyway.rates.Mississippi.Atlantic	flyway.rates.Pacific.Atlantic	flyway.rates.Mississippi.Central	flyway.rates.Pacific.Central	flyway.rates.Pacific.Mississippi	flyway.indicators.Atlantic.Central	flyway.indicators.Atlantic.Mississippi	flyway.indicators.Atlantic.Pacific	flyway.indicators.Central.Mississippi	flyway.indicators.Central.Pacific	flyway.indicators.Mississippi.Pacific	flyway.indicators.Central.Atlantic	flyway.indicators.Mississippi.Atlantic	flyway.indicators.Pacific.Atlantic	flyway.indicators.Mississippi.Central	flyway.indicators.Pacific.Central	flyway.indicators.Pacific.Mississippi	flyway.nonZeroRates
24100000	1.7382484251500714	0.35319333819388543	2.264199062060505	2.353270972403941	0.3966380435785268	0.46038650313710305	0.8404774845844024	1.7294863031505767	0.14602479448104463	0.9249350518271979	3.3111072901047844	1.0323893145978442	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0
24200000	0.45971012893298385	0.2637673602144191	0.5409004191065957	2.1429636382954773	0.16957234472222238	0.24984010990959693	0.7918864749173474	1.591964379461382	0.22678720031538058	0.5442746303534681	2.5745250336323156	0.6865670985582132	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0
24300000	2.139223389809867	0.09882280697702514	3.3604550063028356	0.6315811202358815	0.1542724683443392	0.0129004657174359	0.17566657589489165	0.5630411446868392	0.20577345755942386	0.2977564520850338	1.0313773004795823	0.4027557235704836	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	8.0
24400000	0.09400811051525394	0.13691510419589106	0.2808715190914603	1.1397011130527206	0.10134672889994806	1.151841740539673	1.575010807659755	0.7404244225883396	0.4889984844843249	0.39312320454954947	1.9860643483160632	0.7289033676072099	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	9.0
24500000	0.6314490761951344	0.2492609765192789	0.9328651381586995	2.397335751286177	0.28678330290958953	0.02960791822697536	0.7867057902993231	1.6244013715057952	0.4327704349354305	1.0832564751002718	3.9337952609763045	1.1979696848906793	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0
24600000	0.4244968801250222	0.22343676852003802	1.5161807420992934	1.9026051494929288	0.27321252871959417	0.16277401998004729	0.642090784211909	0.9910419937080089	0.08750322883018978	0.3279707703964051	2.574198910414041	0.5358466031410617	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0
24700000	0.1526202395950831	0.24959550763361	1.3552205099939334	1.9274549210354268	0.2390877990051479	0.18252992654576583	0.7110204358416395	1.1496845663635957	0.22283083307514967	0.7663056550189412	3.600635476768268	0.9099423255028235	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0
24800000	0.4347777768615908	0.18128130865025657	0.44432519338218757	1.0964290466377238	0.09419046662053968	1.3684454786022862	0.42440570213061435	0.9604709350050483	0.2876435107318507	0.2026352585222314	2.5360029463113003	0.5636505095201221	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0
24900000	0.42352472578451855	0.1423806929834152	0.9428597727454396	1.1416028618677185	1.2102045023049797	3.206373157679055	0.2665069504013144	0.6394863762687614	2.3992954977254852	0.2687390887178403	0.05833499776927406	1.089202529022498	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	7.0
25000000	0.11997345069412146	0.20471676654777657	0.6677332665930313	2.199618665565127	2.5456144393980145	0.45333272402131425	1.1727788157013863	1.2114582705188397	3.154016551750385	0.4733199643672868	0.1834435483562114	0.23193159773664354	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	7.0
25100000	0.8441131754697057	0.1549352803034718	0.08747488426344513	1.668714939479532	1.6113220611777528	0.17232554359286065	0.7306372513280894	0.775831869487362	0.16427433074671816	0.5252393309296535	0.5550752208983311	2.012016660840709	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	7.0
25200000	0.24035063374998025	0.06370348427216381	2.2260482593872872	3.0961305695024652	3.895051523257826	0.5158458168969126	0.8069522104967282	1.625065998960986	0.3715598316377451	0.46021855920252863	0.15102175627033484	2.4097762350491387	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	7.0
25300000	1.701320505229839	0.06183878817450746	0.5400074578327825	0.6222594661764144	0.05972838289429726	1.1377928846371832	0.1599824195989638	0.5805218200789928	0.1944009819433844	0.21754212213878474	1.1010254534177308	0.3702211473758726	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0
25400000	2.057247938760843	0.11617747373030762	0.271435212185837	1.6787283727757243	0.42386881815591027	1.2060506755388019	0.6649064430383653	1.4166148584956255	0.23798156229304213	0.4325755956102005	3.26841483982165	0.7645817887375211	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0
25500000	0.4031816061160893	0.4562202582266881	0.4220047174689363	1.6514775739795058	0.46171224805934474	1.1997771742906078	0.5383941633031976	1.355700672534846	0.10507663368002848	0.62708151254851	2.3293769355986034	1.104097250575448	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0
25600000	0.3546050121845892	0.3634304754043587	0.7126845403446103	3.0841129501185884	0.2002286578634605	2.028646861215246	1.0849002805729047	1.5796297103316324	0.4727693860635662	0.8293734590450696	4.830116289874914	0.9639584075824069	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0
25700000	0.6878376034025375	0.18005651603132034	1.2648683566588879	2.3295075093123314	0.5714163900948398	0.3366841471902563	1.0108983950307318	1.000893224224528	1.1052707246081062	0.5118514828829411	2.9121595318041744	0.7615608544665431	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	8.0
