# BEAST v10.5.0-beta5 Prerelease #fb0d1ded5
# Generated Mon Mar 02 10:25:30 CET 2026 [seed=1772443524025]
# -overwrite D11_flyways_2.xml
state	totalChangeCount	completeHistory_1
0	184.0	{{1,0.13834914830431838,Central,Atlantic},{1,0.2378240797915691,Central,Mississippi},{1,0.08283036319876985,Central,Atlantic},{1,0.2040963369523398,Atlantic,Central},{1,0.34077184787802767,Central,Atlantic},{1,1.1859446707250725,Pacific,Central},{1,0.9052286162692551,Mississippi,Atlantic},{1,1.075467887875521,Mississippi,Atlantic},{1,0.8756380955886909,Atlantic,Mississippi},{1,1.0896264059486909,Mississippi,Pacific},{1,1.0390597641352959,Mississippi,Central},{1,1.1153787449892176,Atlantic,Mississippi},{1,1.0341116745527634,Atlantic,Mississippi},{1,0.8959541040109148,Pacific,Central},{1,1.0810613085534801,Mississippi,Atlantic},{1,0.8798343906792506,Mississippi,Atlantic},{1,0.9932633163995892,Mississippi,Atlantic},{1,1.0614208947714467,Central,Mississippi},{1,1.0813548673106121,Central,Pacific},{1,1.099609049865135,Pacific,Central},{1,0.9016686049161113,Central,Atlantic},{1,1.0996095942367585,Mississippi,Central},{1,1.0145264168515928,Mississippi,Central},{1,1.0578649929186335,Atlantic,Mississippi},{1,0.9925348898281388,Mississippi,Central},{1,1.022431759485541,Mississippi,Atlantic},{1,1.0874499138290155,Pacific,Central},{1,1.1442530837819762,Pacific,Central},{1,1.1986511744497668,Mississippi,Atlantic},{1,1.158318263691022,Pacific,Central},{1,1.088429176847128,Pacific,Mississippi},{1,1.088448250618876,Central,Mississippi},{1,0.5315519182018102,Central,Pacific},{1,0.9836299726068295,Atlantic,Central},{1,0.2182936066325659,Pacific,Central},{1,0.3449358174606042,Central,Mississippi},{1,0.28712392213770466,Pacific,Central},{1,0.3099890589491982,Central,Pacific},{1,0.0783365242671695,Central,Mississippi},{1,0.11866777580392378,Central,Pacific},{1,0.2159506765715044,Central,Atlantic},{1,0.17662872618451375,Central,Mississippi},{1,0.0734367205069707,Central,Mississippi},{1,0.08586723654392903,Central,Atlantic},{1,0.17418645897337293,Central,Mississippi},{1,0.07696521738489014,Central,Mississippi},{1,0.16191831735811488,Central,Atlantic},{1,0.08243031887058913,Pacific,Central},{1,0.31308624875576657,Mississippi,Central},{1,0.2199338872021865,Central,Pacific},{1,0.15583764439535797,Central,Mississippi},{1,0.2862456247760749,Pacific,Mississippi},{1,0.3462861250342016,Central,Pacific},{1,0.11476587502435545,Central,Mississippi},{1,0.05350834772489163,Atlantic,Mississippi},{1,0.17688669436478588,Pacific,Central},{1,0.08904797434660994,Central,Mississippi},{1,0.14503761760178416,Central,Atlantic},{1,0.2807903782027362,Central,Mississippi},{1,0.19440785321533532,Central,Atlantic},{1,1.1004045519061316,Pacific,Mississippi},{1,1.198381004512796,Mississippi,Atlantic},{1,1.033661992267834,Mississippi,Atlantic},{1,1.1794148744555935,Pacific,Central},{1,0.9695196677075941,Mississippi,Atlantic},{1,0.9459515321731717,Central,Mississippi},{1,0.975908209962514,Pacific,Central},{1,1.1185044885615423,Central,Atlantic},{1,1.1259275887103886,Pacific,Central},{1,0.9978417302749716,Pacific,Central},{1,1.0048285832337225,Central,Mississippi},{1,1.0903833212620941,Pacific,Atlantic},{1,1.0279122909336833,Mississippi,Central},{1,1.0414687397298878,Central,Pacific},{1,1.0997524849928397,Mississippi,Central},{1,1.0925533240297567,Pacific,Central},{1,0.8127226054887514,Atlantic,Mississippi},{1,1.1726525794600529,Pacific,Central},{1,1.1247246499716008,Central,Mississippi},{1,0.6276806793035885,Pacific,Central},{1,0.6239310820039555,Central,Mississippi},{1,0.8497788103282281,Central,Mississippi},{1,0.8222253329664841,Central,Mississippi},{1,0.9299548895450819,Central,Mississippi},{1,0.9977733383480158,Atlantic,Mississippi},{1,0.8303486520390274,Pacific,Central},{1,0.8839406572196238,Pacific,Central},{1,1.187356218768343,Pacific,Central},{1,1.039145875406896,Central,Mississippi},{1,1.0669502578884986,Pacific,Mississippi},{1,0.8999525089765389,Mississippi,Central},{1,0.8173360590680079,Pacific,Central},{1,0.983902807129638,Pacific,Atlantic},{1,1.0362335373232494,Central,Mississippi},{1,0.9926605624144671,Mississippi,Central},{1,0.8102908910448765,Mississippi,Central},{1,0.9210827121205807,Mississippi,Central},{1,1.1367962556408264,Pacific,Mississippi},{1,0.9819856200354836,Mississippi,Atlantic},{1,0.9116940050784469,Mississippi,Atlantic},{1,1.1847430631020976,Mississippi,Central},{1,0.8787787134634676,Mississippi,Atlantic},{1,0.8606790601113031,Central,Mississippi},{1,0.9241717814511548,Pacific,Central},{1,1.005323392808284,Pacific,Central},{1,0.9443500573699777,Pacific,Mississippi},{1,0.7312478784422134,Pacific,Central},{1,1.019924595693901,Pacific,Central},{1,0.31859452607315764,Mississippi,Central},{1,0.2796137233713961,Central,Mississippi},{1,0.31070463635945667,Central,Pacific},{1,0.46279617278316554,Mississippi,Atlantic},{1,0.34224858494712673,Central,Pacific},{1,0.3262647155522352,Central,Mississippi},{1,0.26356247132582333,Central,Pacific},{1,0.3420905251129247,Pacific,Mississippi},{1,0.3490005434070857,Central,Pacific},{1,0.20432379855652688,Atlantic,Central},{1,0.2726820079178822,Mississippi,Central},{1,0.3220803284324727,Central,Pacific},{1,0.26357573214958213,Central,Pacific},{1,0.31318971615471325,Central,Pacific},{1,0.2634515059190254,Central,Pacific},{1,0.26508964787079387,Pacific,Central},{1,0.3225854786628478,Central,Mississippi},{1,1.1901819192499323,Mississippi,Central},{1,1.0909907298767239,Mississippi,Atlantic},{1,0.5648999040276466,Mississippi,Atlantic},{1,0.8771448622757949,Atlantic,Central},{1,1.1851378304367395,Mississippi,Atlantic},{1,1.0345532521626353,Atlantic,Mississippi},{1,1.2027420039831471,Mississippi,Atlantic},{1,1.134512596660202,Mississippi,Atlantic},{1,1.2702350881207185,Pacific,Mississippi},{1,1.254375136318203,Pacific,Central},{1,1.1078974356485403,Pacific,Mississippi},{1,1.1972741007598888,Pacific,Mississippi},{1,1.2313973541026497,Pacific,Central},{1,1.174356672977806,Pacific,Mississippi},{1,0.41339897525261116,Central,Atlantic},{1,0.3738608752266609,Central,Pacific},{1,0.3758962836946428,Central,Pacific},{1,0.34551868448863154,Central,Atlantic},{1,0.41999192462201984,Central,Pacific},{1,0.41547298960652546,Central,Pacific},{1,0.498929743778547,Central,Mississippi},{1,0.3292910685736945,Pacific,Atlantic},{1,0.4972289659484897,Central,Pacific},{1,0.3355153009775322,Mississippi,Atlantic},{1,0.382083194463994,Central,Mississippi},{1,0.38225159635016326,Central,Mississippi},{1,0.4086318346857595,Mississippi,Atlantic},{1,0.4002449425903023,Mississippi,Central},{1,0.4875670794411315,Central,Mississippi},{1,1.1669248627565207,Pacific,Central},{1,1.2053741178629616,Pacific,Mississippi},{1,1.1759333179872666,Pacific,Central},{1,1.1098203461703382,Pacific,Atlantic},{1,1.2117025130683314,Pacific,Atlantic},{1,1.2094436076930584,Pacific,Central},{1,1.2035488246014865,Pacific,Mississippi},{1,1.0880121864558943,Mississippi,Atlantic},{1,0.590042757779005,Mississippi,Central},{1,1.0921276681146774,Mississippi,Central},{1,1.2335422504400213,Pacific,Mississippi},{1,1.219116441402393,Pacific,Central},{1,1.2479491952275592,Pacific,Central},{1,1.2059766579446531,Pacific,Mississippi},{1,1.1740726024329828,Central,Mississippi},{1,0.997578003485676,Central,Mississippi},{1,1.1824689242506834,Central,Mississippi},{1,0.8194389691907167,Central,Atlantic},{1,1.221295556953141,Pacific,Central},{1,0.6694686992375112,Central,Mississippi},{1,1.2159385778361393,Pacific,Central},{1,1.052854589810883,Pacific,Central},{1,1.192737258851165,Pacific,Mississippi},{1,1.0762718030691523,Central,Mississippi},{1,1.2032184910075185,Central,Mississippi},{1,0.7494107999642605,Atlantic,Mississippi},{1,1.1172917390683412,Central,Atlantic},{1,1.1685790651281553,Central,Pacific},{1,1.2243121834829287,Central,Atlantic},{1,1.3159718610153208,Pacific,Central}} 184
100000	219.0	{{1,0.3759922988799322,Pacific,Atlantic},{1,0.0698302461100696,Central,Mississippi},{1,0.32859615080798743,Mississippi,Atlantic},{1,0.17870041150835136,Pacific,Central},{1,0.04844799488538171,Mississippi,Atlantic},{1,1.1546084283076499,Mississippi,Central},{1,1.009045120805713,Mississippi,Atlantic},{1,1.045983675279906,Pacific,Central},{1,1.1012838172383543,Central,Mississippi},{1,1.0932964914215781,Mississippi,Atlantic},{1,1.009033225017968,Atlantic,Mississippi},{1,1.188876434409108,Central,Pacific},{1,1.1273173341695413,Atlantic,Mississippi},{1,0.9508970150152868,Pacific,Central},{1,0.8687324569383492,Central,Atlantic},{1,0.9718064749621205,Mississippi,Atlantic},{1,0.8688517288347819,Mississippi,Atlantic},{1,0.7786236712154724,Mississippi,Atlantic},{1,0.860110688507785,Mississippi,Atlantic},{1,1.040271207989413,Mississippi,Atlantic},{1,1.05042816889364,Central,Mississippi},{1,0.8925966656608713,Mississippi,Atlantic},{1,0.9305465457243132,Central,Atlantic},{1,1.1409899471751028,Pacific,Central},{1,1.0599213757067125,Mississippi,Central},{1,1.0476117105253324,Central,Mississippi},{1,1.1246966936951994,Pacific,Mississippi},{1,1.1717936333821515,Mississippi,Atlantic},{1,1.098818942269538,Pacific,Central},{1,1.1021005646594053,Central,Mississippi},{1,1.195393612017715,Mississippi,Atlantic},{1,1.098281646915013,Pacific,Central},{1,1.0092429410643518,Central,Mississippi},{1,1.2003691792440858,Central,Mississippi},{1,1.1402088342830528,Pacific,Mississippi},{1,1.0524991684799596,Central,Mississippi},{1,1.1643258860602685,Central,Mississippi},{1,0.5309854901956568,Central,Pacific},{1,0.9154805547079368,Mississippi,Central},{1,0.2620236310064287,Central,Atlantic},{1,0.29137068453131837,Pacific,Central},{1,0.17701061406972382,Mississippi,Atlantic},{1,0.19490014053810312,Central,Mississippi},{1,0.23662457289328243,Pacific,Central},{1,0.19440104475215164,Pacific,Central},{1,0.2022339957250029,Pacific,Central},{1,0.07732605732292076,Pacific,Central},{1,0.24738337407600994,Central,Mississippi},{1,0.3084387949458943,Central,Mississippi},{1,0.2258258949863982,Mississippi,Atlantic},{1,0.2671330072430387,Central,Atlantic},{1,0.08245033347628875,Central,Mississippi},{1,0.287769821481378,Pacific,Central},{1,0.1294880086893862,Pacific,Central},{1,0.10059180317404201,Central,Mississippi},{1,0.09045464859191343,Pacific,Atlantic},{1,0.31156792670123845,Pacific,Central},{1,0.11556647532179942,Pacific,Central},{1,0.15896766383338595,Central,Atlantic},{1,0.13689220617801345,Pacific,Central},{1,0.11089327032236923,Pacific,Mississippi},{1,0.2846191932212629,Pacific,Mississippi},{1,0.19464070018997098,Central,Atlantic},{1,0.41070975503534646,Pacific,Mississippi},{1,0.1357048252921667,Atlantic,Mississippi},{1,0.01695932439331671,Pacific,Central},{1,0.06465302398433576,Central,Pacific},{1,0.029304362942318807,Pacific,Central},{1,0.12076702423117752,Pacific,Central},{1,0.19495383695650087,Central,Mississippi},{1,0.2755237983801037,Central,Atlantic},{1,0.14633596958774706,Central,Mississippi},{1,0.16883168461519665,Pacific,Central},{1,0.10469086961616524,Central,Atlantic},{1,1.1003730095073534,Pacific,Central},{1,0.9961474913001419,Central,Mississippi},{1,1.0006547011712592,Central,Mississippi},{1,1.1236316144315246,Mississippi,Atlantic},{1,1.0806516701851467,Mississippi,Atlantic},{1,1.0579673479479752,Pacific,Central},{1,1.0129323105673091,Mississippi,Atlantic},{1,1.0447257974052468,Mississippi,Atlantic},{1,0.9719066815322105,Mississippi,Atlantic},{1,0.9893748957436067,Central,Mississippi},{1,1.154054530835483,Pacific,Central},{1,1.0325281834287017,Central,Atlantic},{1,0.9469807445361041,Mississippi,Atlantic},{1,1.0286010027101318,Pacific,Mississippi},{1,1.0943584856453072,Pacific,Central},{1,1.0263128842244083,Pacific,Central},{1,1.0097507926102092,Central,Mississippi},{1,0.9697095093270265,Central,Pacific},{1,1.066053364092883,Pacific,Atlantic},{1,1.017809689305334,Mississippi,Atlantic},{1,1.1923609590027915,Central,Mississippi},{1,0.9826017267421588,Central,Pacific},{1,1.1982311881766194,Central,Pacific},{1,1.1972891287871112,Pacific,Central},{1,1.01416744876246,Atlantic,Mississippi},{1,1.1152280602450957,Pacific,Central},{1,1.0508704498682895,Pacific,Central},{1,1.160240846084067,Pacific,Central},{1,1.1582126875009309,Pacific,Mississippi},{1,0.6897786005888584,Pacific,Central},{1,0.6194709212977575,Central,Mississippi},{1,0.994000562898372,Central,Mississippi},{1,0.7658546051479056,Central,Mississippi},{1,0.7813650901866888,Central,Mississippi},{1,0.8908038470461374,Atlantic,Mississippi},{1,0.2656049066827099,Pacific,Central},{1,0.8961910509626136,Pacific,Central},{1,1.0225908593857576,Pacific,Central},{1,0.9844911183291117,Central,Mississippi},{1,0.9829699469504949,Mississippi,Atlantic},{1,0.9376673393996677,Mississippi,Atlantic},{1,1.1394117465967823,Pacific,Mississippi},{1,0.9637202131518132,Pacific,Mississippi},{1,0.8955739671289665,Pacific,Central},{1,0.9780601011443264,Pacific,Atlantic},{1,1.1303881988329807,Central,Mississippi},{1,0.8806849644143941,Mississippi,Central},{1,0.9371455254780772,Central,Mississippi},{1,0.7632556636050357,Mississippi,Central},{1,0.988576444482506,Pacific,Mississippi},{1,0.8024247473060615,Mississippi,Atlantic},{1,0.9932134746355424,Mississippi,Atlantic},{1,0.9642016677725092,Mississippi,Atlantic},{1,0.8347043418095492,Mississippi,Atlantic},{1,0.7844275224513663,Central,Mississippi},{1,1.1559377625610234,Pacific,Central},{1,1.1557646063461466,Central,Mississippi},{1,0.8404865465059937,Central,Mississippi},{1,0.8115321512840807,Central,Mississippi},{1,0.9670310652811981,Central,Mississippi},{1,0.9484617867108671,Mississippi,Atlantic},{1,0.6878075746045369,Pacific,Central},{1,0.9607577161870569,Pacific,Central},{1,0.28548540383285576,Mississippi,Central},{1,0.2997795044679248,Central,Mississippi},{1,0.5018052036101662,Mississippi,Atlantic},{1,0.30390869568250173,Central,Mississippi},{1,0.18418036997834863,Pacific,Central},{1,0.10290243338094746,Mississippi,Central},{1,0.11794383329074953,Pacific,Mississippi},{1,0.15611607832085617,Central,Atlantic},{1,0.36100882359142766,Central,Mississippi},{1,0.23262430789115665,Mississippi,Atlantic},{1,0.176108366449628,Pacific,Mississippi},{1,0.25983411342389207,Mississippi,Atlantic},{1,0.3889690257148483,Central,Mississippi},{1,0.24566050743794873,Mississippi,Central},{1,0.3126957042276507,Central,Pacific},{1,0.2502746339132279,Pacific,Central},{1,0.2981029105725653,Pacific,Central},{1,0.4611991937514136,Central,Mississippi},{1,0.33577949759275305,Central,Atlantic},{1,0.2669957035816759,Pacific,Central},{1,0.22244938820908616,Central,Mississippi},{1,0.2866191023615301,Pacific,Central},{1,0.13304328009166164,Central,Mississippi},{1,1.1742411849500425,Pacific,Mississippi},{1,1.0830106925987448,Central,Pacific},{1,1.170536416200921,Pacific,Central},{1,1.176996304464056,Pacific,Mississippi},{1,0.4427333592568588,Central,Mississippi},{1,0.3886549480979584,Central,Mississippi},{1,0.34992642859023904,Central,Mississippi},{1,0.3295666341902156,Central,Mississippi},{1,0.298768177892025,Pacific,Central},{1,0.4541977826532846,Pacific,Atlantic},{1,0.30917353608591625,Pacific,Atlantic},{1,0.4507176446900376,Pacific,Central},{1,0.4518277074956763,Pacific,Mississippi},{1,0.2840218515861064,Pacific,Central},{1,0.3625383832825165,Pacific,Central},{1,0.47669235513656794,Pacific,Central},{1,0.46923916089828394,Central,Mississippi},{1,0.9184647674615669,Central,Pacific},{1,1.1640294733789585,Pacific,Central},{1,1.184348017473651,Pacific,Central},{1,1.2435827354231814,Central,Pacific},{1,0.585969307503819,Central,Pacific},{1,0.3443919580887401,Pacific,Central},{1,1.1513617511540406,Central,Mississippi},{1,1.0909132406895288,Central,Mississippi},{1,1.0748724121246853,Central,Atlantic},{1,1.2152354084255195,Central,Atlantic},{1,1.2591416282873187,Pacific,Central},{1,1.0745872348171683,Central,Mississippi},{1,1.2048918448243042,Central,Mississippi},{1,0.9522517556726258,Central,Atlantic},{1,1.2660249454345887,Pacific,Central},{1,1.268463952741286,Pacific,Mississippi},{1,1.2759142117609543,Pacific,Central},{1,1.2631767859450946,Pacific,Central},{1,1.1763348121474193,Central,Mississippi},{1,1.2070734302443056,Central,Atlantic},{1,1.1404754722894315,Central,Pacific},{1,1.1678304029876463,Central,Mississippi},{1,0.7658543686614749,Atlantic,Mississippi},{1,1.1712397043698397,Central,Atlantic},{1,1.267430671975534,Pacific,Central},{1,0.9031695324282651,Mississippi,Central},{1,1.105101547546166,Mississippi,Central},{1,0.5198527180202727,Mississippi,Atlantic},{1,0.9044940124850467,Mississippi,Atlantic},{1,0.713480223330616,Atlantic,Mississippi},{1,1.2269765190182838,Pacific,Mississippi},{1,1.1965656187821883,Mississippi,Atlantic},{1,1.2280286763199635,Central,Mississippi},{1,1.2459579036280009,Pacific,Central},{1,1.1090474405797899,Pacific,Central},{1,1.2242116478124658,Pacific,Central},{1,1.2654399626281527,Pacific,Central},{1,1.1212134461467453,Pacific,Mississippi},{1,1.1554375888054096,Pacific,Central},{1,1.0591325920001102,Pacific,Central},{1,1.0509612360878757,Central,Mississippi},{1,1.2322649641784589,Pacific,Central}} 219
200000	223.0	{{1,0.33278126315320966,Pacific,Central},{1,0.3098072555635079,Central,Mississippi},{1,0.06432571026113684,Mississippi,Atlantic},{1,0.2606497991723443,Central,Mississippi},{1,0.16762773209415902,Mississippi,Atlantic},{1,0.3736936667490822,Pacific,Central},{1,0.11392493468463988,Mississippi,Atlantic},{1,0.9870230234060572,Mississippi,Atlantic},{1,1.1151125650659108,Pacific,Central},{1,0.8674075096036904,Mississippi,Atlantic},{1,1.0382095512833078,Atlantic,Mississippi},{1,0.8534574905157946,Pacific,Central},{1,0.9692501309335093,Pacific,Central},{1,1.1087166606738856,Central,Mississippi},{1,1.0793817892577042,Mississippi,Atlantic},{1,0.7601522855330083,Mississippi,Atlantic},{1,1.003380529734282,Mississippi,Atlantic},{1,0.9788110080852584,Mississippi,Atlantic},{1,0.7640545402884805,Central,Mississippi},{1,1.0968259540688634,Mississippi,Atlantic},{1,1.0235726864638945,Pacific,Central},{1,1.013577950970692,Central,Atlantic},{1,1.0671712306280816,Mississippi,Central},{1,1.0533438099944077,Central,Mississippi},{1,1.1224200165036247,Mississippi,Central},{1,1.112373828276458,Mississippi,Central},{1,1.082174547601256,Central,Mississippi},{1,1.1500640538016056,Atlantic,Mississippi},{1,1.1055646348185695,Mississippi,Central},{1,1.1047233338850568,Mississippi,Atlantic},{1,1.0703124901871,Pacific,Central},{1,1.0560335464968624,Pacific,Central},{1,1.1027992494187449,Mississippi,Atlantic},{1,1.093573151869818,Pacific,Central},{1,1.1407075440994656,Central,Mississippi},{1,1.1116433267164014,Pacific,Central},{1,1.0448901111139515,Central,Mississippi},{1,1.0833593530358006,Pacific,Mississippi},{1,0.6375558217795004,Central,Pacific},{1,0.6079152955476977,Mississippi,Central},{1,0.3298801683765419,Pacific,Central},{1,0.2618840081875285,Central,Atlantic},{1,0.14141387281799003,Pacific,Central},{1,0.21646726011127176,Pacific,Mississippi},{1,0.194177808427069,Mississippi,Central},{1,0.2961481948101193,Central,Pacific},{1,0.2462361059745074,Central,Mississippi},{1,0.12722744343584969,Central,Pacific},{1,0.26230946182719256,Central,Mississippi},{1,0.19963537617991742,Central,Atlantic},{1,0.236790523549828,Central,Atlantic},{1,0.14535329188517004,Central,Mississippi},{1,0.09947851695398133,Central,Mississippi},{1,0.2259687152062324,Pacific,Central},{1,0.12067253310449758,Pacific,Central},{1,0.07528329347311688,Central,Mississippi},{1,0.3256450866373415,Central,Mississippi},{1,0.12598110155520642,Mississippi,Atlantic},{1,0.19253574925825248,Pacific,Central},{1,0.09496613378273848,Pacific,Central},{1,0.08544337186240668,Mississippi,Central},{1,0.24779113230061622,Pacific,Central},{1,0.015505088862435401,Pacific,Mississippi},{1,0.38933563507111263,Pacific,Central},{1,0.3033639769695678,Central,Mississippi},{1,0.2165023057404345,Central,Atlantic},{1,0.17251025814097243,Pacific,Central},{1,0.13448258641466948,Central,Mississippi},{1,0.09438771125365258,Atlantic,Mississippi},{1,0.02995506419031549,Pacific,Central},{1,0.07744854321610756,Central,Mississippi},{1,0.09632459879838748,Central,Atlantic},{1,0.1330651059161349,Central,Mississippi},{1,0.26669799873655153,Pacific,Atlantic},{1,1.0542588660930712,Pacific,Mississippi},{1,1.0576238808120426,Central,Mississippi},{1,1.1949044191933604,Pacific,Central},{1,1.1359144107049777,Mississippi,Atlantic},{1,1.0448453466902634,Mississippi,Atlantic},{1,1.054036528216864,Pacific,Central},{1,1.012484426783168,Mississippi,Atlantic},{1,1.198859087773753,Pacific,Central},{1,1.1197618593600271,Pacific,Central},{1,0.9320630815136097,Central,Mississippi},{1,1.0339514445921807,Pacific,Central},{1,1.0941793780203406,Pacific,Central},{1,1.0010227258170825,Pacific,Central},{1,1.0185792661134143,Central,Mississippi},{1,1.070947463361282,Pacific,Atlantic},{1,1.0166017091546433,Pacific,Mississippi},{1,1.1481102622155988,Pacific,Central},{1,1.2324909179848391,Pacific,Central},{1,1.1385600655577242,Pacific,Central},{1,1.1692645547835452,Pacific,Central},{1,0.9926385830072266,Pacific,Central},{1,1.191270132866365,Pacific,Central},{1,1.1343184891183933,Pacific,Central},{1,1.021697168610226,Pacific,Mississippi},{1,0.6650978432926752,Pacific,Central},{1,0.9810074306851229,Central,Mississippi},{1,0.6150396346912349,Central,Mississippi},{1,0.6971459326901112,Central,Mississippi},{1,0.995723471495698,Atlantic,Mississippi},{1,1.0957180755255258,Pacific,Central},{1,0.980112966190068,Central,Mississippi},{1,0.9783448861157844,Mississippi,Atlantic},{1,1.1437052576408095,Pacific,Mississippi},{1,1.0598581122231618,Pacific,Mississippi},{1,1.0418651203992781,Pacific,Central},{1,1.120075887550511,Pacific,Mississippi},{1,1.070211477074171,Mississippi,Atlantic},{1,1.1791109888764681,Central,Mississippi},{1,0.9758780743483699,Mississippi,Central},{1,1.0236745251201502,Mississippi,Central},{1,0.7723829938474789,Pacific,Mississippi},{1,0.7836712581277743,Pacific,Central},{1,0.8014578840401666,Mississippi,Central},{1,1.1690748156678163,Pacific,Mississippi},{1,0.9875349844883434,Mississippi,Atlantic},{1,1.023630298676595,Mississippi,Atlantic},{1,0.9455014829790785,Pacific,Central},{1,0.9639860963130739,Mississippi,Atlantic},{1,0.967694557755491,Pacific,Central},{1,0.7211009156785603,Mississippi,Atlantic},{1,0.7722408621670748,Central,Mississippi},{1,0.8256417300078862,Pacific,Central},{1,0.8995028427554407,Central,Mississippi},{1,1.0066823071171143,Mississippi,Central},{1,0.7808931862682464,Central,Mississippi},{1,0.9573042286407061,Central,Mississippi},{1,1.0075763517692666,Pacific,Mississippi},{1,0.5583266212281379,Mississippi,Central},{1,0.686831990494333,Pacific,Central},{1,0.3164391788920703,Mississippi,Central},{1,0.19375314885803901,Mississippi,Central},{1,0.2687608143061388,Pacific,Mississippi},{1,0.19400742493996878,Central,Pacific},{1,0.2743632491538415,Central,Mississippi},{1,0.15847405936169767,Mississippi,Atlantic},{1,0.27595827646728366,Mississippi,Atlantic},{1,0.29729888517895897,Central,Mississippi},{1,0.26492331410746806,Mississippi,Atlantic},{1,0.2965547209574991,Mississippi,Central},{1,0.27796128344058035,Mississippi,Central},{1,0.2638234002970654,Central,Mississippi},{1,0.23237711682779147,Mississippi,Central},{1,0.26645392162725673,Central,Pacific},{1,0.28926204355284524,Central,Pacific},{1,0.20349999831973242,Pacific,Central},{1,0.29612614915225194,Mississippi,Atlantic},{1,0.1348054918975703,Central,Mississippi},{1,0.1593591635996951,Central,Mississippi},{1,0.5552314431688382,Mississippi,Atlantic},{1,1.0357002118568894,Atlantic,Mississippi},{1,1.094081195158766,Mississippi,Atlantic},{1,0.6835396347489198,Atlantic,Mississippi},{1,0.6197490945152957,Mississippi,Central},{1,1.17852342103192,Mississippi,Atlantic},{1,1.1399733193301542,Mississippi,Central},{1,1.2025864109080098,Mississippi,Atlantic},{1,1.3147141163480016,Pacific,Mississippi},{1,0.7129142882279189,Atlantic,Mississippi},{1,1.110947184778557,Central,Atlantic},{1,1.0862386683357064,Central,Pacific},{1,1.197561606018645,Central,Mississippi},{1,1.2022487192141282,Central,Mississippi},{1,1.124132880579368,Mississippi,Atlantic},{1,1.0276838557606096,Mississippi,Atlantic},{1,1.1301802272733668,Atlantic,Mississippi},{1,1.212091518302765,Central,Atlantic},{1,1.286765267939311,Pacific,Central},{1,1.1505943291354137,Pacific,Central},{1,1.0036920737817514,Central,Mississippi},{1,1.2431411271846717,Pacific,Central},{1,1.1176853446346686,Pacific,Central},{1,1.1052372302915188,Central,Mississippi},{1,1.216772813025734,Pacific,Mississippi},{1,1.205268066878176,Pacific,Central},{1,1.2463899255975017,Pacific,Mississippi},{1,1.1798689472762536,Central,Mississippi},{1,1.186994053578003,Central,Mississippi},{1,0.8165195511860357,Mississippi,Atlantic},{1,1.1743314111038923,Central,Mississippi},{1,1.0937384419647789,Central,Mississippi},{1,1.309486266897807,Pacific,Central},{1,1.248728062746631,Pacific,Central},{1,1.1991959738756677,Central,Mississippi},{1,1.1337163657728622,Central,Mississippi},{1,1.101699923214005,Central,Mississippi},{1,1.0048992582126168,Mississippi,Atlantic},{1,1.044103730566826,Central,Mississippi},{1,1.1920693586549,Pacific,Central},{1,1.2047241881272719,Pacific,Central},{1,0.6538438744314827,Pacific,Central},{1,1.1508133167949786,Pacific,Central},{1,1.1746548043014908,Pacific,Central},{1,0.426735144632473,Pacific,Central},{1,0.29821939572720446,Pacific,Central},{1,0.23894329934851635,Central,Atlantic},{1,0.40845927650519365,Pacific,Central},{1,0.3315116747279902,Central,Atlantic},{1,0.36195671486259934,Pacific,Central},{1,0.38807899839994137,Central,Atlantic},{1,0.3636408541334483,Central,Mississippi},{1,0.41994006626494945,Pacific,Central},{1,0.3452977379318919,Pacific,Central},{1,0.22323723004648988,Pacific,Central},{1,0.3269184105579715,Pacific,Central},{1,0.485627355441565,Pacific,Mississippi},{1,0.6446192294331772,Central,Pacific},{1,0.41807778832424497,Central,Mississippi},{1,0.3996639153576104,Central,Mississippi},{1,0.36570992759971854,Central,Mississippi},{1,0.32796205019950847,Mississippi,Central},{1,0.3349388702704297,Central,Mississippi},{1,0.22476427609482366,Central,Mississippi},{1,0.6605896013647534,Mississippi,Central},{1,0.7688613963513995,Central,Mississippi},{1,1.182908378150559,Pacific,Central},{1,1.207462146653661,Pacific,Atlantic},{1,1.2028923780830292,Pacific,Mississippi},{1,1.11013111711239,Central,Atlantic},{1,1.2218101217972215,Pacific,Central}} 223
