trait,country,admin1,admin2,collection_date
SRR36582196|A/Wood_duck/AL/25G05286-007/2025|H5N1|USA-AL|Barbour|2025-11-29|wild_avian|D1.1,USA,AL,Barbour,2025-11-29
SRR31885765|A/Guineafowl/AL/24-037980-001-original/2024|H5N1|USA-AL|Unknown|2024-12-13|domestic_avian|D1.1,USA,AL,Unknown,2024-12-13
SRR33029853|A/Black_Vulture/AL/25-010338-002-original/2025|H5N1|USA-AL|Unknown|2025-03-19|wild_avian|D1.1,USA,AL,Unknown,2025-03-19
SRR33125038|A/Canada_Goose/AL/25-006220-001-original/2025|H5N1|USA-AL|Unknown|2025-02-12|wild_avian|D1.1,USA,AL,Unknown,2025-02-12
SRR36203333|A/Canada_Goose/AL/25G03828-001-original/2025|H5N1|USA-AL|Unknown|2025-10-27|wild_avian|D1.1,USA,AL,Unknown,2025-10-27
SRR36212524|A/Domestic_Goose/AL/25G03044-002-original/2025|H5N1|USA-AL|Unknown|2025-10-27|domestic_avian|D1.1,USA,AL,Unknown,2025-10-27
SRR34491394|A/snow_goose/AR/24-035819-001/2024|H5N1|USA-AR|Prairie|2024-12-01|wild_avian|D1.1,USA,AR,Prairie,2024-12-01
SRR34491402|A/mallard/AR/24-036997-003/2024|H5N1|USA-AR|Prairie|2024-11-27|wild_avian|D1.1,USA,AR,Prairie,2024-11-27
SRR36538271|A/black_vulture/AR/25G04946-001/2025|H5N1|USA-AR|Washington|2025-11-20|wild_avian|D1.1,USA,AR,Washington,2025-11-20
SRR36617233|A/mallard_duck/AR/24-037952-006/2024|H5N1|USA-AR|Prairie|2024-12-11|wild_avian|D1.1,USA,AR,Prairie,2024-12-11
SRR32416354|A/American_Woodcock/AR/25-003125-001-original/2025|H5N1|USA-AR|Unknown|2025-01-13|wild_avian|D1.1,USA,AR,Unknown,2025-01-13
SRR36211667|A/Black_Vulture/AR/25G03056-001-original/2025|H5N1|USA-AR|Unknown|2025-10-21|wild_avian|D1.1,USA,AR,Unknown,2025-10-21
SRR36212242|A/Canada_Goose/AR/25G01638-001-original/2025|H5N1|USA-AR|Unknown|2025-10-04|wild_avian|D1.1,USA,AR,Unknown,2025-10-04
SRR32512601|A/american_wigeon/AZ/25-004049-003/2025|H5N1|USA-AZ|Mohave|2025-01-08|wild_avian|D1.1,USA,AZ,Mohave,2025-01-08
SRR33508711|A/barn_owl/AZ/25-000514-002/2025|H5N1|USA-AZ|Maricopa|2025-01-08|wild_avian|D1.1,USA,AZ,Maricopa,2025-01-08
SRR36617418|A/harris_hawk/AZ/24-038176-001/2024|H5N1|USA-AZ|Maricopa|2024-12-04|wild_avian|D1.1,USA,AZ,Maricopa,2024-12-04
SRR36617849|A/house_sparrow/AZ/24-036612-005/2024|H5N1|USA-AZ|Pinal|2024-11-22|wild_avian|D1.1,USA,AZ,Pinal,2024-11-22
SRR36617855|A/black_necked_stilt/AZ/24-036610-002/2024|H5N1|USA-AZ|Pinal|2024-11-25|wild_avian|D1.1,USA,AZ,Pinal,2024-11-25
SRR36628748|A/mallard_duck/AZ/25-000743-025/2024|H5N1|USA-AZ|La_Paz|2024-12-19|wild_avian|D1.1,USA,AZ,La_Paz,2024-12-19
SRR32415932|A/cattle/AZ/25-004003-002-original/2025|H5N1|USA-AZ|Unknown|2025-02-03|cattle|D1.1,USA,AZ,Unknown,2025-02-03
SRR32415933|A/cattle/AZ/25-004003-001-original/2025|H5N1|USA-AZ|Unknown|2025-02-03|cattle|D1.1,USA,AZ,Unknown,2025-02-03
SRR33319085|A/cattle/AZ/25-010942-001-original/2025|H5N1|USA-AZ|Unknown|2025-03-25|cattle|D1.1,USA,AZ,Unknown,2025-03-25
SRR33764593|A/cattle/AZ/25-013772-001-original-repeat2/2025|H5N1|USA-AZ|Unknown|2025-04-23|cattle|D1.1,USA,AZ,Unknown,2025-04-23
SRR33830342|A/chicken/AZ/25-016339-007-original/2025|H5N1|USA-AZ|Unknown|2025-05-22|domestic_avian|D1.1,USA,AZ,Unknown,2025-05-22
SRR34270136|A/chicken/AZ/25-017630-002-original/2025|H5N1|USA-AZ|Unknown|2025-06-05|domestic_avian|D1.1,USA,AZ,Unknown,2025-06-05
SRR35150577|A/cattle/AZ/25-021143-001-original-repeat2/2025|H5N1|USA-AZ|Unknown|2025-07-22|cattle|D1.1,USA,AZ,Unknown,2025-07-22
SRR36212241|A/Canada_Goose/AZ/25G01642-001-original/2025|H5N1|USA-AZ|Unknown|2025-09-30|wild_avian|D1.1,USA,AZ,Unknown,2025-09-30
SRR33029846|A/barn_owl/CA/25-010283-002/2025|H5N1|USA-CA|San_Mateo|2025-03-06|wild_avian|D1.1,USA,CA,San_Mateo,2025-03-06
SRR33125090|A/western_gull/CA/25-004499-005/2025|H5N1|USA-CA|San_Mateo|2025-01-24|wild_avian|D1.1,USA,CA,San_Mateo,2025-01-24
SRR33476783|A/Sanderling/CA/25-012990-001/2025|H5N1|USA-CA|Alameda|2025-02-27|wild_avian|D1.1,USA,CA,Alameda,2025-02-27
SRR33476791|A/Peregrine_falcon/CA/25-012990-002/2025|H5N1|USA-CA|Solano|2025-02-27|wild_avian|D1.1,USA,CA,Solano,2025-02-27
SRR33508816|A/canada_goose/CA/25-003254-006/2025|H5N1|USA-CA|San_Luis_Obispo|2025-01-30|wild_avian|D1.1,USA,CA,San_Luis_Obispo,2025-01-30
SRR33682329|A/great_blue_heron/CA/25-014655-001/2025|H5N1|USA-CA|Alameda|2025-03-12|wild_avian|D1.1,USA,CA,Alameda,2025-03-12
SRR34491403|A/western_gull/CA/24-036324-002/2024|H5N1|USA-CA|Santa_Barbara|2024-11-27|wild_avian|D1.1,USA,CA,Santa_Barbara,2024-11-27
SRR34491407|A/american_white_pelican/CA/24-031867-001/2024|H5N1|USA-CA|San_Diego|2024-10-19|wild_avian|D1.1,USA,CA,San_Diego,2024-10-19
SRR34491569|A/gadwall/CA/24-035297-036/2024|H5N1|USA-CA|Fresno|2024-11-16|wild_avian|D1.1,USA,CA,Fresno,2024-11-16
SRR36406399|A/american_green_winged_teal/CA/25G03928-006/2025|H5N1|USA-CA|Yolo|2025-10-29|wild_avian|D1.1,USA,CA,Yolo,2025-10-29
SRR36406410|A/american_wigeon/CA/25G03928-001/2025|H5N1|USA-CA|Yolo|2025-10-29|wild_avian|D1.1,USA,CA,Yolo,2025-10-29
SRR36538343|A/western_gull/CA/25G04840-001/2025|H5N1|USA-CA|Contra_Costa|2025-11-20|wild_avian|D1.1,USA,CA,Contra_Costa,2025-11-20
SRR36538375|A/red_tailed_hawk/CA/25G04838-002/2025|H5N1|USA-CA|Sacramento|2025-11-20|wild_avian|D1.1,USA,CA,Sacramento,2025-11-20
SRR36617365|A/mallard_duck/CA/24-032544-016/2024|H5N1|USA-CA|Yolo|2024-10-26|wild_avian|D1.1,USA,CA,Yolo,2024-10-26
SRR36617838|A/western_gull/CA/24-036784-001/2024|H5N1|USA-CA|Los_Angeles|2024-12-05|wild_avian|D1.1,USA,CA,Los_Angeles,2024-12-05
SRR36617878|A/western_gull/CA/25-004506-003/2024|H5N1|USA-CA|Monterey|2024-12-23|wild_avian|D1.1,USA,CA,Monterey,2024-12-23
SRR33682331|A/Cougar/CA/25-014656-002-original/2025|H5N1|USA-CA|Unknown|2025-04-13|feline|D1.1,USA,CA,Unknown,2025-04-13
SRR32254489|A/cackling_goose/CO/25-000848-001/2025|H5N1|USA-CO|Weld|2025-01-07|wild_avian|D1.1,USA,CO,Weld,2025-01-07
SRR32512607|A/canada_goose/CO/25-003832-001/2025|H5N1|USA-CO|Chaffee|2025-01-27|wild_avian|D1.1,USA,CO,Chaffee,2025-01-27
SRR32512655|A/canada_goose/CO/25-004662-001/2025|H5N1|USA-CO|Larimer|2025-02-03|wild_avian|D1.1,USA,CO,Larimer,2025-02-03
SRR32513282|A/red_tailed_hawk/CO/25-004838-001/2025|H5N1|USA-CO|Weld|2025-02-05|wild_avian|D1.1,USA,CO,Weld,2025-02-05
SRR36211975|A/mallard_duck/CO/25G02242-003/2025|H5N1|USA-CO|Jackson|2025-10-04|wild_avian|D1.1,USA,CO,Jackson,2025-10-04
SRR36212302|A/canada_goose/CO/25G02439-001/2025|H5N1|USA-CO|Weld|2025-10-14|wild_avian|D1.1,USA,CO,Weld,2025-10-14
SRR36406276|A/snow_goose/CO/25G04393-001/2025|H5N1|USA-CO|Sedgwick|2025-11-12|wild_avian|D1.1,USA,CO,Sedgwick,2025-11-12
SRR36538318|A/canada_goose/CO/25G04853-001/2025|H5N1|USA-CO|Larimer|2025-11-18|wild_avian|D1.1,USA,CO,Larimer,2025-11-18
SRR36617491|A/Peregrine_falcon/CO/25-019366-001/2024|H5N1|USA-CO|Denver|2024-11-24|wild_avian|D1.1,USA,CO,Denver,2024-11-24
SRR36617493|A/golden_eagle/CO/25-010611-001/2024|H5N1|USA-CO|Morgan|2024-11-15|wild_avian|D1.1,USA,CO,Morgan,2024-11-15
SRR36617718|A/snow_goose/CO/25-000365-002/2024|H5N1|USA-CO|Pueblo|2024-12-28|wild_avian|D1.1,USA,CO,Pueblo,2024-12-28
