trait	country	admin1	admin2	collection_date	latitude	longitude
EPI_ISL_20208427|A/Mallard/NL/FAV-0141-13/2025|H5N1|Canada-NL|Unknown|2025-03-12|wild_avian|D1.1	Canada	NL	Unknown	2025-03-12	54.9056466388759	-60.5593265423947
EPI_ISL_19792237|A/Chicken/NS/FAV-0075-2/2025|H5N1|Canada-NS|Unknown|2025-03-03|domestic_avian|D1.1	Canada	NS	Unknown	2025-03-03	43.7469127070423	-65.3584178451592
EPI_ISL_20208379|A/American_Black_Duck/NS/FAV-0078-2/2025|H5N1|Canada-NS|Unknown|2025-02-04|wild_avian|D1.1	Canada	NS	Unknown	2025-02-04	44.1177916084176	-65.6950109703534
EPI_ISL_20208385|A/Bald_Eagle/NS/FAV-0148/2025|H5N1|Canada-NS|Unknown|2025-02-19|wild_avian|D1.1	Canada	NS	Unknown	2025-02-19	44.5437715110529	-64.3275593958504
EPI_ISL_20208452|A/Striped_Skunk/NS/FAV-0143/2025|H5N1|Canada-NS|Unknown|2025-03-26|other_mammal|D1.1	Canada	NS	Unknown	2025-03-26	44.4441410492677	-65.7783076255941
EPI_ISL_19792241|A/Duck/ON/FAV-0025/2025|H5N1|Canada-ON|Unknown|2025-01-09|domestic_avian|D1.1	Canada	ON	Unknown	2025-01-09	51.4587646914362	-90.3894834489922
EPI_ISL_19792248|A/Turkey/ON/FAV-0069-2/2025|H5N1|Canada-ON|Unknown|2025-02-27|domestic_avian|D1.1	Canada	ON	Unknown	2025-02-27	50.9122406873626	-81.3885818331291
EPI_ISL_20208395|A/Canada_Goose/ON/FAV-0038-2/2025|H5N1|Canada-ON|Unknown|2025-01-11|wild_avian|D1.1	Canada	ON	Unknown	2025-01-11	50.8137221111374	-93.6682358565996
EPI_ISL_20208401|A/Canada_Goose/ON/FAV-0070-2/2025|H5N1|Canada-ON|Unknown|2025-02-19|wild_avian|D1.1	Canada	ON	Unknown	2025-02-19	49.3415052995751	-80.6451751537165
EPI_ISL_20208403|A/Caspian_Tern/ON/FAV-0181-4/2025|H5N1|Canada-ON|Unknown|2025-05-22|wild_avian|D1.1	Canada	ON	Unknown	2025-05-22	49.7660246891686	-82.1787574640737
EPI_ISL_20208432|A/Mallard/ON/FAV-0059-8/2025|H5N1|Canada-ON|Unknown|2024-12-09|wild_avian|D1.1	Canada	ON	Unknown	2024-12-09	51.1480713318121	-81.393827261047
EPI_ISL_20208437|A/Red-Tailed_Hawk/ON/FAV-0121-4/2025|H5N1|Canada-ON|Unknown|2025-03-17|wild_avian|D1.1	Canada	ON	Unknown	2025-03-17	53.3709252473627	-91.2882926598369
EPI_ISL_20208449|A/Snowy_Owl/ON/FAV-0035-8/2025|H5N1|Canada-ON|Unknown|2024-12-28|wild_avian|D1.1	Canada	ON	Unknown	2024-12-28	54.2356852326282	-84.8382108874867
EPI_ISL_20208455|A/Turkey_Vulture/ON/FAV-0138-2/2025|H5N1|Canada-ON|Unknown|2025-04-03|wild_avian|D1.1	Canada	ON	Unknown	2025-04-03	55.3761394660356	-87.1339602675433
EPI_ISL_19792232|A/Canada_goose/PE/FAV-0072-1/2025|H5N1|Canada-PE|Unknown|2025-02-22|wild_avian|D1.1	Canada	PE	Unknown	2025-02-22	46.4002706986591	-63.7373978674255
EPI_ISL_20208402|A/Canada_Goose/PE/FAV-0072-5/2025|H5N1|Canada-PE|Unknown|2025-02-22|wild_avian|D1.1	Canada	PE	Unknown	2025-02-22	46.352726741303	-63.0020669414349
EPI_ISL_19792250|A/Turkey/QC/FAV-0046-1/2025|H5N1|Canada-QC|Unknown|2025-01-29|domestic_avian|D1.1	Canada	QC	Unknown	2025-01-29	48.524254142779	-79.237194631282
EPI_ISL_20208424|A/Duck/QC/FAV-0272-2/2025|H5N1|Canada-QC|Unknown|2025-09-15|domestic_avian|D1.1	Canada	QC	Unknown	2025-09-15	50.5293266863061	-76.6799560612818
EPI_ISL_20208447|A/Snow_Goose/QC/FAV-0146-5/2025|H5N1|Canada-QC|Unknown|2025-04-03|wild_avian|D1.1	Canada	QC	Unknown	2025-04-03	47.1850268857604	-77.8404081649945
EPI_ISL_19792227|A/Cackling_Goose/SK/FAV-0407-8/2024|H5N1|Canada-SK|Unknown|2024-11-13|wild_avian|D1.1	Canada	SK	Unknown	2024-11-13	53.884359207802	-105.637663235269
