state	from	to	time
10100000	Pacific	Mississippi	0.9380496377075525
10100000	Central	Mississippi	0.9924683830086027
10100000	Pacific	Central	1.2077908075000063
10100000	Pacific	Central	0.9514856872367815
10100000	Pacific	Atlantic	1.0164375479750143
10100000	Central	Mississippi	1.1096120554794093
10100000	Mississippi	Central	0.91028984203767
10100000	Mississippi	Central	1.040018173354838
10100000	Pacific	Mississippi	1.0313384383856332
10100000	Mississippi	Atlantic	0.827448406236378
10100000	Mississippi	Atlantic	0.9671452954875784
10100000	Mississippi	Central	0.8059658720884126
10100000	Central	Mississippi	0.8700725387135958
10100000	Pacific	Central	0.9453812294916176
10100000	Central	Mississippi	0.8648417599998303
10100000	Pacific	Central	0.9151229654535482
10100000	Pacific	Mississippi	1.0021152851710686
10100000	Central	Mississippi	0.7019133445035284
10100000	Central	Mississippi	0.7310703218933774
10100000	Mississippi	Atlantic	0.8259969048445082
10100000	Pacific	Mississippi	0.8215058755395876
10100000	Mississippi	Central	0.7581756047320797
10100000	Pacific	Central	1.0315031982549676
10100000	Mississippi	Central	0.29628858386672463
10100000	Mississippi	Central	0.24577618503061904
10100000	Central	Mississippi	0.28568185918362404
10100000	Mississippi	Atlantic	0.3144514531328392
10100000	Pacific	Central	0.35560677155443265
10100000	Mississippi	Central	0.138826515268621
10100000	Pacific	Mississippi	0.38441982695702503
10100000	Central	Pacific	0.15769965059608745
10100000	Pacific	Atlantic	0.12389059038944264
10100000	Mississippi	Atlantic	0.2151174280818332
10100000	Pacific	Mississippi	0.27792093696004344
10100000	Mississippi	Atlantic	0.1775408958213442
10100000	Mississippi	Central	0.31584841812373743
10100000	Mississippi	Central	0.2824468518051521
10100000	Central	Pacific	0.3571074094686664
10100000	Pacific	Central	0.24274134644893236
10100000	Central	Pacific	0.3038360124965703
10100000	Pacific	Central	0.3086210060368422
10100000	Mississippi	Atlantic	0.43197602858276113
10100000	Pacific	Central	0.22490894131144312
10100000	Central	Mississippi	0.29313267044602304
10100000	Pacific	Central	0.3291394688092038
10100000	Pacific	Atlantic	1.2330275631654344
10100000	Central	Mississippi	1.199429381929161
10100000	Pacific	Central	1.2114525747800746
10100000	Atlantic	Mississippi	0.7001585562884752
10100000	Mississippi	Atlantic	1.1910522553929273
10100000	Pacific	Mississippi	1.1996868087866552
10100000	Pacific	Mississippi	1.199613961650555
10100000	Pacific	Central	1.172776620679002
10100000	Pacific	Atlantic	1.1883028168281542
10100000	Pacific	Mississippi	1.1969561729946632
10100000	Mississippi	Atlantic	1.1170465575120807
10100000	Mississippi	Central	1.112144016224023
10100000	Pacific	Mississippi	1.201044997488279
10100000	Pacific	Central	0.39941192139823445
10100000	Pacific	Atlantic	1.1009662186594338
10100000	Pacific	Central	1.1758773244474414
10100000	Pacific	Mississippi	0.48839433932744547
10100000	Central	Mississippi	0.32574811437711526
10100000	Pacific	Central	0.4141145010588515
10100000	Pacific	Mississippi	0.3755761402682201
10100000	Pacific	Atlantic	0.27702830781207427
10100000	Pacific	Central	0.3009838689582032
10100000	Pacific	Atlantic	0.3967151242199904
10100000	Pacific	Central	0.3816559279868096
10100000	Central	Pacific	0.7925090025423169
10100000	Central	Mississippi	0.3022471961273372
10100000	Central	Mississippi	0.39801123939560296
10100000	Mississippi	Central	0.31852385250628656
10100000	Central	Mississippi	0.48552661918328843
10100000	Pacific	Central	1.1596346135719637
10100000	Pacific	Mississippi	1.1322534757387073
10100000	Central	Mississippi	1.1713015672072702
10100000	Central	Mississippi	0.86161247398162
10100000	Mississippi	Atlantic	0.82224902126664
10100000	Pacific	Central	1.2603991710634714
10100000	Central	Mississippi	0.6986758232101985
10100000	Pacific	Central	1.2344625617428775
10100000	Pacific	Central	1.2224224993157378
10100000	Mississippi	Atlantic	1.1877250501083758
10100000	Mississippi	Atlantic	0.5734998260303985
10100000	Mississippi	Atlantic	1.090955869759603
10100000	Atlantic	Pacific	0.7477080670457648
10100000	Mississippi	Atlantic	1.1244417643963336
10100000	Mississippi	Central	1.1887530638511232
10100000	Pacific	Mississippi	1.2470873266288902
10100000	Pacific	Central	1.0468395346472004
10100000	Pacific	Central	1.2105400954940966
10100000	Pacific	Central	1.2124948529721566
10100000	Pacific	Mississippi	1.0641826944615251
10200000	Pacific	Atlantic	0.37771173795983376
10200000	Central	Mississippi	0.306972876953813
10200000	Mississippi	Atlantic	0.05481759587388063
10200000	Pacific	Central	0.19603256868817528
10200000	Atlantic	Mississippi	0.28737495792274426
10200000	Mississippi	Central	0.18064121536462718
