time	95%HPD_lower_value	95%HPD_higher_value
2024.48962368542	0	0
2024.49585073624	0	0
2024.50207778705	0	0
2024.50830483787	0	0
2024.51453188869	0	0
2024.5207589395	0	0
2024.52698599032	0	0
2024.53321304114	0	0
2024.53944009196	0	0
2024.54566714277	0	0
2024.55189419359	0	54.6857486874375
2024.55812124441	0	148.694903072832
2024.56434829522	0	259.545380576772
2024.57057534604	0	380.773953760466
2024.57680239686	0	527.003229965129
2024.58302944768	0	683.012244216951
2024.58925649849	0	911.408111233895
2024.59548354931	0	1173.17673617138
2024.60171060013	0	1506.85855808954
2024.60793765094	156.76898487673	1768.17193352943
2024.61416470176	227.333106802191	1855.65859499066
2024.62039175258	262.911211541386	1967.38157452093
2024.62661880339	411.486209978973	2141.60531234076
2024.63284585421	468.685391849751	2221.48382966607
2024.63907290503	553.815698119421	2331.68310912808
2024.64529995585	661.831671646106	2529.70306562612
2024.65152700666	721.608639473918	2589.50952538955
2024.65775405748	862.319731362233	2776.97982229619
2024.6639811083	887.765829907944	2831.17082538548
2024.67020815911	1067.19443355414	3035.66411924443
2024.67643520993	1133.00650735662	3138.10737694735
2024.68266226075	1273.9183582861	3360.62298258365
2024.68888931156	1361.91735358784	3514.88539024943
2024.69511636238	1444.04273918518	3660.86497738335
2024.7013434132	1541.03041358994	3789.37371900832
2024.70757046401	1627.30909799667	4006.94337457833
2024.71379751483	1739.85920418064	4235.56573310308
2024.72002456565	1771.28680653038	4392.32607520695
2024.72625161647	1960.11688067199	4642.62305895609
2024.73247866728	2115.0928129732	4968.34685959758
2024.7387057181	2278.40024381733	5221.22591211036
2024.74493276892	2417.74113959122	5457.93607440142
2024.75115981973	2718.35491621391	5803.6431825782
2024.75738687055	2837.65782635352	5964.47072590353
2024.76361392137	3073.06178838788	6323.43563112209
2024.76984097218	3269.87504902434	6718.82499843585
2024.776068023	3261.74627957323	6734.75020851614
2024.78229507382	3347.43869067905	6800.89207347042
2024.78852212464	3473.77083409357	7016.12027783415
2024.79474917545	3553.08930481744	7119.12182916034
2024.80097622627	3799.93785988834	7374.25566351852
2024.80720327709	3831.63894481845	7398.00883892921
2024.8134303279	3886.46246233046	7398.76263407229
2024.81965737872	3986.12418604518	7560.8040651559
2024.82588442954	3906.95078413583	7498.05148875563
2024.83211148036	4142.31526929685	7719.46459618912
2024.83833853117	4176.88030615117	7736.22580337704
2024.84456558199	4239.0682866883	7756.55595772727
2024.85079263281	4306.72994354246	7827.40474535718
2024.85701968362	4361.77360416657	7880.29664566867
2024.86324673444	4434.9928658821	8036.73777467941
2024.86947378526	4469.79063273939	8036.73777467941
2024.87570083607	4486.84700356139	8036.73777467941
2024.88192788689	4498.772477534	8086.02534802038
2024.88815493771	4654.02631640666	8205.44958920862
2024.89438198853	4628.92279239456	8205.44958920862
2024.90060903934	4613.92489841341	8208.46931558811
2024.90683609016	4715.24209926367	8319.56764680815
2024.91306314098	4748.96444526762	8372.68836573782
2024.91929019179	4764.98634491185	8402.7389422012
2024.92551724261	4854.8747408505	8482.22444121532
2024.93174429343	4943.83874618134	8581.16080105064
2024.93797134424	4947.38746539807	8574.15814335343
2024.94419839506	5007.34731209317	8675.19135394676
2024.95042544588	5023.86440135136	8695.83089878578
2024.95665249669	5180.75807120341	8857.45791048578
2024.96287954751	5147.47519132843	8807.91964718093
2024.96910659833	5180.75807120341	8830.76832416845
2024.97533364915	5197.97833260463	8876.91206765254
2024.98156069996	5200.05742318547	8915.76261660243
2024.98778775078	5251.02333607108	9018.10370962783
2024.9940148016	5200.05742318547	8989.04432195489
2025.00024185241	5200.05742318547	9012.34461680178
2025.00646890323	5200.05742318547	9052.76511017133
2025.01269595405	5177.51463637478	9012.34461680178
2025.01892300486	5177.51463637478	9012.34461680178
2025.02515005568	5177.51463637478	9012.34461680178
2025.0313771065	5177.51463637478	9012.34461680178
2025.03760415732	5177.51463637478	9012.34461680178
2025.04383120813	5177.51463637478	9012.34461680178
2025.05005825895	5177.51463637478	9012.34461680178
2025.05628530977	5177.51463637478	9012.34461680178
2025.06251236058	5177.51463637478	9012.34461680178
2025.0687394114	5177.51463637478	9012.34461680178
2025.07496646222	5177.51463637478	9012.34461680178
2025.08119351304	5177.51463637478	9012.34461680178
2025.08742056385	5177.51463637478	9012.34461680178
2025.09364761467	5177.51463637478	9012.34461680178
2025.09987466549	5177.51463637478	9012.34461680178
2025.1061017163	5177.51463637478	9012.34461680178
2025.11232876712	5177.51463637478	9012.34461680178
