node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel
354,355,0.00552225257697825,-117.045036081909,44.6090652544281,-112.360544337269,42.6088320394035,0.00552225257697825,0,2024.58534016806,2024.59086242064,NA
355,389,0.00874343061593608,-112.360544337269,42.6088320394035,-113.823010825839,43.6065869310628,0.0142656831929143,0.00552225257697825,2024.59086242064,2024.59960585126,NA
354,545,0.0145476302425338,-117.045036081909,44.6090652544281,-113.69586113565,43.123115704651,0.0145476302425338,0,2024.58534016806,2024.59988779831,NA
545,570,0.000709685777673053,-113.69586113565,43.123115704651,-113.37590475508,42.9863737701699,0.0152573160202069,0.0145476302425338,2024.59988779831,2024.60059748408,NA
389,390,0.00185693196571579,-113.823010825839,43.6065869310628,-113.659085944734,43.4896467083319,0.0161226151586301,0.0142656831929143,2024.59960585126,2024.60146278322,NA
570,571,0.00175921774981569,-113.37590475508,42.9863737701699,-113.580497072566,43.1129642001545,0.0170165337700225,0.0152573160202069,2024.60059748408,2024.60235670183,NA
355,356,0.0120087269144386,-112.360544337269,42.6088320394035,-112.336433042408,42.6400619084731,0.0175309794914168,0.00552225257697825,2024.59086242064,2024.60287114756,NA
545,546,0.00298780459087822,-113.69586113565,43.123115704651,-113.789579482564,43.3609199235413,0.017535434833412,0.0145476302425338,2024.59988779831,2024.6028756029,NA
390,391,0.00157528026628873,-113.659085944734,43.4896467083319,-113.772086705267,43.4654258505836,0.0176978954249188,0.0161226151586301,2024.60146278322,2024.60303806349,NA
546,547,0.000362799091280675,-113.789579482564,43.3609199235413,-113.811495843472,43.3610653049688,0.0178982339246927,0.017535434833412,2024.6028756029,2024.60323840199,NA
390,503,0.00186156084685207,-113.659085944734,43.4896467083319,-113.415486263455,43.129114195489,0.0179841760054822,0.0161226151586301,2024.60146278322,2024.60332434407,NA
547,548,0.000153453768879097,-113.811495843472,43.3610653049688,-113.803576226829,43.366027693514,0.0180516876935718,0.0178982339246927,2024.60323840199,2024.60339185576,NA
503,504,0.0004077098905656,-113.415486263455,43.129114195489,-117.136712927573,43.2008339500273,0.0183918858960478,0.0179841760054822,2024.60332434407,2024.60373205396,NA
504,505,0.0000161263391227351,-117.136712927573,43.2008339500273,-117.214081338174,43.2109341180819,0.0184080122351705,0.0183918858960478,2024.60373205396,2024.6037481803,NA
571,573,0.00902704394190701,-113.580497072566,43.1129642001545,-111.021571007185,40.7433370443608,0.0260435777119296,0.0170165337700225,2024.60235670183,2024.61138374578,NA
356,368,0.0136070390906737,-112.336433042408,42.6400619084731,-108.970537319399,42.0313159435598,0.0311380185820905,0.0175309794914168,2024.60287114756,2024.61647818665,NA
503,531,0.0267417578215289,-113.415486263455,43.129114195489,-107.52074420978,39.7020718391657,0.0447259338270111,0.0179841760054822,2024.60332434407,2024.63006610189,NA
389,538,0.0328874877980299,-113.823010825839,43.6065869310628,-114.030292743123,43.6361998899027,0.0471531709909442,0.0142656831929143,2024.59960585126,2024.63249333906,NA
391,394,0.03799219581969,-113.772086705267,43.4654258505836,-110.644796685071,43.4882594223506,0.0556900912446089,0.0176978954249188,2024.60303806349,2024.64103025931,NA
573,692,0.0398309554088993,-111.021571007185,40.7433370443608,-111.730671808445,40.8894956408702,0.0658745331208289,0.0260435777119296,2024.61138374578,2024.65121470119,NA
573,574,0.044994965563665,-111.021571007185,40.7433370443608,-110.721267454092,40.8883963935527,0.0710385432755946,0.0260435777119296,2024.61138374578,2024.65637871134,NA
574,575,0.00617285735983081,-110.721267454092,40.8883963935527,-103.932029472069,43.1128053042127,0.0772114006354254,0.0710385432755946,2024.65637871134,2024.6625515687,NA
575,690,0.00472595611174342,-103.932029472069,43.1128053042127,-103.550425212779,42.6570779297134,0.0819373567471688,0.0772114006354254,2024.6625515687,2024.66727752481,NA
692,693,0.0168108601332332,-111.730671808445,40.8894956408702,-111.721294364484,43.4533635077765,0.0826853932540621,0.0658745331208289,2024.65121470119,2024.66802556132,NA
394,395,0.0319441979417038,-110.644796685071,43.4882594223506,-110.670530991667,42.3369528132913,0.0876342891863127,0.0556900912446089,2024.64103025931,2024.67297445725,NA
693,694,0.00636907249552909,-111.721294364484,43.4533635077765,-110.147218119083,43.6393565353773,0.0890544657495912,0.0826853932540621,2024.66802556132,2024.67439463381,NA
548,549,0.0716384542749529,-113.803576226829,43.366027693514,-121.095454933062,49.3594183135287,0.0896901419685247,0.0180516876935718,2024.60339185576,2024.67503031003,NA
395,396,0.00558164211655743,-110.670530991667,42.3369528132913,-111.141539269827,42.1585354537188,0.0932159313028701,0.0876342891863127,2024.67297445725,2024.67855609937,NA
396,419,0.000470719742763137,-111.141539269827,42.1585354537188,-111.123827487979,42.2832988534489,0.0936866510456332,0.0932159313028701,2024.67855609937,2024.67902681911,NA
505,506,0.0758479642801086,-117.214081338174,43.2109341180819,-121.137601836909,41.3805592107684,0.0942559765152792,0.0184080122351705,2024.6037481803,2024.67959614458,NA
356,357,0.0778874623441116,-112.336433042408,42.6400619084731,-102.143966672128,43.0956372460515,0.0954184418355284,0.0175309794914168,2024.60287114756,2024.6807586099,NA
368,369,0.0654776249267164,-108.970537319399,42.0313159435598,-121.321739195187,47.2027826230309,0.0966156435088069,0.0311380185820905,2024.61647818665,2024.68195581157,NA
505,508,0.0798261908751475,-117.214081338174,43.2109341180819,-121.901107872673,38.493421014968,0.098234203110318,0.0184080122351705,2024.6037481803,2024.68357437117,NA
395,427,0.0110136453741346,-110.670530991667,42.3369528132913,-108.965700577423,43.1025735586663,0.0986479345604473,0.0876342891863127,2024.67297445725,2024.68398810262,NA
575,576,0.0233285228935305,-103.932029472069,43.1128053042127,-94.560259564005,40.5698366318705,0.100539923528956,0.0772114006354254,2024.6625515687,2024.68588009159,NA
427,447,0.001978311584999,-108.965700577423,43.1025735586663,-109.137027613423,43.140191180336,0.100626246145446,0.0986479345604473,2024.68398810262,2024.68596641421,NA
538,539,0.0557066695001469,-114.030292743123,43.6361998899027,-115.791146959585,42.1635946398108,0.102859840491091,0.0471531709909442,2024.63249333906,2024.68820000856,NA
396,397,0.0114367594718693,-111.141539269827,42.1585354537188,-104.933176750948,41.6373944280555,0.104652690774739,0.0932159313028701,2024.67855609937,2024.68999285884,NA
