# BEAST v10.5.0-beta5 Prerelease #fb0d1ded5
# Generated Fri Feb 20 18:27:41 CET 2026 [seed=1771608459423]
# -beagle_gpu -beagle_double -beagle_order 1 -overwrite C21_skygrid.xml
# keywords: skygrid discretized_branch_rates
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.logPopSize26	skygrid.logPopSize27	skygrid.logPopSize28	skygrid.logPopSize29	skygrid.logPopSize30	skygrid.cutOff	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	frequencies1	frequencies2	frequencies3	frequencies4	alpha	pInv	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	skygrid
0	-86352.81407566898	-8792.449698313081	-77560.3643773559	142.71861452219633	1881.6720958603173	1206.5518700429025	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6	1.0	1.0	1.0	1.0	1.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.5	0.001	0.3333333333333333	3.092134909632273E-4	5.3320021978492855	-0.02850917858462591	-77560.3643773559	-1900.1084635499992	-6888.570506261054
100000	-38001.97793991413	-2910.2381837617486	-35091.73975615238	58.700455792132075	1965.6902545903815	799.0514046648937	0.8099811703622399	6.529439069327485	4.5267729619113	3.9220056513283943	3.771295084376804	5.327639143630858	4.123263591890246	4.5482300297665885	3.9555834786750705	5.532444273685105	4.598036785604334	4.319191691785316	6.361647764615435	4.932136826747316	5.00245733572699	5.535303594755182	4.740699603954564	5.124317081524259	5.924638623015565	6.946462642909293	6.923475484805249	7.448093073376283	8.24980833485304	8.156964181796749	7.842366323547526	10.339732872664564	9.431041242778337	10.894555657336868	7.164400078438387	6.84133563757249	4.751756955890997	0.6	0.8513333775662846	1.2283366726548914	0.7349369757663107	0.9125275051216858	1.2808881608305343	0.9919773080602953	0.32432441000531576	0.1951594353997505	0.25059223557759847	0.22992391901733525	0.22501844719435654	0.92913753910713	6.280070442642359E-4	0.002120513314238956	1.8043884285119565E-4	1.6332556145557824	-0.033085620420368916	-35091.73975615238	-1900.1084635499992	-1006.5434299288985
200000	-36998.57163713602	-2898.8838572431605	-34099.687779892854	48.30265005599342	1976.0880603265202	669.4086127106385	0.0970320924935302	2.8904066624767326	5.3686409102192165	3.9044563257931375	3.3867120746545987	5.184418964708977	4.364587506485823	3.7789150868097967	2.5590077990008595	2.3843501593912366	6.551611082536217	6.995973805735827	7.740964668870016	6.921878207430529	7.055518939178386	3.612455909125553	4.378846490354817	3.8762920141914243	8.299223832344225	4.831339369055432	9.562522675295616	11.024226173710344	14.438832585219226	14.011346384944371	13.72434503280305	10.134318606171682	8.990228210666853	7.047001026696185	9.31510228069573	5.324769390826874	4.865608994832732	0.6	0.7625520588480904	1.5579162713210797	0.46757626902281596	0.8189226579854096	1.596319964167943	0.7967127786546631	0.320311262047411	0.19707118823198164	0.24089353051825532	0.24172401920235215	0.4159097291003423	0.9277147435241362	6.788276474495621E-4	0.002210201387959122	2.1286697228883438E-4	1.6479086782678343	0.008592704562148957	-34099.687779892854	-1900.1084635499992	-996.8475855739479
300000	-36673.84639825467	-2860.8660014221714	-33812.9803968325	32.87099298358921	1991.5197173989243	615.5958954660823	3.553694337116314	1.9595058540044075	1.668537388587246	1.2958628720995273	1.5994486323350185	1.3356729699618752	1.8601900982998414	3.205217583765387	3.5342062657279083	3.1310218666960323	3.253398208280706	3.645606357202952	3.514354731864298	3.3788703843567314	3.1007272222039113	3.6436093085052694	4.291736654492355	4.645587547819291	5.313638936137944	5.05686209920117	5.868802627264218	6.167756170999056	6.65000881727593	6.180266512612979	6.313615499919196	6.164747756382891	5.232306468147836	5.166159791344238	5.453402462986291	5.033535071675702	4.648322376633808	0.6	0.7219565154666335	1.8235807496249137	0.27235791482591903	0.5591506167134659	1.8684162017975552	0.7545380015715117	0.3310168106809938	0.1907300893228543	0.24541698496425593	0.2328361150318962	0.4283603918040289	0.7903233464995117	5.598502671758075E-4	0.0017095038057623184	2.1500880964230178E-4	1.514891405918871	-0.05675132527271403	-33812.9803968325	-1900.1084635499992	-955.3699918679531
400000	-36524.21798030226	-2792.3310629424236	-33731.886917359836	18.381838940475742	2006.0088714420378	378.997948586377	0.3939907263261143	0.028748268636071383	2.3868158560139543	0.9351244830260947	2.2626171629672838	5.529806167797792	3.1200563069005116	1.6242770702857843	3.4485245309360852	3.005398009559798	4.227362963001746	3.8782844494211113	2.8399776265126073	3.7659791072745237	2.872971805138322	4.474901964668819	5.680435881879617	6.1576951305899525	6.484364866053916	6.910731799651795	8.204342367241084	5.508518443372835	5.492723477255833	7.548154227107773	8.491348940547512	8.819337732647103	6.969760434886477	8.972102370319094	6.776075322162946	6.933581903175499	4.14823259064714	0.6	0.5766107925649714	1.9974980884801279	0.21055142993455958	0.33814334548763475	2.1806859117201216	0.6965104318125865	0.32768336761706574	0.19101982105172885	0.2478463003560645	0.23345051097514122	0.3700809850445069	0.7229700716564152	7.907511189811048E-4	0.001977410641923261	3.64344946895781E-4	1.4624359106220386	-0.006065514615953464	-33731.886917359836	-1900.1084635499992	-888.7809459460462
500000	-36436.61226396534	-2813.381733393193	-33623.230530572146	13.470511597190027	2010.9201987853235	374.99078090750146	0.26170668873105396	9.128362376947464	9.544758631114522	8.230435244081622	6.89173498852762	5.240388537688959	2.8705134971442234	4.406870781593574	2.7970249278302384	2.6591607186116306	3.476949324999645	2.8478141222052087	4.754582144944484	4.104799223582779	4.757383842919505	2.822933921152083	3.753300302773205	4.455360289365011	5.656527467475001	8.595361879470174	10.595936132811792	12.112636853408397	15.58809106676257	11.83381063430126	12.217683578857772	13.019933207467927	11.90038872714676	9.639416282366785	9.051615608847609	9.62945612634247	4.262199544599855	0.6	0.6185950717409716	2.0515134244400954	0.25761249450402	0.045568651778026756	2.382687715668306	0.6440226418685794	0.32854503003602376	0.19880124532836158	0.24292052355318278	0.22973320108243225	0.33378446288860336	0.48605442217999617	5.213705231039791E-4	8.838838086922732E-4	3.3864974316388146E-4	1.018500824638282	0.12863407094273085	-33623.230530572146	-1900.1084635499992	-910.6234465990693
600000	-36312.69306782257	-2799.0788292834936	-33513.61423853908	9.278059456970661	2015.112650925543	297.2554926630862	0.16370592226991118	13.639780062438785	17.252313115106833	16.949381538779996	16.119754334460335	13.951493948007396	11.108388639694526	11.502340120308471	9.94369933528549	11.42705628558635	8.868022887808625	10.13944604655251	10.51653499568112	5.721442656252969	5.079657965349794	3.4786197017014504	3.8979520587086163	7.550923740291934	3.9389125301684493	6.7727506792164895	8.706998464933022	10.18422520269496	11.183360351457967	10.17771306983024	14.115188161690064	11.336557347424414	14.00615567712405	10.800355798804054	11.325880455846903	8.360766103442684	4.100724765560557	0.6	0.5225396542022547	2.22061313408891	0.19608134893778173	0.04104948045797047	2.540040146311161	0.4796762360019229	0.3314293223661113	0.1918210505889484	0.24460326387212694	0.23214636317281384	0.5624178103518972	0.9863322584090101	5.664513271637003E-4	6.846869653072689E-4	4.7331150675102083E-4	0.8637401147401679	0.004522447509298278	-33513.61423853908	-1900.1084635499992	-896.2021635008605
700000	-36280.66843240794	-2785.459037466209	-33495.20939494173	6.962302009206416	2017.428408373307	268.3080847620497	0.057935945441569325	22.769393506190944	18.776017225082406	15.880323645883983	12.245589087687335	16.618945009084378	15.361296559768586	14.121743643332657	10.461469715850278	11.3770671187914	10.873545848569064	11.281512297595372	14.58853053891984	11.935172074103718	2.8874880334078044	3.5782297630944164	8.512482334079559	11.18783015400601	12.690003948848297	14.765887255130423	9.867800597692359	9.954394449520896	13.151979812611632	20.639477443592575	18.559809815864988	18.15962787884931	18.957908505613457	17.239845249247313	18.337536879333676	10.462650721502724	3.976866387850207	0.6	0.4744628520370098	2.181004027204878	0.18599698328065215	0.05984548712863061	2.6824607854003077	0.41622986494852526	0.32110054742293137	0.1954442444302853	0.24824336206214725	0.23521184608463652	0.34267136259194325	0.24625052400883096	5.336374784039373E-4	5.721877643962326E-4	4.4200206118782503E-4	0.8462757774711428	0.015178684767888388	-33495.20939494173	-1900.1084635499992	-884.06381343447
800000	-36290.68493155324	-2764.2452086488875	-33526.43972290435	6.38230147527378	2018.0084089072398	243.7017394921195	0.043145026860701166	17.127152573685038	15.774125817587954	13.566360135197309	14.68604722380066	9.517497267699653	4.272824293082177	10.901349137707689	9.11010963639557	7.094028506013356	5.098833858498368	6.139052617159951	10.907091217148878	13.963240345113348	2.9298560097446456	2.308357531485243	5.930052838770084	12.258569186685044	13.277169362305358	8.008350019943162	12.085038655434369	18.85418180020648	23.72180378320581	17.12829672656609	15.414467849873649	8.910945499047976	11.772076379930846	11.210952913497948	14.727715176507653	12.729470971023812	3.797115380504703	0.6	0.4699936107523439	2.143427176294579	0.20412088586214527	0.0198203516988791	2.802962348473451	0.3596756269186074	0.3238380384126935	0.18586526416939264	0.25521097457092584	0.23508572284698895	0.49502184990279785	0.862603799691239	5.828475515369819E-4	4.786496253523207E-4	5.688537981903692E-4	0.7219991870598134	-0.07163650792426118	-33526.43972290435	-1900.1084635499992	-862.7489935547678
900000	-36298.186971068484	-2796.052367360177	-33502.134603708306	6.382468837301089	2018.0082415452125	257.3507311630435	0.019768748659387873	39.579502062578236	23.488634737019662	21.044303874485426	23.46829475105065	28.889806045043393	27.32313682235815	27.291017031611165	17.116164151967045	19.375813257888925	26.71341269290167	3.240004111777166	9.071316980214942	12.400298949791058	7.245699513730922	2.905300128176251	5.608369594948124	11.880991641609441	7.783953911984621	7.113328863525167	8.838906942158003	7.946684085775563	6.636036456990661	12.386519916524604	16.274266017280965	7.921080032421685	7.190165911341885	16.269452096373485	30.03048308986736	9.887569933467347	3.9680488333620443	0.6	0.46554434160144986	2.106851161647401	0.1858110605312932	0.022524613261320103	2.8421326729688805	0.3771361499896624	0.31908391580731443	0.19248907137492985	0.24818405563203005	0.24024295718572708	0.5143320477481876	0.9187887420376146	5.262462658283848E-4	5.103777615326536E-4	5.294657280244812E-4	0.8053996428403019	0.006463775095786451	-33502.134603708306	-1900.1084635499992	-895.382081087636
