trait,country,admin1,admin2,collection_date
EPI_ISL_19776300|A/American_Crow/QC/FAV-0237-1/2024|H5N1|Canada-QC|2024-04-04|avian|C2.1,Canada,QC,Unknown,2024-04-04
EPI_ISL_19776176|A/Red-Tailed_Hawk/QC/FAV-0237-3/2024|H5N1|Canada-QC|2024-01-12|avian|C2.1,Canada,QC,Unknown,2024-01-12
EPI_ISL_19776305|A/Northern_Fulmar/NS/FAV-0245-8/2024|H5N1|Canada-NS|2024-04-21|avian|C2.1,Canada,NS,Unknown,2024-04-21
EPI_ISL_19776007|A/Green-Winged_Teal/ON/FAV-0390-45/2023|H5N1|Canada-ON|2023-11-09|avian|C2.1,Canada,ON,Unknown,2023-11-09
EPI_ISL_19776084|A/Turkey/QC/FAV-0392-3/2023|H5N1|Canada-QC|2023-11-21|avian|C2.1,Canada,QC,Unknown,2023-11-21
EPI_ISL_19776066|A/Canada_Goose/QC/FAV-0422-3/2023|H5N1|Canada-QC|2023-11-18|avian|C2.1,Canada,QC,Unknown,2023-11-18
EPI_ISL_19776082|A/Snow_Goose/QC/FAV-0434-1/2023|H5N1|Canada-QC|2023-11-21|avian|C2.1,Canada,QC,Unknown,2023-11-21
EPI_ISL_19776056|A/Snow_Goose/QC/FAV-0443-14/2023|H5N1|Canada-QC|2023-11-15|avian|C2.1,Canada,QC,Unknown,2023-11-15
EPI_ISL_19776086|A/Canada_Goose/AB/FAV-0451-2/2023|H5N1|Canada-AB|2023-11-22|avian|C2.1,Canada,AB,Unknown,2023-11-22
EPI_ISL_19776089|A/Snow_Goose/ON/FAV-0457-1/2023|H5N1|Canada-ON|2023-11-23|avian|C2.1,Canada,ON,Unknown,2023-11-23
EPI_ISL_19882171|A/peafowl/Ohio/OH24-4484-1/2024|H5N1|USA-OH|2024-02-22|avian|C2.1,USA,OH,Unknown,2024-02-22
EPI_ISL_19095248|A/wood_duck/Georgia/W24_017/2023|H5N1|USA-GA|2023-12-23|avian|C2.1,USA,GA,Unknown,2023-12-23
EPI_ISL_19134612|A/Canada_goose/North_Carolina/W24-51/2024|H5N1|USA-NC|2024-01-12|avian|C2.1,USA,NC,Unknown,2024-01-12
