node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel,genotype
532,533,0.00433003550788191,-100.221945458441,46.1438835465432,-99.8955913837495,45.7606225929638,0.00433003550788191,0,2022.05918740406,2022.06351743956,NA,B32
532,643,0.00769320014016817,-100.221945458441,46.1438835465432,-102.16726846024,46.2498366877292,0.00769320014016817,0,2022.05918740406,2022.0668806042,NA,B32
533,534,0.00584019051120155,-99.8955913837495,45.7606225929638,-99.6813310261038,46.0724653489631,0.0101702260190835,0.00433003550788191,2022.06351743956,2022.06935763008,NA,B32
643,652,0.00395999855506313,-102.16726846024,46.2498366877292,-103.678209940074,48.8803823930927,0.0116531986952313,0.00769320014016817,2022.0668806042,2022.07084060275,NA,B32
643,644,0.00611926585049316,-102.16726846024,46.2498366877292,-102.390895375485,46.317991513886,0.0138124659906613,0.00769320014016817,2022.0668806042,2022.07299987005,NA,B32
534,548,0.0056332782025108,-99.6813310261038,46.0724653489631,-99.2973569677829,47.4469902019874,0.0158035042215943,0.0101702260190835,2022.06935763008,2022.07499090828,NA,B32
548,549,0.000510684851402043,-99.2973569677829,47.4469902019874,-99.3084504090892,47.460384820651,0.0163141890729963,0.0158035042215943,2022.07499090828,2022.07550159313,NA,B32
652,654,0.00468618443997881,-103.678209940074,48.8803823930927,-102.783367799901,50.7057678542632,0.0163393831352101,0.0116531986952313,2022.07084060275,2022.07552678719,NA,B32
534,535,0.00650299560198819,-99.6813310261038,46.0724653489631,-99.5279040575857,46.3188826099025,0.0166732216210717,0.0101702260190835,2022.06935763008,2022.07586062568,NA,B32
644,645,0.00434019946959685,-102.390895375485,46.317991513886,-103.403508422752,47.7507756009101,0.0181526654602582,0.0138124659906613,2022.07299987005,2022.07734006952,NA,B32
549,550,0.00185966658522663,-99.3084504090892,47.460384820651,-94.3545325615592,45.3328961902961,0.0181738556582229,0.0163141890729963,2022.07550159313,2022.07736125971,NA,B32
652,653,0.00654199019965551,-103.678209940074,48.8803823930927,-104.777393595065,48.7658875539704,0.0181951888948868,0.0116531986952313,2022.07084060275,2022.07738259295,NA,B32
535,536,0.00174637679548573,-99.5279040575857,46.3188826099025,-98.8533582149909,45.3197308912539,0.0184195984165574,0.0166732216210717,2022.07586062568,2022.07760700247,NA,B32
535,537,0.0234317688630021,-99.5279040575857,46.3188826099025,-97.8124642405961,42.8388578040397,0.0401049904840738,0.0166732216210717,2022.07586062568,2022.09929239454,NA,B32
533,636,0.0445556420725248,-99.8955913837495,45.7606225929638,-100.305077630569,46.107198218611,0.0488856775804067,0.00433003550788191,2022.06351743956,2022.10807308164,NA,B32
636,638,0.00737312819267233,-100.305077630569,46.107198218611,-104.178324762788,53.4021107870365,0.0562588057730791,0.0488856775804067,2022.10807308164,2022.11544620983,NA,B32
638,639,0.00636828157314673,-104.178324762788,53.4021107870365,-104.20638845089,54.712675959479,0.0626270873462258,0.0562588057730791,2022.11544620983,2022.1218144914,NA,B32
639,640,0.00584463912992605,-104.20638845089,54.712675959479,-105.676110390026,55.1466728525829,0.0684717264761519,0.0626270873462258,2022.1218144914,2022.12765913053,NA,B32
645,651,0.0533503147807552,-103.403508422752,47.7507756009101,-97.775423351837,44.8519011390531,0.0715029802410134,0.0181526654602582,2022.07734006952,2022.1306903843,NA,B32
537,546,0.0327599882541607,-97.8124642405961,42.8388578040397,-97.344317787566,43.0296067162188,0.0728649787382345,0.0401049904840738,2022.09929239454,2022.13205238279,NA,B32
636,637,0.024545050403308,-100.305077630569,46.107198218611,-103.574613693546,49.0922741166167,0.0734307279837147,0.0488856775804067,2022.10807308164,2022.13261813204,NA,B32
654,655,0.0709427688362907,-102.783367799901,50.7057678542632,-105.088074768378,51.5456315559658,0.0872821519715008,0.0163393831352101,2022.07552678719,2022.14646955603,NA,B32
639,642,0.0319863248267134,-104.20638845089,54.712675959479,-104.745134391014,54.813215387053,0.0946134121729392,0.0626270873462258,2022.1218144914,2022.15380081623,NA,B32
550,551,0.0823496163916988,-94.3545325615592,45.3328961902961,-93.3256509158552,43.9365993404875,0.100523472049922,0.0181738556582229,2022.07736125971,2022.15971087611,NA,B32
551,552,0.00486245612666991,-93.3256509158552,43.9365993404875,-92.5792391515851,43.3284028702966,0.105385928176592,0.100523472049922,2022.15971087611,2022.16457333223,NA,B32
552,626,0.00082184365642135,-92.5792391515851,43.3284028702966,-92.4443695020678,43.6002727942836,0.106207771833013,0.105385928176592,2022.16457333223,2022.16539517589,NA,B32
626,627,0.00853470544766788,-92.4443695020678,43.6002727942836,-90.9657066397726,44.270520021686,0.114742477280681,0.106207771833013,2022.16539517589,2022.17392988134,NA,B32
552,553,0.0127615251855935,-92.5792391515851,43.3284028702966,-91.688226326932,45.3163529649969,0.118147453362185,0.105385928176592,2022.16457333223,2022.17733485742,NA,B32
553,554,0.0115191098567888,-91.688226326932,45.3163529649969,-92.6240370866536,43.9649464169645,0.129666563218974,0.118147453362185,2022.17733485742,2022.18885396728,NA,B32
627,628,0.0169377084541855,-90.9657066397726,44.270520021686,-91.2915924057148,44.3661484690266,0.131680185734866,0.114742477280681,2022.17392988134,2022.19086758979,NA,B32
627,630,0.0230605884626831,-90.9657066397726,44.270520021686,-88.4635662722779,45.7612389426893,0.137803065743364,0.114742477280681,2022.17392988134,2022.1969904698,NA,B32
645,646,0.119760581623766,-103.403508422752,47.7507756009101,-114.477146037145,44.5756939922538,0.137913247084025,0.0181526654602582,2022.07734006952,2022.19710065114,NA,B32
