time	distance
2022.43165171552	0
2022.44502873487	0
2022.45840575422	0
2022.47178277358	0
2022.48515979293	0
2022.49853681228	0
2022.51191383163	0
2022.52529085098	0
2022.53866787033	0
2022.55204488969	0
2022.56542190904	0
2022.57879892839	0
2022.59217594774	0
2022.60555296709	0
2022.61892998645	0
2022.6323070058	0
2022.64568402515	0
2022.6590610445	0
2022.67243806385	0
2022.6858150832	27.3792483583208
2022.69919210256	96.1830195973259
2022.71256912191	173.327086094043
2022.72594614126	250.742146998471
2022.73932316061	342.45059495075
2022.75270017996	427.324450533659
2022.76607719932	507.302878690799
2022.77945421867	598.355583068199
2022.79283123802	691.670755461967
2022.80620825737	781.3830470722
2022.81958527672	870.865547834847
2022.83296229607	972.828147030841
2022.84633931543	1080.4593593867
2022.85971633478	1183.82318320126
2022.87309335413	1298.77454891969
2022.88647037348	1414.85935877798
2022.89984739283	1433.11036333503
2022.91322441218	1460.97338243539
2022.92660143154	1501.30148912105
2022.93997845089	1527.87199309784
2022.95335547024	1529.9494547011
2022.96673248959	1534.10895347455
2022.98010950894	1535.18418914188
2022.9934865283	1537.37219388257
2023.00686354765	1539.37029744307
2023.020240567	1542.66633438907
2023.03361758635	1544.03320641244
2023.0469946057	1549.84245663149
2023.06037162505	1550.97610474353
2023.07374864441	1555.80077318394
2023.08712566376	1561.68458792657
2023.10050268311	1570.9808317468
2023.11387970246	1574.80753228851
2023.12725672181	1586.25765047556
2023.14063374117	1603.46655776966
2023.15401076052	1619.24719442273
2023.16738777987	1625.90377951649
2023.18076479922	1642.16751886239
2023.19414181857	1658.26600758597
2023.20751883792	1685.25233939829
2023.22089585728	1702.27498872326
2023.23427287663	1712.9654720769
2023.24764989598	1738.41076866957
2023.26102691533	1771.20182157565
2023.27440393468	1797.03644066438
2023.28778095404	1831.47712535254
2023.30115797339	1864.04620842175
2023.31453499274	1900.59416334088
2023.32791201209	1932.27952741963
2023.34128903144	1991.15697221082
2023.35466605079	2050.76200273049
2023.36804307015	2116.21063678012
2023.3814200895	2209.34495054286
2023.39479710885	2367.00472679967
2023.4081741282	2471.30732727569
2023.42155114755	2587.80127129083
2023.4349281669	2708.88780968065
2023.44830518626	2819.92063612582
2023.46168220561	2953.30117544076
2023.47505922496	3077.32724890023
2023.48843624431	3213.27018688528
2023.50181326366	3372.56207081705
2023.51519028302	3540.26118064087
2023.52856730237	3744.1485895491
2023.54194432172	4059.65061522834
2023.55532134107	4480.49828993282
2023.56869836042	4850.48772676816
2023.58207537977	5121.60747865244
2023.59545239913	5389.21909903507
2023.60882941848	5629.83543801939
2023.62220643783	5836.11775535275
2023.63558345718	6005.62847770438
2023.64896047653	6122.29306937679
2023.66233749589	6256.45447892918
2023.67571451524	6335.74550839815
2023.68909153459	6390.83566419993
2023.70246855394	6452.77743901587
2023.71584557329	6518.02584717008
2023.72922259264	6573.85476530573
2023.742599612	6623.40090962683
2023.75597663135	6659.25937688625
2023.7693536507	6659.25937688625
