trait	country	admin1	latitude	longitude
EPI_ISL_19303627|A/Barred_Owl/BC/AIVPHL-1538/2023|H5N1|Canada-BC|2023-12-11|avian|A3	Canada	BC	57.330175275274	-125.504949919518
EPI_ISL_19776097|A/Barred_Owl/BC/FAV-0015-44/2024|H5N1|Canada-BC|2023-11-29|avian|A3	Canada	BC	55.1257670669529	-122.750736737017
EPI_ISL_19775963|A/Red-Tailed_Hawk/BC/FAV-0432-4/2023|H5N1|Canada-BC|2023-11-03|avian|A3	Canada	BC	55.5534478638593	-128.469618304429
EPI_ISL_18665521|A/Red_Tailed_Hawk/BC/AIVPHL-1372/2023|H5N1|Canada-BC|2023-11-03|avian|A3	Canada	BC	53.579100599574	-124.931734929263
EPI_ISL_19710880|A/Chicken/BC/FAV-0347-1/2023|H5N1|Canada-BC|2023-11-06|avian|A3	Canada	BC	49.9098377023649	-122.359728215743
EPI_ISL_19776158|A/Cackling_Goose/BC/OTH-0049-4/2024|H5N1|Canada-BC|2024-01-05|avian|A3	Canada	BC	56.4836369965344	-126.509824416392
EPI_ISL_19303641|A/Cackling_Goose/BC/AIVPHL-1690/2024|H5N1|Canada-BC|2024-01-05|avian|A3	Canada	BC	49.8003939663706	-121.563954253365
EPI_ISL_18665656|A/Canada_Goose/BC/AIVPHL-1443/2023|H5N1|Canada-BC|2023-11-24|avian|A3	Canada	BC	59.6865238905638	-127.073656310694
EPI_ISL_19775984|A/Canada_Goose/BC/FAV-0015-15/2024|H5N1|Canada-BC|2023-11-07|avian|A3	Canada	BC	58.5890734793063	-130.351205710912
EPI_ISL_19776204|A/Green-Winged_Teal/BC/OTH-0049-16/2024|H5N1|Canada-BC|2024-02-02|avian|A3	Canada	BC	50.2184137589807	-119.142872115805
EPI_ISL_19710887|A/Chicken/BC/FAV-0349-2/2023|H5N1|Canada-BC|2023-11-07|avian|A3	Canada	BC	51.5419054005687	-121.758929385135
EPI_ISL_18665621|A/American_Wigeon/BC/AIVPHL-1420/2023|H5N1|Canada-BC|2023-11-20|avian|A3	Canada	BC	57.1193965662215	-123.827311690405
EPI_ISL_19775931|A/American_Wigeon/BC/FAV-0015-5/2024|H5N1|Canada-BC|2023-10-28|avian|A3	Canada	BC	59.6986548080738	-124.284597928157
EPI_ISL_19776031|A/American_Wigeon/BC/FAV-0432-22/2023|H5N1|Canada-BC|2023-11-14|avian|A3	Canada	BC	56.7337493642178	-121.721678313653
EPI_ISL_18665596|A/American_Wigeon/BC/AIVPHL-1410/2023|H5N1|Canada-BC|2023-11-14|avian|A3	Canada	BC	59.4998956304478	-134.585937456389
EPI_ISL_19775708|A/Peregrine_Falcon/BC/FAV-0015-49/2024|H5N1|Canada-BC|2023-10-16|avian|A3	Canada	BC	53.2307308049149	-124.991024170605
EPI_ISL_19303630|A/Peregrine_Falcon/BC/AIVPHL-1550/2023|H5N1|Canada-BC|2023-12-15|avian|A3	Canada	BC	51.4344965217619	-119.692475460107
EPI_ISL_19775954|A/Trumpeter_Swan/BC/FAV-0015-47/2024|H5N1|Canada-BC|2023-11-01|avian|A3	Canada	BC	51.2122422850852	-120.808929092215
EPI_ISL_19303628|A/Trumpeter_Swan/BC/AIVPHL-1560/2023|H5N1|Canada-BC|2023-12-18|avian|A3	Canada	BC	59.2482601965721	-133.252678883402
EPI_ISL_19303656|A/Barred_Owl/BC/AIVPHL-1810/2024|H5N1|Canada-BC|2024-01-12|avian|A3	Canada	BC	58.1674307306864	-122.645719495835
EPI_ISL_19776106|A/Coopers_Hawk/BC/FAV-0015-45/2024|H5N1|Canada-BC|2023-11-29|avian|A3	Canada	BC	57.4250061580498	-131.463742860489
EPI_ISL_18665597|A/Cooper_s_Hawk/BC/AIVPHL-1498/2023|H5N1|Canada-BC|2023-12-11|avian|A3	Canada	BC	56.7056943936729	-130.978998477481
EPI_ISL_18665546|A/Great_Horned_Owl/BC/AIVPHL-853/2022|H5N1|Canada-BC|2022-12-19|avian|A3	Canada	BC	49.9056602055814	-119.358117840312
EPI_ISL_19775488|A/Common_Raven/NT/FAV-0275-16/2023|H5N1|Canada-NT|2022-10-26|avian|A3	Canada	NT	64.594316253555	-123.49328429892
EPI_ISL_19775554|A/Common_Goldeneye/SK/FAV-0275-24/2023|H5N1|Canada-SK|2023-01-21|avian|A3	Canada	SK	52.4686295233632	-104.160507128181
EPI_ISL_19775556|A/Common_Goldeneye/SK/FAV-0275-27/2023|H5N1|Canada-SK|2023-01-25|avian|A3	Canada	SK	57.3689471940585	-105.731517830285
EPI_ISL_19775550|A/Common_Goldeneye/SK/FAV-0275-22/2023|H5N1|Canada-SK|2023-01-14|avian|A3	Canada	SK	50.522945413504	-107.122612902098
EPI_ISL_18698941|A/guinea_fowl/Alaska/23-032967-003/2023|H5N1|USA-AK|2023-10-27|avian|A3	USA	AK	64.8895152096423	-154.033658868859
EPI_ISL_18698940|A/domestic_goose/Alaska/23-032967-002/2023|H5N1|USA-AK|2023-10-27|avian|A3	USA	AK	64.9798412107407	-166.200577263088
EPI_ISL_19660960|A/American_wigeon/Alaska/23-034446-001-original/2023|H5N1|USA-AK|2023-10-27|avian|A3	USA	AK	63.7843644408971	-152.176863275349
