label,,host,date,country,location,county,latitude,longitude
A/chicken/Iowa/23-035546-001/2023|H5N1|USA-IA|2023-11-14|avian|B3.6,23-035546-001,chicken,11/14/2023,USA-IA,Iowa,Benton,42.079722,-92.0675
A/chicken/Iowa/23-035546-002/2023|H5N1|USA-IA|2023-11-14|avian|B3.6,23-035546-002,chicken,11/14/2023,USA-IA,Iowa,Benton,42.079722,-92.0675
A/mallard/Wyoming/23-031581-003-original/2023|H5N1|USA-WY|2023-10-03|avian|B3.6,23-031581-003-original,mallard,10/3/2023,USA-WY,Wyoming,Goshen,42.09,-104.36
A/chicken/Idaho/24-004368-003-original/2024|H5N1|USA-ID|2024-02-09|avian|B3.6,24-004368-003-original,chicken,2/9/2024,USA-ID,Idaho,Twin Falls,42.35,-114.66
A/sharp-shinned_hawk/Iowa/23-031647-001/2023|H5N1|USA-IA|2023-10-12|avian|B3.6,23-031647-001,sharp-shinned_hawk,10/12/2023,USA-IA,Iowa,Sac,42.381111,-95.112778
A/chicken/Iowa/23-033841-001/2023|H5N1|USA-IA|2023-11-02|avian|B3.6,23-033841-001,chicken,11/2/2023,USA-IA,Iowa,Hamilton,42.381944,-93.710833
A/chicken/Iowa/23-033841-002/2023|H5N1|USA-IA|2023-11-02|avian|B3.6,23-033841-002,chicken,11/2/2023,USA-IA,Iowa,Hamilton,42.381944,-93.710833
A/chicken/Idaho/24-004163-001-original/2024|H5N1|USA-ID|2024-02-07|avian|B3.6,24-004163-001-original,chicken,2/7/2024,USA-ID,Idaho,Owyhee,42.56,-116.17
A/chicken/Oregon/24-007557-001-original/2024|H5N1|USA-OR|2024-03-07|avian|B3.6,24-007557-001-original,chicken,3/7/2024,USA-OR,Oregon,Klamath,42.68,-121.65
A/chicken/Iowa/23-032138-001/2023|H5N1|USA-IA|2023-10-22|avian|B3.6,23-032138-001,chicken,10/22/2023,USA-IA,Iowa,Pocahontas,42.734444,-94.6775
A/chicken/Iowa/23-032138-002/2023|H5N1|USA-IA|2023-10-22|avian|B3.6,23-032138-002,chicken,10/22/2023,USA-IA,Iowa,Pocahontas,42.734444,-94.6775
A/turkey/Iowa/23-032139-001/2023|H5N1|USA-IA|2023-10-22|avian|B3.6,23-032139-001,turkey,10/22/2023,USA-IA,Iowa,Pocahontas,42.734444,-94.6775
A/turkey/Iowa/23-032139-002/2023|H5N1|USA-IA|2023-10-22|avian|B3.6,23-032139-002,turkey,10/22/2023,USA-IA,Iowa,Pocahontas,42.734444,-94.6775
A/turkey/Iowa/23-033286-001/2023|H5N1|USA-IA|2023-10-30|avian|B3.6,23-033286-001,turkey,10/30/2023,USA-IA,Iowa,Buena Vista,42.735,-95.150278
A/American_wigeon/Oregon/23-032795-007/2023|H5N1|USA-OR|2023-10-21|avian|B3.6,23-032795-007,American_wigeon,10/21/2023,USA-OR,Oregon,Lake,42.79,-120.39
A/American_wigeon/Oregon/23-032795-008-original/2023|H5N1|USA-OR|2023-10-21|avian|B3.6,23-032795-008-original,American_wigeon,10/21/2023,USA-OR,Oregon,Lake,42.79,-120.39
A/gadwall/Oregon/23-032795-038/2023|H5N1|USA-OR|2023-10-21|avian|B3.6,23-032795-038,gadwall,10/21/2023,USA-OR,Oregon,Lake,42.79,-120.39
A/mallard/Oregon/23-032795-043/2023|H5N1|USA-OR|2023-10-21|avian|B3.6,23-032795-043,mallard,10/21/2023,USA-OR,Oregon,Lake,42.79,-120.39
A/American_wigeon/Oregon/23-032793-005-original/2023|H5N1|USA-OR|2023-10-22|avian|B3.6,23-032793-005-original,American_wigeon,10/22/2023,USA-OR,Oregon,Lake,42.79,-120.39
A/pintail/Oregon/23-032793-020-original/2023|H5N1|USA-OR|2023-10-22|avian|B3.6,23-032793-020-original,pintail,10/22/2023,USA-OR,Oregon,Lake,42.79,-120.39
A/chicken/Iowa/23-008211-001-original/2023|H5N1|USA-IA|2023-03-13|avian|B3.6,23-008211-001-original,chicken,3/13/2023,USA-IA,Iowa,Chickasaw,43.06,-92.318889
A/domestic_duck/Iowa/23-008211-002-original/2023|H5N1|USA-IA|2023-03-13|avian|B3.6,23-008211-002-original,domestic_duck,3/13/2023,USA-IA,Iowa,Chickasaw,43.06,-92.318889
A/chicken/Iowa/23-034847-001/2023|H5N1|USA-IA|2023-11-10|avian|B3.6,23-034847-001,chicken,11/10/2023,USA-IA,Iowa,Cerro Gordo,43.079444,-93.266944
A/mallard/Iowa/23-038177-001-original/2023|H5N1|USA-IA|2023-11-10|avian|B3.6,23-038177-001-original,mallard,11/10/2023,USA-IA,Iowa,Cerro Gordo,43.079444,-93.266944
A/mallard/Iowa/23-033661-002/2023|H5N1|USA-IA|2023-10-30|avian|B3.6,23-033661-002,mallard,10/30/2023,USA-IA,Iowa,Clay,43.080833,-95.149444
