node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel
324,325,0.0162577046781627,-82.6951709943755,34.1042803733754,-82.8576948213045,32.9075361940399,0.19143640118856,0.175178696510397,2023.90142134311,2023.91767904779,NA
193,85,0.00409761707015999,-76.2863049226495,43.276044519576,-76.1277480428757,43.2732730562992,0.191565572574599,0.187467955504439,2023.91371060211,2023.91780821918,EPI_ISL_19560372|A/American_black_duck/New_York/23-038880-007-original/2023|H5N1|USA-NY|2023-12-02|avian|C2.1
221,222,0.0198833089508983,-71.430953976628,42.251099413616,-71.2254065006968,43.1065730035255,0.195697226154565,0.175813917203667,2023.90205656381,2023.92193987276,NA
222,224,0.0119946799094046,-71.2254065006968,43.1065730035255,-71.0272313707118,40.9289233048055,0.207691906063969,0.195697226154565,2023.92193987276,2023.93393455267,NA
206,207,0.00647903805927419,-69.7323272006244,42.9428479852885,-69.7527876689238,42.9372792807023,0.212382082965218,0.205903044905944,2023.93214569151,2023.93862472957,NA
270,2,0.0667210591334571,-73.3318227160616,44.6646833002325,-73.6074838613385,41.8314905902489,0.216223106821043,0.149502047687586,2023.87574469429,2023.94246575342,EPI_ISL_19224083|A/partridge/New_York/23-039086-005-original/2023|H5N1|USA-NY|2023-12-11|avian|C2.1
206,127,0.0130597879424565,-69.7323272006244,42.9428479852885,-70.1982860024229,42.0454068903409,0.218962832848401,0.205903044905944,2023.93214569151,2023.94520547945,EPI_ISL_19736853|A/corvus_ossifragus/Massachusetts/000869-001/2023|H5N1|USA-MA|2023-12-12|avian|C2.1
224,225,0.0126352521966965,-71.0272313707118,40.9289233048055,-70.630898960149,42.4119928327648,0.220327158260666,0.207691906063969,2023.93393455267,2023.94656980486,NA
224,231,0.0306545944903055,-71.0272313707118,40.9289233048055,-71.2311005151482,43.343803473203,0.238346500554275,0.207691906063969,2023.93393455267,2023.96458914716,NA
245,147,0.0757525923749914,-76.6646286315983,35.2171572473593,-80.0566203214298,33.8290266291021,0.240880641067715,0.165128048692723,2023.8913706953,2023.96712328767,EPI_ISL_19134599|A/wood_duck/South_Carolina/W23-970B/2023|H5N1|USA-SC|2023-12-20|avian|C2.1
231,232,0.00358667231612875,-71.2311005151482,43.343803473203,-69.616735669195,44.1544994067254,0.241933172870404,0.238346500554275,2023.96458914716,2023.96817581947,NA
