mean_branch_dispersal_velocity	weighted_branch_dispersal_velocity	branch_dispersal_velocity_variation_among_branches	original_diffusion_coefficient	weighted_diffusion_coefficient	diffusion_coefficient_variation_among_branches	isolation_by_distance_signal_rS	isolation_by_distance_signal_rP1	isolation_by_distance_signal_rP2
22927.100927956	4587.13916549015	3.95518485432318	340528.437971475	312047.435427067	1.73922454945426	0.400414948416832	0.452970924523069	0.460231960394448
14454.1276822471	5009.29741867792	2.22794372743649	529979.037580294	417756.296031219	2.56595334726521	0.216162697871843	0.600491294442401	0.399227777143645
10473.0733240582	5205.19617752669	1.20298507566181	426220.703580393	495090.821245239	2.36068912636612	0.249603186953409	0.14264060661171	0.251840687831952
12198.5700570501	8064.51606344577	1.18204169678815	613512.456187934	732570.09937519	2.12852112906613	0.289818923816726	0.277414454998571	0.316677992051052
11394.8874721704	6396.94133298042	1.2611088101512	442239.509639846	570787.653921734	2.51314418998288	0.263568338542662	0.266697483031981	0.312823150632493
18253.8396058407	5989.99586451882	2.51750051465524	763000.807983282	417418.477341068	2.70285917780845	0.337163635178014	0.355104953823892	0.34746392766433
14910.5210981971	5407.83677053447	2.86032337657943	304600.914385617	333403.293344875	1.6346130917412	0.300265121787646	0.316481948998145	0.350861429440361
14333.3149797966	7725.98298327238	1.27869212638381	754051.241678525	595897.126010651	1.90542456435953	0.096999665282806	0.1356329731883	0.153259594062916
19226.6695402287	6802.82616398628	1.39436971841357	688089.438010044	732993.443698329	2.2228619280733	0.153771930799231	0.11721832711832	0.145773329643825
14720.8025155707	6534.77157509548	1.40585631828925	747643.229507846	562273.742151137	2.36131978992419	0.254808247308247	0.196336633336124	0.275989217538426
13416.6758547161	6556.24369246691	1.40136783130453	564934.214877005	483362.134426649	1.76566900239939	0.244923165812953	0.194017108163601	0.236781557004421
11386.8630492779	7448.22719560157	1.21765260725828	521065.612849671	759821.561610735	2.02702005129325	0.288977330327024	0.197199161976456	0.302565257520257
16957.6687338355	8390.56833484614	1.4240883759709	646987.841362054	1076886.35804575	2.07901829173432	0.365092945477172	0.350595562204002	0.403748296327285
19659.3909887982	9105.4720034171	1.97851083654869	821918.251771863	1444543.01500281	2.1082665357588	0.436018309453081	0.594718670312125	0.530876260896963
14610.2849868033	7771.18037880676	1.1693436258037	712082.801802359	1071981.99161496	2.20478170361794	0.271861768267109	0.219217612359027	0.302792893311681
12042.7125236688	6169.77997183608	1.52050358827285	418902.59278474	930148.092418528	2.47565197294088	0.443536479216906	0.430531832942699	0.464884929973194
19448.4698610321	9868.00697458354	1.41530910622646	1040923.18321859	1069643.05034053	2.00113954142193	0.433307249637274	0.462081777861427	0.478309416057109
